dur sec 14	1	2	3	total		dur seg 14	1a	1b	2a	2b	2c	3	total
Csengery+Keller 1987	00:13	00:17	00:05	00:35		Csengery+Keller 1987	00:05	00:08	00:06	00:10	00:01	00:05	00:35
Csengery+Keller 1990	00:13	00:14	00:05	00:31		Csengery+Keller 1990	00:05	00:08	00:05	00:08	00:01	00:05	00:31
Komsi+Oramo 1994	00:11	00:16	00:04	00:31		Komsi+Oramo 1994	00:04	00:06	00:05	00:08	00:03	00:04	00:31
Komsi+Oramo 1995	00:13	00:13	00:06	00:32		Komsi+Oramo 1995	00:04	00:09	00:05	00:06	00:02	00:06	00:32
Whittlesey+Sallaberger 1997	00:14	00:15	00:03	00:32		Whittlesey+Sallaberger 1997	00:05	00:09	00:05	00:07	00:02	00:03	00:32
Pammer+Kopatchinskaja 2004	00:13	00:16	00:04	00:33		Pammer+Kopatchinskaja 2004	00:05	00:07	00:06	00:09	00:02	00:04	00:33
Arnold+Pogossian 2004	00:15	00:16	00:05	00:37		Arnold+Pogossian 2004	00:06	00:10	00:06	00:08	00:03	00:05	00:37
Banse+Keller 2005	00:14	00:16	00:04	00:35		Banse+Keller 2005	00:06	00:08	00:06	00:09	00:02	00:04	00:35
Arnold+Pogossian 2006	00:14	00:15	00:05	00:33		Arnold+Pogossian 2006	00:05	00:09	00:05	00:08	00:02	00:05	00:33
Melzer+Stark 2012	00:13	00:16	00:05	00:34		Melzer+Stark 2012	00:05	00:08	00:05	00:09	00:02	00:05	00:34
Melzer+Stark 2013	00:11	00:15	00:05	00:31		Melzer+Stark 2013	00:05	00:07	00:05	00:08	00:01	00:05	00:31
Kammer+Widmann 2017	00:12	00:13	00:04	00:29		Kammer+Widmann 2017	00:05	00:07	00:04	00:06	00:03	00:04	00:29
Melzer+Stark 2017	00:11	00:16	00:04	00:31		Melzer+Stark 2017	00:04	00:06	00:05	00:08	00:03	00:04	00:31
Melzer+Stark 2019	00:11	00:15	00:07	00:33		Melzer+Stark 2019	00:04	00:07	00:05	00:09	00:01	00:07	00:33
mean 14	00:13	00:15	00:05	00:33		mean 14	00:05	00:08	00:05	00:08	00:02	00:05	00:33
min 14	00:11	00:13	00:03	00:29	KW17	min 14	00:04	00:06	00:04	00:06	00:01	00:03	00:29
max 14	00:15	00:17	00:07	00:37	AP04	max 14	00:06	00:10	00:06	00:10	00:03	00:07	00:37
rel stdv 14 (%)	11,25	9,32	20,17	6,42		rel stdv 14 (%)	11,67	14,07	11,32	13,90	28,66	00:20	00:06
dur sec 8	1	2	3	total		dur seg 8	1a	1b	2a	2b	2c	3	total
Csengery+Keller 1990	00:13	00:14	00:05	00:31		Csengery+Keller 1990	00:07	00:22	00:09	00:06	00:05	00:05	01:03
