dur sec 14	1	2	3	4	total		dur seg 14	1a	1b	2a	2b	3a	3b	3c	4	total	
Csengery+Keller 1987	00:22	00:23	00:18	00:37	01:40		Csengery+Keller 1987	00:08	00:14	00:10	00:13	00:12	00:02	00:03	00:37	01:40	
Csengery+Keller 1990	00:21	00:20	00:19	00:46	01:47		Csengery+Keller 1990	00:07	00:14	00:09	00:11	00:12	00:04	00:03	00:46	01:47	
Komsi+Oramo 1994	00:17	00:20	00:20	00:25	01:22		Komsi+Oramo 1994	00:06	00:11	00:09	00:11	00:13	00:03	00:04	00:25	01:22	
Komsi+Oramo 1995	00:17	00:21	00:21	00:25	01:23		Komsi+Oramo 1995	00:06	00:11	00:09	00:11	00:13	00:03	00:04	00:25	01:23	
Whittlesey+Sallaberger 1997	00:17	00:17	00:16	00:47	01:37		Whittlesey+Sallaberger 1997	00:06	00:11	00:09	00:08	00:11	00:02	00:03	00:47	01:37	
Pammer+Kopatchinskaja 2004	00:16	00:17	00:14	00:41	01:29		Pammer+Kopatchinskaja 2004	00:06	00:10	00:08	00:10	00:09	00:02	00:03	00:41	01:29	
Arnold+Pogossian 2004	00:22	00:26	00:23	00:55	02:05		Arnold+Pogossian 2004	00:07	00:14	00:11	00:15	00:14	00:04	00:05	00:55	02:05	
Banse+Keller 2005	00:21	00:20	00:16	00:43	01:40		Banse+Keller 2005	00:07	00:14	00:10	00:10	00:11	00:02	00:03	00:43	01:40	
Arnold+Pogossian 2006	00:19	00:25	00:21	00:47	01:52		Arnold+Pogossian 2006	00:07	00:12	00:11	00:14	00:13	00:03	00:05	00:47	01:52	
Melzer+Stark 2012	00:25	00:22	00:22	00:37	01:46		Melzer+Stark 2012	00:09	00:16	00:11	00:12	00:14	00:02	00:05	00:37	01:46	
Melzer+Stark 2013	00:22	00:22	00:20	00:38	01:42		Melzer+Stark 2013	00:08	00:15	00:11	00:11	00:13	00:03	00:04	00:38	01:42	
Kammer+Widmann 2017	00:20	00:16	00:13	00:31	01:20		Kammer+Widmann 2017	00:09	00:12	00:08	00:07	00:09	00:01	00:03	00:31	01:20	
Melzer+Stark 2017	00:24	00:22	00:20	00:31	01:36		Melzer+Stark 2017	00:08	00:16	00:10	00:11	00:13	00:03	00:03	00:31	01:36	
Melzer+Stark 2019	00:24	00:22	00:19	00:39	01:44		Melzer+Stark 2019	00:09	00:15	00:10	00:12	00:13	00:03	00:03	00:39	01:44	
mean 14	00:21	00:21	00:19	00:39	01:39		mean 14	00:07	00:13	00:10	00:11	00:12	00:03	00:04	00:39	01:39	
min 14	00:16	00:16	00:13	00:25	01:20	KW 2017	min 14	00:06	00:10	00:08	00:07	00:09	00:01	00:03	00:25	01:20	KW 2017
max 14	00:25	00:26	00:23	00:55	02:05	AP 2004	max 14	00:09	00:16	00:11	00:15	00:14	00:04	00:05	00:55	02:05	AP 2004
rel stdv (%) 14	13,89	13,96	14,98	22,44	12,66		rel stdv (%) 14	14,23	15,04	10,81	18,45	13,52	26,30	21,71	22,44	12,66	
dur sec 8	1	2	3	4	total		dur seg 8	1a	1b	2a	2b	3a	3b	3c	4	total	
Csengery+Keller 1990	00:21	00:20	00:19	00:46	01:47		Csengery+Keller 1990	00:07	00:14	00:09	00:11	00:12	00:04	00:03	00:46	01:47	
Komsi+Oramo 1995	00:17	00:21	00:21	00:25	01:23		Komsi+Oramo 1995	00:06	00:11	00:09	00:11	00:13	00:03	00:04	00:25	01:23	
Whittlesey+Sallaberger 1997	00:17	00:17	00:16	00:47	01:37		Whittlesey+Sallaberger 1997	00:06	00:11	00:09	00:08	00:11	00:02	00:03	00:47	01:37	
Pammer+Kopatchinskaja 2004	00:16	00:17	00:14	00:41	01:29		Pammer+Kopatchinskaja 2004	00:06	00:10	00:08	00:10	00:09	00:02	00:03	00:41	01:29	
Arnold+Pogossian 2004	00:22	00:26	00:23	00:55	02:05		Arnold+Pogossian 2004	00:07	00:14	00:11	00:15	00:14	00:04	00:05	00:55	02:05	
Banse+Keller 2005	00:21	00:20	00:16	00:43	01:40		Banse+Keller 2005	00:07	00:14	00:10	00:10	00:11	00:02	00:03	00:43	01:40	
Melzer+Stark 2012	00:25	00:22	00:22	00:37	01:46		Melzer+Stark 2012	00:09	00:16	00:11	00:12	00:14	00:02	00:05	00:37	01:46	
Kammer+Widmann 2017	00:20	00:16	00:13	00:31	01:20		Kammer+Widmann 2017	00:09	00:12	00:08	00:07	00:09	00:01	00:03	00:31	01:20	
mean 8	00:20	00:20	00:18	00:41	01:38		mean 8	00:07	00:13	00:09	00:11	00:12	00:03	00:04	00:41	01:38	
min 8	00:16	00:16	00:13	00:25	01:20	KW 2017	min 8	00:06	00:10	00:08	00:07	00:09	00:01	00:03	00:25	01:20	KW 2017
max 8	00:25	00:26	00:23	00:55	02:05	AP 2004	max 8	00:09	00:16	00:11	00:15	00:14	00:04	00:05	00:55	02:05	AP 2004
rel stdv (%) 8 	14,68	16,60	19,91	23,19	14,92		rel stdv (%) 8	15,45	16,21	12,32	22,49	17,58	34,54	25,34	23,19	14,92	
perc sec 14	1	2	3	4			perc seg 14	1a	1b	2a	2b	3a	3b	3c	4		
score	20,25	18,35	15,82	45,57													
Csengery+Keller 1987	22,44	22,86	17,78	36,92			Csengery+Keller 1987	8,33	14,11	10,22	12,64	12,12	2,21	3,45	36,92		
Csengery+Keller 1990	19,99	19,06	18,11	42,85			Csengery+Keller 1990	7,00	12,99	8,40	10,66	11,33	3,61	3,17	42,85		
Komsi+Oramo 1994	20,86	24,66	24,42	30,06			Komsi+Oramo 1994	7,73	13,13	10,78	13,88	16,46	3,46	4,50	30,06		
Komsi+Oramo 1995	20,88	24,82	24,83	29,48			Komsi+Oramo 1995	7,41	13,47	11,21	13,60	16,02	3,93	4,88	29,48		
Whittlesey+Sallaberger 1997	17,21	17,79	16,85	48,15			Whittlesey+Sallaberger 1997	6,14	11,07	9,38	8,41	11,36	2,16	3,34	48,15		
Pammer+Kopatchinskaja 2004	18,17	19,47	15,99	46,36			Pammer+Kopatchinskaja 2004	7,19	10,98	8,52	10,96	9,90	2,34	3,74	46,36		
Arnold+Pogossian 2004	17,50	20,73	18,21	43,56			Arnold+Pogossian 2004	5,96	11,53	8,88	11,85	10,96	3,07	4,18	43,56		
Banse+Keller 2005	20,76	20,13	16,33	42,79			Banse+Keller 2005	7,26	13,49	9,68	10,45	11,28	2,06	2,99	42,79		
Arnold+Pogossian 2006	16,88	22,63	18,25	42,24			Arnold+Pogossian 2006	5,79	11,10	9,78	12,85	11,42	2,30	4,52	42,24		
Melzer+Stark 2012	23,21	21,17	20,44	35,18			Melzer+Stark 2012	8,53	14,68	10,16	11,01	13,45	2,36	4,63	35,18		
Melzer+Stark 2013	21,94	21,22	19,36	37,47			Melzer+Stark 2013	7,60	14,35	10,37	10,86	12,75	2,76	3,85	37,47		
Kammer+Widmann 2017	25,24	19,41	16,21	39,14			Kammer+Widmann 2017	10,84	14,40	10,59	8,82	11,26	1,76	3,19	39,14		
Melzer+Stark 2017	24,64	22,42	20,36	32,57			Melzer+Stark 2017	8,44	16,19	10,76	11,66	13,47	3,46	3,44	32,57		
Melzer+Stark 2019	22,94	21,15	18,44	37,47			Melzer+Stark 2019	8,55	14,39	9,74	11,40	12,50	2,83	3,11	37,47		
mean 14	20,91	21,25	18,97	38,87			mean 14	7,63	13,28	9,89	11,36	12,45	2,74	3,78	38,87		
min 14	16,88	17,79	15,99	29,48			min 14	5,79	10,98	8,40	8,41	9,90	1,76	2,99	29,48		
max 14	25,24	24,82	24,83	48,15			max 14	10,84	16,19	11,21	13,88	16,46	3,93	4,88	48,15		
abs stdv 14	2,71	2,06	2,77	5,78			abs stdv 14	1,31	1,59	0,86	1,58	1,88	0,67	0,64	5,78		
perc sec 8	1	2	3	4			perc seg 8	1a	1b	2a	2b	3a	3b	3c	4		
score	20,25	18,35	15,82	45,57													
Csengery+Keller 1990	19,99	19,06	18,11	42,85			Csengery+Keller 1990	7,00	12,99	8,40	10,66	11,33	3,61	3,17	42,85		
Komsi+Oramo 1995	20,88	24,82	24,83	29,48			Komsi+Oramo 1995	7,41	13,47	11,21	13,60	16,02	3,93	4,88	29,48		
Whittlesey+Sallaberger 1997	17,21	17,79	16,85	48,15			Whittlesey+Sallaberger 1997	6,14	11,07	9,38	8,41	11,36	2,16	3,34	48,15		
Pammer+Kopatchinskaja 2004	18,17	19,47	15,99	46,36			Pammer+Kopatchinskaja 2004	7,19	10,98	8,52	10,96	9,90	2,34	3,74	46,36		
Arnold+Pogossian 2004	17,50	20,73	18,21	43,56			Arnold+Pogossian 2004	5,96	11,53	8,88	11,85	10,96	3,07	4,18	43,56		
Banse+Keller 2005	20,76	20,13	16,33	42,79			Banse+Keller 2005	7,26	13,49	9,68	10,45	11,28	2,06	2,99	42,79		
Melzer+Stark 2012	23,21	21,17	20,44	35,18			Melzer+Stark 2012	8,53	14,68	10,16	11,01	13,45	2,36	4,63	35,18		
Kammer+Widmann 2017	25,24	19,41	16,21	39,14			Kammer+Widmann 2017	10,84	14,40	10,59	8,82	11,26	1,76	3,19	39,14		
mean 8	20,37	20,32	18,37	40,94			mean 8	7,54	12,83	9,60	10,72	11,94	2,66	3,76	40,94		
min 8	17,21	17,79	15,99	29,48			min 8	5,96	10,98	8,40	8,41	9,90	1,76	2,99	29,48		
max 8	25,24	24,82	24,83	48,15			max 8	10,84	14,68	11,21	13,60	16,02	3,93	4,88	48,15		
abs stdv 8 	2,81	2,09	3,00	6,13			abs stdv 8	1,55	1,46	1,00	1,64	1,91	0,78	0,72	6,13		
