dur sec 14	1	2	3	total		dur seg 14	1a	1b	2a	2b	2c	2d	3	total	
Csengery+Keller 1987	00:08	00:10	00:08	00:26		Csengery+Keller 1987	00:06	00:02	00:05	00:02	00:02	00:02	00:08	00:26	
Csengery+Keller 1990	00:10	00:13	00:10	00:33		Csengery+Keller 1990	00:07	00:03	00:06	00:03	00:02	00:02	00:10	00:33	
Komsi+Oramo 1994	00:07	00:11	00:08	00:26		Komsi+Oramo 1994	00:06	00:01	00:05	00:02	00:02	00:02	00:08	00:26	
Komsi+Oramo 1995	00:07	00:09	00:09	00:25		Komsi+Oramo 1995	00:06	00:01	00:05	00:01	00:02	00:02	00:09	00:25	
Whittlesey+Sallaberger 1997	00:08	00:09	00:07	00:24		Whittlesey+Sallaberger 1997	00:06	00:02	00:04	00:02	00:01	00:02	00:07	00:24	
Pammer+Kopatchinskaja 2004	00:08	00:07	00:07	00:22		Pammer+Kopatchinskaja 2004	00:06	00:02	00:04	00:01	00:01	00:01	00:07	00:22	
Arnold+Pogossian 2004	00:08	00:09	00:12	00:29		Arnold+Pogossian 2004	00:06	00:02	00:04	00:02	00:02	00:02	00:12	00:29	
Banse+Keller 2005	00:08	00:11	00:11	00:30		Banse+Keller 2005	00:07	00:01	00:05	00:02	00:02	00:02	00:11	00:30	
Arnold+Pogossian 2006	00:07	00:10	00:11	00:27		Arnold+Pogossian 2006	00:06	00:01	00:05	00:02	00:02	00:02	00:11	00:27	
Melzer+Stark 2012	00:08	00:12	00:11	00:32		Melzer+Stark 2012	00:08	00:01	00:06	00:02	00:02	00:01	00:11	00:32	
Melzer+Stark 2013	00:09	00:11	00:10	00:30		Melzer+Stark 2013	00:08	00:01	00:06	00:02	00:02	00:01	00:10	00:30	
Kammer+Widmann 2017	00:04	00:06	00:05	00:16		Kammer+Widmann 2017	00:04	00:01	00:03	00:01	00:01	00:01	00:05	00:16	
Melzer+Stark 2017	00:09	00:12	00:11	00:31		Melzer+Stark 2017	00:08	00:01	00:07	00:02	00:02	00:01	00:11	00:31	
Melzer+Stark 2019	00:09	00:12	00:11	00:32		Melzer+Stark 2019	00:08	00:01	00:06	00:02	00:02	00:02	00:11	00:32	
mean 14	00:08	00:10	00:09	00:27		mean 14	00:07	00:01	00:05	00:02	00:02	00:01	00:09	00:27	
min 14	00:04	00:06	00:05	00:16	CS 1990	min 14	00:04	00:01	00:03	00:01	00:01	00:01	00:05	00:16	CS 1990
max 14	00:10	00:13	00:12	00:33	KW 2017	max 14	00:08	00:03	00:07	00:03	00:02	00:02	00:12	00:33	KW 2017
rel stdv (%) 14	16,05	18,07	21,80	16,71		rel stdv (%) 14	18,79	48,07	21,13	29,34	22,12	30,07	21,80	16,71	
dur sec 8	1	2	3	total		dur seg 8	1a	1b	2a	2b	2c	2d	3	total	
Csengery+Keller 1990	00:10	00:13	00:10	00:33		Csengery+Keller 1990	00:07	00:03	00:06	00:03	00:02	00:02	00:10	00:33	
Komsi+Oramo 1995	00:07	00:09	00:09	00:25		Komsi+Oramo 1995	00:06	00:01	00:05	00:01	00:02	00:02	00:09	00:25	
Whittlesey+Sallaberger 1997	00:08	00:09	00:07	00:24		Whittlesey+Sallaberger 1997	00:06	00:02	00:04	00:02	00:01	00:02	00:07	00:24	
Pammer+Kopatchinskaja 2004	00:08	00:07	00:07	00:22		Pammer+Kopatchinskaja 2004	00:06	00:02	00:04	00:01	00:01	00:01	00:07	00:22	
Arnold+Pogossian 2004	00:08	00:09	00:12	00:29		Arnold+Pogossian 2004	00:06	00:02	00:04	00:02	00:02	00:02	00:12	00:29	
Banse+Keller 2005	00:08	00:11	00:11	00:30		Banse+Keller 2005	00:07	00:01	00:05	00:02	00:02	00:02	00:11	00:30	
Melzer+Stark 2012	00:08	00:12	00:11	00:32		Melzer+Stark 2012	00:08	00:01	00:06	00:02	00:02	00:01	00:11	00:32	
Kammer+Widmann 2017	00:04	00:06	00:05	00:16		Kammer+Widmann 2017	00:04	00:01	00:03	00:01	00:01	00:01	00:05	00:16	
mean 8	00:08	00:10	00:09	00:26		mean 8	00:06	00:02	00:05	00:02	00:02	00:01	00:09	00:26	
min 8	00:04	00:06	00:05	00:16	CS 1990	min 8	00:04	00:01	00:03	00:01	00:01	00:01	00:05	00:16	CS 1990
max 8	00:10	00:13	00:12	00:33	KW 2017	max 8	00:08	00:03	00:06	00:03	00:02	00:02	00:12	00:33	KW 2017
rel stdv (%) 8 	19,55	23,42	26,92	21,38		rel stdv (%) 8	19,08	50,03	24,24	35,45	24,90	26,56	26,92	21,38	
perc sec 14	1	2	3			perc seg 14	1a	1b	2a	2b	2c	2d	3		
score	29,73	35,14	35,14												
Csengery+Keller 1987	31,34	38,56	30,10			Csengery+Keller 1987	22,61	8,73	20,69	5,79	6,23	5,85	30,10		
Csengery+Keller 1990	29,10	39,72	31,18			Csengery+Keller 1990	20,17	8,93	18,27	9,54	7,02	4,89	31,18		
Komsi+Oramo 1994	27,65	42,68	29,67			Komsi+Oramo 1994	23,85	3,80	19,31	9,18	6,02	8,17	29,67		
Komsi+Oramo 1995	28,12	37,23	34,65			Komsi+Oramo 1995	22,41	5,71	19,49	5,01	6,01	6,72	34,65		
Whittlesey+Sallaberger 1997	34,49	37,01	28,50			Whittlesey+Sallaberger 1997	25,55	8,95	17,56	7,08	5,41	6,97	28,50		
Pammer+Kopatchinskaja 2004	35,15	34,21	30,64			Pammer+Kopatchinskaja 2004	27,99	7,16	18,80	5,48	6,14	3,80	30,64		
Arnold+Pogossian 2004	27,52	31,55	40,93			Arnold+Pogossian 2004	20,74	6,78	13,34	6,93	5,28	6,00	40,93		
Banse+Keller 2005	27,75	35,82	36,43			Banse+Keller 2005	23,12	4,62	17,82	7,03	5,98	4,99	36,43		
Arnold+Pogossian 2006	25,86	35,45	38,69			Arnold+Pogossian 2006	20,59	5,26	16,87	5,79	7,19	5,60	38,69		
Melzer+Stark 2012	26,76	38,81	34,42			Melzer+Stark 2012	24,95	1,81	19,69	7,06	7,52	4,54	34,42		
Melzer+Stark 2013	30,97	36,55	32,47			Melzer+Stark 2013	28,06	2,92	20,33	5,15	6,89	4,19	32,47		
Kammer+Widmann 2017	27,39	39,65	32,96			Kammer+Widmann 2017	23,77	3,62	17,96	7,62	8,95	5,12	32,96		
Melzer+Stark 2017	29,14	36,94	33,93			Melzer+Stark 2017	25,66	3,47	21,72	5,32	8,00	1,90	33,93		
Melzer+Stark 2019	27,89	37,17	34,95			Melzer+Stark 2019	25,22	2,66	18,88	5,55	6,80	5,94	34,95		
mean 14	29,22	37,24	33,54			mean 14	23,91	5,32	18,62	6,61	6,67	5,33	33,54		
min 14	25,86	31,55	28,50			min 14	20,17	1,81	13,34	5,01	5,28	1,90	28,50		
max 14	35,15	42,68	40,93			max 14	28,06	8,95	21,72	9,54	8,95	8,17	40,93		
abs stdv 14	2,80	2,68	3,52			abs stdv 14	2,51	2,45	2,01	1,44	1,02	1,53	3,52		
perc sec 8	1	2	3			perc seg 8	1a	1b	2a	2b	2c	2d	3		
score	29,73	35,14	35,14												
Csengery+Keller 1990	29,10	39,72	31,18			Csengery+Keller 1990	20,17	8,93	18,27	9,54	7,02	4,89	31,18		
Komsi+Oramo 1995	28,12	37,23	34,65			Komsi+Oramo 1995	22,41	5,71	19,49	5,01	6,01	6,72	34,65		
Whittlesey+Sallaberger 1997	34,49	37,01	28,50			Whittlesey+Sallaberger 1997	25,55	8,95	17,56	7,08	5,41	6,97	28,50		
Pammer+Kopatchinskaja 2004	35,15	34,21	30,64			Pammer+Kopatchinskaja 2004	27,99	7,16	18,80	5,48	6,14	3,80	30,64		
Arnold+Pogossian 2004	27,52	31,55	40,93			Arnold+Pogossian 2004	20,74	6,78	13,34	6,93	5,28	6,00	40,93		
Banse+Keller 2005	27,75	35,82	36,43			Banse+Keller 2005	23,12	4,62	17,82	7,03	5,98	4,99	36,43		
Melzer+Stark 2012	26,76	38,81	34,42			Melzer+Stark 2012	24,95	1,81	19,69	7,06	7,52	4,54	34,42		
Kammer+Widmann 2017	27,39	39,65	32,96			Kammer+Widmann 2017	23,77	3,62	17,96	7,62	8,95	5,12	32,96		
mean 8	29,53	36,75	33,71			mean 8	23,59	5,95	17,87	6,97	6,54	5,38	33,71		
min 8	26,76	31,55	28,50			min 8	20,17	1,81	13,34	5,01	5,28	3,80	28,50		
max 8	35,15	39,72	40,93			max 8	27,99	8,95	19,69	9,54	8,95	6,97	40,93		
abs stdv 8 	3,33	2,83	3,86			abs stdv 8	2,58	2,52	1,99	1,37	1,23	1,09	3,86		
