dur sec 14	1	2	3	total		dur seg 14	1a	1b	1c	1d	2a	2b	2c	2d	2e	3a	3b	3c	3d	3e	3f	total	
Csengery+Keller 1987	00:06	00:09	00:22	00:38		Csengery+Keller 1987	00:02	00:01	00:02	00:02	00:02	00:04	00:02	00:01	00:01	00:03	00:03	00:02	00:12	00:01	00:02	00:38	
Csengery+Keller 1990	00:08	00:09	00:25	00:42		Csengery+Keller 1990	00:03	00:02	00:02	00:01	00:02	00:04	00:02	00:01	00:01	00:04	00:03	00:02	00:13	00:01	00:02	00:42	
Komsi+Oramo 1994	00:08	00:09	00:21	00:38		Komsi+Oramo 1994	00:03	00:02	00:02	00:02	00:02	00:03	00:01	00:01	00:01	00:02	00:04	00:02	00:11	00:01	00:03	00:38	
Komsi+Oramo 1995	00:09	00:10	00:21	00:39		Komsi+Oramo 1995	00:02	00:02	00:02	00:02	00:02	00:04	00:02	00:01	00:01	00:03	00:03	00:02	00:10	00:00	00:02	00:39	
Whittlesey+Sallaberger 1997	00:08	00:09	00:23	00:40		Whittlesey+Sallaberger 1997	00:02	00:02	00:02	00:02	00:02	00:04	00:02	00:01	00:01	00:03	00:03	00:02	00:12	00:02	00:02	00:40	
Pammer+Kopatchinskaja 2004	00:07	00:08	00:21	00:37		Pammer+Kopatchinskaja 2004	00:02	00:03	00:02	00:01	00:02	00:04	00:01	00:01	00:01	00:02	00:03	00:02	00:11	00:02	00:01	00:37	
Arnold+Pogossian 2004	00:06	00:09	00:22	00:37		Arnold+Pogossian 2004	00:02	00:01	00:02	00:02	00:02	00:03	00:02	00:01	00:01	00:03	00:03	00:02	00:11	00:01	00:02	00:37	
Banse+Keller 2005	00:09	00:10	00:24	00:43		Banse+Keller 2005	00:02	00:03	00:02	00:02	00:02	00:04	00:02	00:01	00:01	00:03	00:04	00:02	00:12	00:02	00:02	00:43	
Arnold+Pogossian 2006	00:06	00:08	00:22	00:37		Arnold+Pogossian 2006	00:02	00:02	00:02	00:01	00:02	00:03	00:02	00:00	00:01	00:04	00:03	00:02	00:11	00:01	00:02	00:37	
Melzer+Stark 2012	00:06	00:09	00:24	00:40		Melzer+Stark 2012	00:02	00:01	00:02	00:01	00:02	00:04	00:02	00:00	00:01	00:02	00:04	00:01	00:12	00:03	00:02	00:40	
Melzer+Stark 2013	00:06	00:08	00:24	00:39		Melzer+Stark 2013	00:02	00:01	00:02	00:01	00:02	00:03	00:02	00:00	00:01	00:02	00:04	00:01	00:14	00:01	00:03	00:39	
Kammer+Widmann 2017	00:11	00:11	00:23	00:44		Kammer+Widmann 2017	00:02	00:04	00:02	00:02	00:02	00:05	00:02	00:01	00:01	00:03	00:03	00:01	00:12	00:01	00:02	00:44	
Melzer+Stark 2017	00:08	00:09	00:28	00:44		Melzer+Stark 2017	00:02	00:03	00:02	00:01	00:02	00:03	00:02	00:00	00:01	00:03	00:04	00:02	00:15	00:03	00:02	00:44	
Melzer+Stark 2019	00:05	00:09	00:28	00:42		Melzer+Stark 2019	00:03	00:00	00:02	00:00	00:02	00:04	00:02	00:00	00:01	00:02	00:04	00:01	00:15	00:03	00:02	00:42	
mean 14	00:07	00:09	00:23	00:40		mean 14	00:02	00:02	00:02	00:01	00:02	00:04	00:02	00:01	00:01	00:03	00:03	00:02	00:12	00:02	00:02	00:40	
min 14	00:05	00:08	00:21	00:37	PK 2004, AP 2006	min 14	00:02	00:00	00:02	00:00	00:02	00:03	00:01	00:00	00:01	00:02	00:03	00:01	00:10	00:00	00:01	00:37	PK 2004, AP 2006
max 14	00:11	00:11	00:28	00:44	KW 2017	max 14	00:03	00:04	00:02	00:02	00:02	00:05	00:02	00:01	00:01	00:04	00:04	00:02	00:15	00:03	00:03	00:44	KW 2017
rel stdv (%) 14	19,62	8,70	9,38	6,69		rel stdv (%) 14	15,14	50,63	12,98	32,95	9,70	9,63	13,52	23,95	18,65	23,19	14,00	19,60	11,73	60,85	21,59	6,69	
dur sec 8	1	2	3	total		dur seg 8	1a	1b	1c	1d	2a	2b	2c	2d	2e	3a	3b	3c	3d	3e	3f	total	
Csengery+Keller 1990	00:08	00:09	00:25	00:42		Csengery+Keller 1990	00:03	00:02	00:02	00:01	00:02	00:04	00:02	00:01	00:01	00:04	00:03	00:02	00:13	00:01	00:02	00:42	
Komsi+Oramo 1995	00:09	00:10	00:21	00:39		Komsi+Oramo 1995	00:02	00:02	00:02	00:02	00:02	00:04	00:02	00:01	00:01	00:03	00:03	00:02	00:10	00:00	00:02	00:39	
Whittlesey+Sallaberger 1997	00:08	00:09	00:23	00:40		Whittlesey+Sallaberger 1997	00:02	00:02	00:02	00:02	00:02	00:04	00:02	00:01	00:01	00:03	00:03	00:02	00:12	00:02	00:02	00:40	
Pammer+Kopatchinskaja 2004	00:07	00:08	00:21	00:37		Pammer+Kopatchinskaja 2004	00:02	00:03	00:02	00:01	00:02	00:04	00:01	00:01	00:01	00:02	00:03	00:02	00:11	00:02	00:01	00:37	
Arnold+Pogossian 2004	00:06	00:09	00:22	00:37		Arnold+Pogossian 2004	00:02	00:01	00:02	00:02	00:02	00:03	00:02	00:01	00:01	00:03	00:03	00:02	00:11	00:01	00:02	00:37	
Banse+Keller 2005	00:09	00:10	00:24	00:43		Banse+Keller 2005	00:02	00:03	00:02	00:02	00:02	00:04	00:02	00:01	00:01	00:03	00:04	00:02	00:12	00:02	00:02	00:43	
Melzer+Stark 2012	00:06	00:09	00:24	00:40		Melzer+Stark 2012	00:02	00:01	00:02	00:01	00:02	00:04	00:02	00:00	00:01	00:02	00:04	00:01	00:12	00:03	00:02	00:40	
Kammer+Widmann 2017	00:11	00:11	00:23	00:44		Kammer+Widmann 2017	00:02	00:04	00:02	00:02	00:02	00:05	00:02	00:01	00:01	00:03	00:03	00:01	00:12	00:01	00:02	00:44	
mean 8	00:08	00:09	00:23	00:40		mean 8	00:02	00:02	00:02	00:02	00:02	00:04	00:02	00:01	00:01	00:03	00:03	00:02	00:12	00:01	00:02	00:40	
min 8	00:06	00:08	00:21	00:37	PK 2004	min 8	00:02	00:01	00:02	00:01	00:02	00:03	00:01	00:00	00:01	00:02	00:03	00:01	00:10	00:00	00:01	00:37	PK 2004
max 8	00:11	00:11	00:25	00:44	KW 2017	max 8	00:03	00:04	00:02	00:02	00:02	00:05	00:02	00:01	00:01	00:04	00:04	00:02	00:13	00:03	00:02	00:44	KW 2017
rel stdv (%) 8 	17,90	10,07	6,49	6,56		rel stdv (%) 8	16,48	43,57	13,18	22,67	10,92	9,54	15,06	21,78	21,39	18,78	14,43	17,66	6,91	50,94	20,18	6,56	
perc sec 14	1	2	3			perc seg 14	1a	1b	1c	1d	2a	2b	2c	2d	2e	3a	3b	3c	3d	3e	3f		
score	23,16	23,16	53,68																				
Csengery+Keller 1987	16,71	24,66	58,63			Csengery+Keller 1987	5,38	2,63	4,44	4,25	5,91	10,19	4,24	1,73	2,59	6,67	7,81	5,04	31,14	2,21	5,77		
Csengery+Keller 1990	19,66	20,55	59,78			Csengery+Keller 1990	6,35	4,55	5,48	3,27	4,49	8,43	4,11	1,42	2,11	9,05	8,01	5,41	31,03	2,07	4,22		
