dur sec 14	1	2	3			dur seg 14	1a	1b	1c	1d	1e	1f	1g	1h	2a	2b	2c	3a	3b	3c	3d	total	
Csengery+Keller 1987	00:40	00:15	00:12	01:07		Csengery+Keller 1987	00:04	00:05	00:05	00:06	00:06	00:03	00:06	00:06	00:04	00:06	00:04	00:06	00:02	00:04	00:01	01:07	
Csengery+Keller 1990	00:30	00:14	00:14	00:58		Csengery+Keller 1990	00:03	00:03	00:03	00:05	00:04	00:03	00:05	00:04	00:03	00:05	00:05	00:08	00:01	00:03	00:02	00:58	
Komsi+Oramo 1994	00:37	00:12	00:09	00:57		Komsi+Oramo 1994	00:06	00:04	00:04	00:07	00:05	00:02	00:04	00:04	00:05	00:03	00:03	00:04	00:01	00:03	00:01	00:57	
Komsi+Oramo 1995	00:36	00:12	00:08	00:56		Komsi+Oramo 1995	00:04	00:04	00:05	00:06	00:06	00:03	00:04	00:04	00:05	00:03	00:04	00:05	00:00	00:02	00:01	00:56	
Whittlesey+Sallaberger 1997	00:27	00:12	00:09	00:47		Whittlesey+Sallaberger 1997	00:04	00:03	00:03	00:04	00:04	00:02	00:04	00:03	00:04	00:04	00:04	00:04	00:02	00:02	00:00	00:47	
Pammer+Kopatchinskaja 2004	00:35	00:13	00:11	00:58		Pammer+Kopatchinskaja 2004	00:03	00:05	00:05	00:06	00:05	00:02	00:05	00:04	00:04	00:05	00:04	00:06	00:00	00:03	00:01	00:58	
Arnold+Pogossian 2004	00:55	00:17	00:17	01:29		Arnold+Pogossian 2004	00:06	00:07	00:06	00:09	00:08	00:05	00:08	00:07	00:06	00:06	00:05	00:08	00:02	00:05	00:01	01:29	
Banse+Keller 2005	00:39	00:12	00:13	01:05		Banse+Keller 2005	00:04	00:04	00:03	00:07	00:07	00:04	00:06	00:05	00:03	00:05	00:05	00:07	00:01	00:04	00:01	01:05	
Arnold+Pogossian 2006	00:47	00:15	00:13	01:15		Arnold+Pogossian 2006	00:05	00:04	00:05	00:07	00:06	00:04	00:08	00:07	00:05	00:06	00:04	00:07	00:02	00:04	00:01	01:15	
Melzer+Stark 2012	00:49	00:17	00:18	01:24		Melzer+Stark 2012	00:05	00:06	00:05	00:10	00:07	00:03	00:07	00:07	00:05	00:06	00:06	00:10	00:02	00:05	00:01	01:24	
Melzer+Stark 2013	00:46	00:15	00:17	01:18		Melzer+Stark 2013	00:04	00:05	00:05	00:09	00:06	00:04	00:07	00:06	00:04	00:06	00:05	00:09	00:02	00:05	00:01	01:18	
Kammer+Widmann 2017	00:27	00:13	00:13	00:53		Kammer+Widmann 2017	00:03	00:04	00:02	00:03	00:04	00:02	00:04	00:05	00:04	00:04	00:05	00:07	00:01	00:04	00:01	00:53	
Melzer+Stark 2017	00:42	00:13	00:19	01:14		Melzer+Stark 2017	00:04	00:05	00:04	00:07	00:06	00:03	00:06	00:06	00:04	00:04	00:04	00:10	00:03	00:05	00:01	01:14	
Melzer+Stark 2019	00:41	00:13	00:15	01:10		Melzer+Stark 2019	00:05	00:06	00:03	00:08	00:06	00:03	00:07	00:05	00:04	00:04	00:05	00:08	00:02	00:05	00:00	01:10	
mean 14	00:39	00:14	00:13	01:07		mean 14	00:04	00:04	00:04	00:07	00:06	00:03	00:06	00:05	00:04	00:05	00:04	00:07	00:02	00:04	00:01	01:07	
min 14	00:27	00:12	00:08	00:47	WS 1997	min 14	00:03	00:03	00:02	00:03	00:04	00:02	00:04	00:03	00:03	00:03	00:03	00:04	00:00	00:02	00:00	00:47	WS 1997
max 14	00:55	00:17	00:19	01:29	AP 2004	max 14	00:06	00:07	00:06	00:10	00:08	00:05	00:08	00:07	00:06	00:06	00:06	00:10	00:03	00:05	00:02	01:29	AP 2004
rel stdv 14 (%)	20,91	13,05	26,17	18,32		rel stdv (%) 14	23,12	22,27	26,96	26,72	18,89	29,82	26,87	25,85	17,48	21,18	15,13	27,43	49,05	24,78	35,17	18,32	
dur sec 8	1	2	3	total		dur seg 8	1a	1b	1c	1d	1e	1f	1g	1h	2a	2b	2c	3a	3b	3c	3d	total	
Csengery+Keller 1990	00:30	00:14	00:14	00:58		Csengery+Keller 1990	00:03	00:03	00:03	00:05	00:04	00:03	00:05	00:04	00:03	00:05	00:05	00:08	00:01	00:03	00:02	00:58	
Komsi+Oramo 1995	00:36	00:12	00:08	00:56		Komsi+Oramo 1995	00:04	00:04	00:05	00:06	00:06	00:03	00:04	00:04	00:05	00:03	00:04	00:05	00:00	00:02	00:01	00:56	
Whittlesey+Sallaberger 1997	00:27	00:12	00:09	00:47		Whittlesey+Sallaberger 1997	00:04	00:03	00:03	00:04	00:04	00:02	00:04	00:03	00:04	00:04	00:04	00:04	00:02	00:02	00:00	00:47	
Pammer+Kopatchinskaja 2004	00:35	00:13	00:11	00:58		Pammer+Kopatchinskaja 2004	00:03	00:05	00:05	00:06	00:05	00:02	00:05	00:04	00:04	00:05	00:04	00:06	00:00	00:03	00:01	00:58	
Arnold+Pogossian 2004	00:55	00:17	00:17	01:29		Arnold+Pogossian 2004	00:06	00:07	00:06	00:09	00:08	00:05	00:08	00:07	00:06	00:06	00:05	00:08	00:02	00:05	00:01	01:29	
Banse+Keller 2005	00:39	00:12	00:13	01:05		Banse+Keller 2005	00:04	00:04	00:03	00:07	00:07	00:04	00:06	00:05	00:03	00:05	00:05	00:07	00:01	00:04	00:01	01:05	
Melzer+Stark 2012	00:49	00:17	00:18	01:24		Melzer+Stark 2012	00:05	00:06	00:05	00:10	00:07	00:03	00:07	00:07	00:05	00:06	00:06	00:10	00:02	00:05	00:01	01:24	
Kammer+Widmann 2017	00:27	00:13	00:13	00:53		Kammer+Widmann 2017	00:03	00:04	00:02	00:03	00:04	00:02	00:04	00:05	00:04	00:04	00:05	00:07	00:01	00:04	00:01	00:53	
mean 8	00:37	00:14	00:13	01:04		mean 8	00:04	00:04	00:04	00:06	00:06	00:03	00:05	00:05	00:04	00:05	00:04	00:07	00:01	00:04	00:01	01:04	
min 8	00:27	00:12	00:08	00:47	WS 1997	min 8	00:03	00:03	00:02	00:03	00:04	00:02	00:04	00:03	00:03	00:03	00:04	00:04	00:00	00:02	00:00	00:47	WS 1997
max 8	00:55	00:17	00:18	01:29	AP 2004	max 8	00:06	00:07	00:06	00:10	00:08	00:05	00:08	00:07	00:06	00:06	00:06	00:10	00:02	00:05	00:02	01:29	AP 2004
rel stdv 8 (%)	27,49	15,38	26,99	23,11		rel stdv (%) 8	27,24	28,01	35,54	35,50	24,89	37,78	29,51	29,79	23,24	21,80	16,59	28,76	51,65	27,92	31,92	23,11	
perc sec 14	1	2	3			perc seg 14	1a	1b	1c	1d	1e	1f	1g	1h	2a	2b	2c	3a	3b	3c	3d		
Csengery+Keller 1987	59,84	21,70	18,46			Csengery+Keller 1987	5,90	6,83	7,04	9,35	8,38	4,09	9,62	8,63	6,65	8,68	6,37	9,56	2,27	5,51	1,11		
Csengery+Keller 1990	51,09	24,63	24,28			Csengery+Keller 1990	4,55	5,10	4,57	7,86	7,57	5,09	8,65	7,71	5,73	9,47	9,43	13,20	2,47	5,78	2,83		
Komsi+Oramo 1994	64,54	20,33	15,13			Komsi+Oramo 1994	10,02	7,39	7,84	12,10	8,88	4,19	7,21	6,91	8,91	5,68	5,74	7,13	2,02	4,78	1,20		
Komsi+Oramo 1995	64,46	20,74	14,81			Komsi+Oramo 1995	6,36	7,65	9,44	11,02	10,10	5,55	7,89	6,46	8,89	5,47	6,38	8,17	0,86	3,99	1,79		
Whittlesey+Sallaberger 1997	56,42	25,55	18,03			Whittlesey+Sallaberger 1997	8,18	6,35	6,23	9,41	8,40	3,61	7,80	6,44	9,26	8,72	7,57	8,03	3,73	5,24	1,03		
Pammer+Kopatchinskaja 2004	60,27	21,58	18,16			Pammer+Kopatchinskaja 2004	5,73	7,87	8,62	9,80	9,33	2,89	9,18	6,84	6,49	8,20	6,88	10,42	0,77	5,21	1,75		
Arnold+Pogossian 2004	61,96	19,19	18,85			Arnold+Pogossian 2004	6,65	7,36	6,37	10,19	8,58	5,40	9,24	8,17	6,81	7,26	5,12	9,29	2,71	5,59	1,27		
Banse+Keller 2005	60,58	19,31	20,11			Banse+Keller 2005	6,35	6,71	4,62	10,70	10,31	5,51	9,35	7,03	4,87	7,46	6,98	10,68	1,99	5,67	1,78		
Arnold+Pogossian 2006	62,03	20,46	17,51			Arnold+Pogossian 2006	6,93	4,96	6,53	8,93	8,60	5,32	11,29	9,47	6,38	8,18	5,91	9,04	2,17	5,61	0,70		
Melzer+Stark 2012	58,91	20,17	20,92			Melzer+Stark 2012	6,06	6,59	6,00	11,51	8,79	3,82	8,33	7,83	6,53	7,06	6,58	11,75	2,45	5,77	0,94		
Melzer+Stark 2013	59,10	19,48	21,41			Melzer+Stark 2013	5,43	6,47	5,81	10,93	7,89	4,77	9,53	8,28	5,75	7,11	6,62	11,61	2,76	5,97	1,07		
Kammer+Widmann 2017	51,32	24,61	24,07			Kammer+Widmann 2017	5,78	6,83	4,03	6,34	8,09	3,46	6,79	9,99	7,93	8,23	8,46	12,96	1,92	7,35	1,84		
Melzer+Stark 2017	56,58	17,24	26,19			Melzer+Stark 2017	5,10	6,29	5,91	9,20	8,66	4,50	8,76	8,16	5,71	5,81	5,72	13,11	4,74	6,88	1,45		
Melzer+Stark 2019	58,95	19,15	21,90			Melzer+Stark 2019	6,44	8,07	4,60	11,22	8,38	4,09	9,45	6,70	6,25	6,33	6,57	11,21	3,46	6,54	0,68		
