dur sec 14 [13]	1	2	3	total		dur seg 14 [13]	1a	1b	2	3	total	
Csengery+Keller 1987						Csengery+Keller 1987						
Csengery+Keller 1990	00:09	00:06	00:05	00:19		Csengery+Keller 1990	00:04	00:04	00:06	00:05	00:19	
Komsi+Oramo 1994	00:08	00:05	00:03	00:16		Komsi+Oramo 1994	00:03	00:04	00:05	00:03	00:16	
Komsi+Oramo 1995	00:09	00:07	00:03	00:19		Komsi+Oramo 1995	00:05	00:04	00:07	00:03	00:19	
Whittlesey+Sallaberger 1997	00:09	00:07	00:05	00:21		Whittlesey+Sallaberger 1997	00:04	00:05	00:07	00:05	00:21	
Pammer+Kopatchinskaja 2004	00:09	00:06	00:05	00:20		Pammer+Kopatchinskaja 2004	00:04	00:05	00:06	00:05	00:20	
Arnold+Pogossian 2004	00:10	00:05	00:04	00:19		Arnold+Pogossian 2004	00:04	00:05	00:05	00:04	00:19	
Banse+Keller 2005	00:11	00:05	00:04	00:20		Banse+Keller 2005	00:04	00:07	00:05	00:04	00:20	
Arnold+Pogossian 2006	00:09	00:05	00:05	00:19		Arnold+Pogossian 2006	00:04	00:05	00:05	00:05	00:19	
Melzer+Stark 2012	00:12	00:06	00:05	00:23		Melzer+Stark 2012	00:04	00:08	00:06	00:05	00:23	
Melzer+Stark 2013	00:11	00:05	00:06	00:23		Melzer+Stark 2013	00:04	00:07	00:05	00:06	00:23	
Kammer+Widmann 2017	00:09	00:07	00:06	00:22		Kammer+Widmann 2017	00:04	00:04	00:07	00:06	00:22	
Melzer+Stark 2017	00:12	00:05	00:05	00:22		Melzer+Stark 2017	00:04	00:08	00:05	00:05	00:22	
Melzer+Stark 2019	00:12	00:06	00:06	00:23		Melzer+Stark 2019	00:04	00:07	00:06	00:06	00:23	
mean 14 [13]	00:10	00:06	00:05	00:20		mean 14 [13]	00:04	00:06	00:06	00:05	00:20	
min 14 [13]	00:08	00:05	00:03	00:16	KO94	min 14 [13]	00:03	00:04	00:05	00:03	00:16	KO94
max 14 [13]	00:12	00:07	00:06	00:23	MS12;MS13;MS19	max 14 [13]	00:05	00:08	00:07	00:06	00:23	MS12;MS13;MS19
rel stdv (%) 14 [13]	14,35	15,04	20,97	10,59		rel stdv (%) 14 [13]	7,95	23,50	15,04	20,97	10,59	
dur sec 8	1	2	3	total		dur seg 8	1a	1b	2	3	total	
Csengery+Keller 1990	00:09	00:06	00:05	00:19		Csengery+Keller 1990	00:04	00:04	00:06	00:05	00:19	
Komsi+Oramo 1995	00:09	00:07	00:03	00:19		Komsi+Oramo 1995	00:05	00:04	00:07	00:03	00:19	
Whittlesey+Sallaberger 1997	00:09	00:07	00:05	00:21		Whittlesey+Sallaberger 1997	00:04	00:05	00:07	00:05	00:21	
Pammer+Kopatchinskaja 2004	00:09	00:06	00:05	00:20		Pammer+Kopatchinskaja 2004	00:04	00:05	00:06	00:05	00:20	
Arnold+Pogossian 2004	00:10	00:05	00:04	00:19		Arnold+Pogossian 2004	00:04	00:05	00:05	00:04	00:19	
Banse+Keller 2005	00:11	00:05	00:04	00:20		Banse+Keller 2005	00:04	00:07	00:05	00:04	00:20	
Melzer+Stark 2012	00:12	00:06	00:05	00:23		Melzer+Stark 2012	00:04	00:08	00:06	00:05	00:23	
