dur sec 14	1	2	3	total		dur seg 14	1a	1b	2a	2b	2c	2d	3a	3b	total	
Csengery+Keller 1987	00:05	00:12	00:03	00:20		Csengery+Keller 1987	00:04	00:01	00:01	00:05	00:03	00:03	00:02	00:01	00:20	
Csengery+Keller 1990	00:04	00:10	00:02	00:16		Csengery+Keller 1990	00:04	00:01	00:01	00:04	00:02	00:03	00:01	00:01	00:16	
Komsi+Oramo 1994	00:07	00:15	00:04	00:26		Komsi+Oramo 1994	00:06	00:01	00:01	00:06	00:03	00:04	00:02	00:01	00:26	
Komsi+Oramo 1995	00:07	00:14	00:04	00:25		Komsi+Oramo 1995	00:05	00:01	00:01	00:06	00:03	00:04	00:02	00:01	00:25	
Whittlesey+Sallaberger 1997	00:06	00:12	00:02	00:21		Whittlesey+Sallaberger 1997	00:04	00:02	00:01	00:05	00:03	00:03	00:01	00:01	00:21	
Pammer+Kopatchinskaja 2004	00:05	00:11	00:01	00:17		Pammer+Kopatchinskaja 2004	00:04	00:01	00:01	00:04	00:02	00:03	00:00	00:01	00:17	
Arnold+Pogossian 2004	00:06	00:13	00:03	00:21		Arnold+Pogossian 2004	00:05	00:01	00:01	00:05	00:03	00:04	00:02	00:01	00:21	
Banse+Keller 2005	00:07	00:15	00:04	00:26		Banse+Keller 2005	00:06	00:01	00:01	00:06	00:04	00:04	00:03	00:02	00:26	
Arnold+Pogossian 2006	00:06	00:13	00:03	00:22		Arnold+Pogossian 2006	00:05	00:01	00:01	00:05	00:03	00:04	00:02	00:01	00:22	
Melzer+Stark 2012	00:06	00:12	00:02	00:20		Melzer+Stark 2012	00:06	00:00	00:01	00:05	00:03	00:03	00:01	00:01	00:20	
Melzer+Stark 2013	00:07	00:12	00:02	00:20		Melzer+Stark 2013	00:06	00:01	00:01	00:05	00:03	00:03	00:01	00:01	00:20	
Kammer+Widmann 2017	00:06	00:12	00:03	00:21		Kammer+Widmann 2017	00:05	00:01	00:01	00:04	00:03	00:03	00:01	00:02	00:21	
Melzer+Stark 2017	00:06	00:10	00:02	00:18		Melzer+Stark 2017	00:05	00:01	00:01	00:05	00:01	00:03	00:01	00:01	00:18	
Melzer+Stark 2019	00:06	00:12	00:04	00:22		Melzer+Stark 2019	00:05	00:01	00:02	00:04	00:02	00:04	00:02	00:02	00:22	
mean 14	00:06	00:12	00:03	00:21		mean 14	00:05	00:01	00:01	00:05	00:03	00:03	00:01	00:01	00:21	
min 14	00:04	00:10	00:01	00:16	CK 1990	min 14	00:04	00:00	00:01	00:04	00:01	00:03	00:00	00:01	00:16	CK 1990
max 14	00:07	00:15	00:04	00:26	KO 1994/BK 2005	max 14	00:06	00:02	00:02	00:06	00:04	00:04	00:03	00:02	00:26	KO 1994/BK 2005
rel stdv (%) 14	12,23	12,63	35,84	14,37		rel stdv (%) 14	15,73	49,51	30,65	15,66	24,28	15,14	56,04	34,82	14,37	
dur sec 8	1	2	3	total		dur seg 8	1a	1b	2a	2b	2c	2d	3a	3b	total	
Csengery+Keller 1990	00:04	00:10	00:02	00:16		Csengery+Keller 1990	00:04	00:01	00:01	00:04	00:02	00:03	00:01	00:01	00:16	
Komsi+Oramo 1995	00:07	00:14	00:04	00:25		Komsi+Oramo 1995	00:05	00:01	00:01	00:06	00:03	00:04	00:02	00:01	00:25	
Whittlesey+Sallaberger 1997	00:06	00:12	00:02	00:21		Whittlesey+Sallaberger 1997	00:04	00:02	00:01	00:05	00:03	00:03	00:01	00:01	00:21	
Pammer+Kopatchinskaja 2004	00:05	00:11	00:01	00:17		Pammer+Kopatchinskaja 2004	00:04	00:01	00:01	00:04	00:02	00:03	00:00	00:01	00:17	
Arnold+Pogossian 2004	00:06	00:13	00:03	00:21		Arnold+Pogossian 2004	00:05	00:01	00:01	00:05	00:03	00:04	00:02	00:01	00:21	
Banse+Keller 2005	00:07	00:15	00:04	00:26		Banse+Keller 2005	00:06	00:01	00:01	00:06	00:04	00:04	00:03	00:02	00:26	
Melzer+Stark 2012	00:06	00:12	00:02	00:20		Melzer+Stark 2012	00:06	00:00	00:01	00:05	00:03	00:03	00:01	00:01	00:20	
Kammer+Widmann 2017	00:06	00:12	00:03	00:21		Kammer+Widmann 2017	00:05	00:01	00:01	00:04	00:03	00:03	00:01	00:02	00:21	
mean 8	00:06	00:12	00:03	00:21		mean 8	00:05	00:01	00:01	00:05	00:03	00:03	00:01	00:01	00:21	
min 8	00:04	00:10	00:01	00:16	CK 1990	min 8	00:04	00:00	00:01	00:04	00:02	00:03	00:00	00:01	00:16	CK 1990
max 8	00:07	00:15	00:04	00:26	BK 2005	max 8	00:06	00:02	00:01	00:06	00:04	00:04	00:03	00:02	00:26	BK 2005
rel stdv (%) 8 	13,29	13,65	40,38	16,31		rel stdv (%) 8	18,06	49,88	22,65	14,95	18,77	14,99	68,41	37,81	16,31	
perc sec 14	1	2	3			perc seg 14	1a	1b	2a	2b	2c	2d	3a	3b		
score	28,99	62,32	8,70													
Csengery+Keller 1987	26,18	59,51	14,30			Csengery+Keller 1987	21,72	4,46	4,05	25,95	13,85	15,66	8,95	5,35		
Csengery+Keller 1990	28,07	61,06	10,86			Csengery+Keller 1990	23,93	4,15	4,24	26,42	12,98	17,42	4,14	6,72		
Komsi+Oramo 1994	28,32	56,49	15,19			Komsi+Oramo 1994	22,86	5,46	4,58	24,86	12,46	14,59	9,54	5,65		
Komsi+Oramo 1995	27,71	56,50	15,79			Komsi+Oramo 1995	21,73	5,97	3,57	23,04	12,88	17,01	9,92	5,88		
Whittlesey+Sallaberger 1997	30,10	59,42	10,48			Whittlesey+Sallaberger 1997	18,79	11,30	4,94	22,95	14,56	16,97	5,03	5,45		
