dur sec 14	1	2	3	total		dur seg 14	1a	1b	1c	2a	2b	2c	3	total	
Csengery+Keller 1987	00:21	00:24	00:07	00:52		Csengery+Keller 1987	00:04	00:09	00:08	00:07	00:16	00:01	00:07	00:52	
Csengery+Keller 1990	00:22	00:27	00:06	00:54		Csengery+Keller 1990	00:04	00:09	00:08	00:09	00:17	00:01	00:06	00:54	
Komsi+Oramo 1994	00:31	00:32	00:10	01:13		Komsi+Oramo 1994	00:07	00:13	00:11	00:10	00:20	00:02	00:10	01:13	
Komsi+Oramo 1995	00:32	00:32	00:08	01:12		Komsi+Oramo 1995	00:06	00:14	00:12	00:09	00:20	00:02	00:08	01:12	
Whittlesey+Sallaberger 1997	00:23	00:27	00:05	00:55		Whittlesey+Sallaberger 1997	00:04	00:10	00:09	00:09	00:17	00:01	00:05	00:55	
Pammer+Kopatchinskaja 2004	00:20	00:21	00:07	00:48		Pammer+Kopatchinskaja 2004	00:03	00:08	00:09	00:07	00:14	00:00	00:07	00:48	
Arnold+Pogossian 2004	00:29	00:32	00:09	01:10		Arnold+Pogossian 2004	00:05	00:13	00:11	00:09	00:20	00:03	00:09	01:10	
Banse+Keller 2005	00:21	00:25	00:10	00:56		Banse+Keller 2005	00:04	00:09	00:08	00:07	00:17	00:01	00:10	00:56	
Arnold+Pogossian 2006	00:25	00:31	00:08	01:03		Arnold+Pogossian 2006	00:04	00:11	00:10	00:09	00:20	00:02	00:08	01:03	
Melzer+Stark 2012	00:24	00:25	00:10	00:59		Melzer+Stark 2012	00:04	00:10	00:09	00:07	00:16	00:02	00:10	00:59	
Melzer+Stark 2013	00:24	00:25	00:10	01:00		Melzer+Stark 2013	00:04	00:11	00:09	00:07	00:16	00:02	00:10	01:00	
Kammer+Widmann 2017	00:23	00:24	00:07	00:54		Kammer+Widmann 2017	00:04	00:10	00:09	00:08	00:15	00:02	00:07	00:54	
Melzer+Stark 2017	00:23	00:25	00:12	01:00		Melzer+Stark 2017	00:05	00:10	00:08	00:07	00:16	00:02	00:12	01:00	
Melzer+Stark 2019	00:25	00:25	00:11	01:02		Melzer+Stark 2019	00:05	00:11	00:09	00:08	00:16	00:02	00:11	01:02	
mean 14	00:24	00:27	00:09	01:00		mean 14	00:04	00:11	00:09	00:08	00:17	00:02	00:09	01:00	
min 14	00:20	00:21	00:05	00:48	PK 2004	min 14	00:03	00:08	00:08	00:07	00:14	00:00	00:05	00:48	PK 2004
max 14	00:32	00:32	00:12	01:13	KO 1994	max 14	00:07	00:14	00:12	00:10	00:20	00:03	00:12	01:13	KO 1994
rel stdv (%) 14	15,02	12,73	25,08	12,64		rel stdv (%) 14	21,04	15,33	13,89	12,73	12,31	38,30	25,08	12,64	
dur sec 8	1	2	3	total		dur seg 8	1a	1b	1c	2a	2b	2c	3	total	
Csengery+Keller 1990	00:22	00:27	00:06	00:54		Csengery+Keller 1990	00:04	00:09	00:08	00:09	00:17	00:01	00:06	00:54	
Komsi+Oramo 1995	00:32	00:32	00:08	01:12		Komsi+Oramo 1995	00:06	00:14	00:12	00:09	00:20	00:02	00:08	01:12	
Whittlesey+Sallaberger 1997	00:23	00:27	00:05	00:55		Whittlesey+Sallaberger 1997	00:04	00:10	00:09	00:09	00:17	00:01	00:05	00:55	
Pammer+Kopatchinskaja 2004	00:20	00:21	00:07	00:48		Pammer+Kopatchinskaja 2004	00:03	00:08	00:09	00:07	00:14	00:00	00:07	00:48	
Arnold+Pogossian 2004	00:29	00:32	00:09	01:10		Arnold+Pogossian 2004	00:05	00:13	00:11	00:09	00:20	00:03	00:09	01:10	
Banse+Keller 2005	00:21	00:25	00:10	00:56		Banse+Keller 2005	00:04	00:09	00:08	00:07	00:17	00:01	00:10	00:56	
Melzer+Stark 2012	00:24	00:25	00:10	00:59		Melzer+Stark 2012	00:04	00:10	00:09	00:07	00:16	00:02	00:10	00:59	
Kammer+Widmann 2017	00:23	00:24	00:07	00:54		Kammer+Widmann 2017	00:04	00:10	00:09	00:08	00:15	00:02	00:07	00:54	
mean 8	00:24	00:27	00:08	00:59		mean 8	00:04	00:10	00:10	00:08	00:17	00:02	00:08	00:59	
min 8	00:20	00:21	00:05	00:48	PK 2004	min 8	00:03	00:08	00:08	00:07	00:14	00:00	00:05	00:48	PK 2004
max 8	00:32	00:32	00:10	01:12	KO 1995	max 8	00:06	00:14	00:12	00:09	00:20	00:03	00:10	01:12	KO 1995
rel stdv (%) 8 	16,71	13,83	25,16	14,02		rel stdv (%) 8	19,92	17,90	15,09	11,32	13,44	43,43	25,16	14,02	
perc sec 14	1	2	3			perc seg 14	1a	1b	1c	2a	2b	2c	3		
Csengery+Keller 1987	40,21	46,80	12,98			Csengery+Keller 1987	7,59	17,66	14,96	14,39	31,22	1,19	12,98		
Csengery+Keller 1990	39,66	49,72	10,62			Csengery+Keller 1990	6,83	17,25	15,58	15,65	31,60	2,47	10,62		
Komsi+Oramo 1994	42,38	43,85	13,76			Komsi+Oramo 1994	9,40	18,03	14,96	14,01	26,72	3,12	13,76		
Komsi+Oramo 1995	43,97	44,23	11,80			Komsi+Oramo 1995	7,98	19,17	16,83	12,87	28,27	3,09	11,80		
Whittlesey+Sallaberger 1997	42,62	48,94	8,44			Whittlesey+Sallaberger 1997	8,00	17,92	16,70	15,68	30,82	2,44	8,44		
