dur sec 14	1	2	3	4	5	6	7	total		dur seg 14	1a	1b	2a	2b	3a	3b	4	5a	5b	6a	6b	6c	6d	7a	7b	total	
Csengery+Keller 1987	00:08	00:09	00:11	00:06	00:13	00:40	00:05	01:31		Csengery+Keller 1987	00:03	00:05	00:04	00:05	00:04	00:07	00:06	00:01	00:11	00:05	00:08	00:13	00:14	00:04	00:01	01:31	
Csengery+Keller 1990	00:08	00:09	00:11	00:06	00:12	00:38	00:05	01:30		Csengery+Keller 1990	00:04	00:04	00:04	00:05	00:05	00:07	00:06	00:01	00:11	00:04	00:08	00:12	00:14	00:04	00:01	01:30	
Komsi+Oramo 1994	00:07	00:05	00:06	00:04	00:07	00:28	00:04	01:00		Komsi+Oramo 1994	00:04	00:03	00:02	00:03	00:03	00:03	00:04	00:01	00:06	00:03	00:06	00:08	00:11	00:03	00:01	01:00	
Komsi+Oramo 1995	00:07	00:06	00:07	00:05	00:07	00:31	00:03	01:04		Komsi+Oramo 1995	00:03	00:03	00:02	00:03	00:03	00:04	00:05	00:01	00:05	00:03	00:06	00:10	00:11	00:02	00:00	01:04	
Whittlesey+Sallaberger 1997	00:07	00:07	00:12	00:07	00:15	00:37	00:04	01:29		Whittlesey+Sallaberger 1997	00:04	00:04	00:03	00:04	00:04	00:08	00:07	00:02	00:13	00:05	00:08	00:12	00:13	00:04	00:01	01:29	
Pammer+Kopatchinskaja 2004	00:08	00:08	00:13	00:06	00:13	00:32	00:04	01:24		Pammer+Kopatchinskaja 2004	00:04	00:05	00:04	00:04	00:05	00:08	00:06	00:01	00:11	00:04	00:07	00:10	00:11	00:03	00:01	01:24	
Arnold+Pogossian 2004	00:08	00:09	00:12	00:07	00:11	00:35	00:04	01:27		Arnold+Pogossian 2004	00:04	00:04	00:04	00:05	00:05	00:07	00:07	00:01	00:10	00:04	00:06	00:11	00:14	00:04	00:00	01:27	
Banse+Keller 2005	00:07	00:07	00:10	00:05	00:10	00:38	00:05	01:24		Banse+Keller 2005	00:03	00:04	00:03	00:04	00:04	00:06	00:05	00:01	00:09	00:05	00:08	00:12	00:14	00:05	00:01	01:24	
Arnold+Pogossian 2006	00:07	00:08	00:12	00:07	00:12	00:36	00:04	01:26		Arnold+Pogossian 2006	00:03	00:04	00:04	00:05	00:05	00:07	00:07	00:01	00:11	00:04	00:07	00:10	00:16	00:03	00:01	01:26	
Melzer+Stark 2012	00:08	00:07	00:09	00:05	00:12	00:30	00:05	01:16		Melzer+Stark 2012	00:04	00:04	00:03	00:04	00:04	00:06	00:05	00:02	00:10	00:04	00:05	00:10	00:12	00:03	00:02	01:16	
Melzer+Stark 2013	00:08	00:07	00:10	00:05	00:11	00:31	00:04	01:15		Melzer+Stark 2013	00:04	00:05	00:03	00:04	00:04	00:05	00:05	00:02	00:09	00:04	00:05	00:11	00:12	00:04	00:01	01:15	
Kammer+Widmann 2017	00:07	00:07	00:10	00:05	00:09	00:29	00:03	01:09		Kammer+Widmann 2017	00:03	00:03	00:04	00:04	00:04	00:05	00:05	00:01	00:08	00:04	00:07	00:08	00:10	00:02	00:01	01:09	
Melzer+Stark 2017	00:07	00:07	00:09	00:05	00:10	00:31	00:07	01:16		Melzer+Stark 2017	00:03	00:04	00:03	00:04	00:04	00:05	00:05	00:02	00:09	00:03	00:05	00:09	00:13	00:06	00:01	01:16	
Melzer+Stark 2019	00:07	00:07	00:10	00:05	00:11	00:32	00:05	01:16		Melzer+Stark 2019	00:04	00:03	00:03	00:04	00:04	00:06	00:05	00:02	00:10	00:03	00:05	00:11	00:12	00:03	00:01	01:16	
mean 14	00:07	00:07	00:10	00:06	00:11	00:34	00:04	01:19		mean 14	00:04	00:04	00:03	00:04	00:04	00:06	00:06	00:01	00:09	00:04	00:06	00:11	00:13	00:04	00:01	01:19	
min 14	00:07	00:05	00:06	00:04	00:07	00:28	00:03	01:00	KO 1994	min 14	00:03	00:03	00:02	00:03	00:03	00:03	00:04	00:01	00:05	00:03	00:05	00:08	00:10	00:02	00:00	01:00	KO 1994
max 14	00:08	00:09	00:13	00:07	00:15	00:40	00:07	01:31	CK 1987	max 14	00:04	00:05	00:04	00:05	00:05	00:08	00:07	00:02	00:13	00:05	00:08	00:13	00:16	00:06	00:02	01:31	CK 1987
rel stdv (%) 14	8,14	17,34	20,08	00:17	00:20	00:12	00:23	12,38		rel stdv (%) 14	7,48	13,17	18,65	17,63	18,16	22,43	16,52	15,24	22,07	15,90	19,23	14,37	12,86	25,74	46,06	12,38	
dur sec 8	1	2	3	4	5	6	7	total		dur seg 8	1a	1b	2a	2b	3a	3b	4	5a	5b	6a	6b	6c	6d	7a	7b	total	
Csengery+Keller 1990	00:08	00:09	00:11	00:06	00:12	00:38	00:05	01:30		Csengery+Keller 1990	00:04	00:04	00:04	00:05	00:05	00:07	00:06	00:01	00:11	00:04	00:08	00:12	00:14	00:04	00:01	01:30	
Komsi+Oramo 1995	00:07	00:06	00:07	00:05	00:07	00:31	00:03	01:04		Komsi+Oramo 1995	00:03	00:03	00:02	00:03	00:03	00:04	00:05	00:01	00:05	00:03	00:06	00:10	00:11	00:02	00:00	01:04	
Whittlesey+Sallaberger 1997	00:07	00:07	00:12	00:07	00:15	00:37	00:04	01:29		Whittlesey+Sallaberger 1997	00:04	00:04	00:03	00:04	00:04	00:08	00:07	00:02	00:13	00:05	00:08	00:12	00:13	00:04	00:01	01:29	
Pammer+Kopatchinskaja 2004	00:08	00:08	00:13	00:06	00:13	00:32	00:04	01:24		Pammer+Kopatchinskaja 2004	00:04	00:05	00:04	00:04	00:05	00:08	00:06	00:01	00:11	00:04	00:07	00:10	00:11	00:03	00:01	01:24	
Arnold+Pogossian 2004	00:08	00:09	00:12	00:07	00:11	00:35	00:04	01:27		Arnold+Pogossian 2004	00:04	00:04	00:04	00:05	00:05	00:07	00:07	00:01	00:10	00:04	00:06	00:11	00:14	00:04	00:00	01:27	
Banse+Keller 2005	00:07	00:07	00:10	00:05	00:10	00:38	00:05	01:24		Banse+Keller 2005	00:03	00:04	00:03	00:04	00:04	00:06	00:05	00:01	00:09	00:05	00:08	00:12	00:14	00:05	00:01	01:24	
Melzer+Stark 2012	00:08	00:07	00:09	00:05	00:12	00:30	00:05	01:16		Melzer+Stark 2012	00:04	00:04	00:03	00:04	00:04	00:06	00:05	00:02	00:10	00:04	00:05	00:10	00:12	00:03	00:02	01:16	
Kammer+Widmann 2017	00:07	00:07	00:10	00:05	00:09	00:29	00:03	01:09		Kammer+Widmann 2017	00:03	00:03	00:04	00:04	00:04	00:05	00:05	00:01	00:08	00:04	00:07	00:08	00:10	00:02	00:01	01:09	
mean 8	00:08	00:07	00:10	00:06	00:11	00:34	00:04	01:20		mean 8	00:04	00:04	00:03	00:04	00:04	00:06	00:06	00:01	00:10	00:04	00:07	00:11	00:12	00:03	00:01	01:20	
min 8	00:07	00:06	00:07	00:05	00:07	00:29	00:03	01:04	KO 1995	min 8	00:03	00:03	00:02	00:03	00:03	00:04	00:05	00:01	00:05	00:03	00:05	00:08	00:10	00:02	00:00	01:04	KO 1995
max 8	00:08	00:09	00:13	00:07	00:15	00:38	00:05	01:30	CK 1990	max 8	00:04	00:05	00:04	00:05	00:05	00:08	00:07	00:02	00:13	00:05	00:08	00:12	00:14	00:05	00:02	01:30	CK 1990
