dur sec 14	1	2	total		dur seg 14	1a	1b	1c	1d	1e	2a	2b	2c	2d	total	
Csengery+Keller 1987	00:23	00:09	00:32		Csengery+Keller 1987	00:05	00:07	00:05	00:03	00:03	00:02	00:02	00:01	00:04	00:32	
Csengery+Keller 1990	00:24	00:07	00:31		Csengery+Keller 1990	00:06	00:07	00:06	00:03	00:03	00:01	00:01	00:01	00:03	00:31	
Komsi+Oramo 1994	00:13	00:05	00:18		Komsi+Oramo 1994	00:03	00:03	00:02	00:01	00:04	00:01	00:01	00:01	00:02	00:18	
Komsi+Oramo 1995	00:14	00:06	00:19		Komsi+Oramo 1995	00:02	00:03	00:02	00:01	00:05	00:02	00:02	00:01	00:01	00:19	
Whittlesey+Sallaberger 1997	00:23	00:06	00:30		Whittlesey+Sallaberger 1997	00:04	00:09	00:05	00:03	00:03	00:01	00:01	00:01	00:03	00:30	
Pammer+Kopatchinskaja 2004	00:22	00:05	00:28		Pammer+Kopatchinskaja 2004	00:05	00:06	00:04	00:03	00:03	00:01	00:01	00:01	00:02	00:28	
Arnold+Pogossian 2004	00:19	00:07	00:25		Arnold+Pogossian 2004	00:03	00:05	00:04	00:02	00:04	00:01	00:01	00:01	00:03	00:25	
Banse+Keller 2005	00:24	00:07	00:30		Banse+Keller 2005	00:05	00:06	00:05	00:03	00:05	00:02	00:01	00:01	00:03	00:30	
Arnold+Pogossian 2006	00:18	00:07	00:24		Arnold+Pogossian 2006	00:03	00:05	00:04	00:03	00:03	00:01	00:01	00:01	00:03	00:24	
Melzer+Stark 2012	00:15	00:06	00:21		Melzer+Stark 2012	00:03	00:05	00:03	00:02	00:03	00:01	00:01	00:01	00:02	00:21	
Melzer+Stark 2013	00:15	00:06	00:21		Melzer+Stark 2013	00:03	00:06	00:03	00:02	00:02	00:01	00:01	00:01	00:02	00:21	
Kammer+Widmann 2017	00:16	00:08	00:23		Kammer+Widmann 2017	00:03	00:04	00:03	00:02	00:04	00:02	00:02	00:01	00:03	00:23	
Melzer+Stark 2017	00:13	00:06	00:19		Melzer+Stark 2017	00:02	00:04	00:03	00:01	00:02	00:01	00:01	00:01	00:02	00:19	
Melzer+Stark 2019	00:15	00:07	00:21		Melzer+Stark 2019	00:02	00:05	00:03	00:02	00:02	00:01	00:01	00:01	00:03	00:21	
mean 14	00:18	00:06	00:24		mean 14	00:04	00:05	00:04	00:02	00:03	00:01	00:01	00:01	00:03	00:24	
min 14	00:13	00:05	00:18	KO 1994	min 14	00:02	00:03	00:02	00:01	00:02	00:01	00:01	00:01	00:01	00:18	KO 1994
max 14	00:24	00:09	00:32	CK 1987	max 14	00:06	00:09	00:06	00:03	00:05	00:02	00:02	00:01	00:04	00:32	CK 1987
rel stdv (%) 14	23,54	14,82	19,54		rel stdv (%) 14	37,54	29,86	28,32	23,52	28,70	12,35	17,44	18,85	27,13	19,54	
dur sec 8	1	2	total		dur seg 8	1a	1b	1c	1d	1e	2a	2b	2c	2d	total	
Csengery+Keller 1990	00:24	00:07	00:31		Csengery+Keller 1990	00:06	00:07	00:06	00:03	00:03	00:01	00:01	00:01	00:03	00:31	
Komsi+Oramo 1995	00:14	00:06	00:19		Komsi+Oramo 1995	00:02	00:03	00:02	00:01	00:05	00:02	00:02	00:01	00:01	00:19	
Whittlesey+Sallaberger 1997	00:23	00:06	00:30		Whittlesey+Sallaberger 1997	00:04	00:09	00:05	00:03	00:03	00:01	00:01	00:01	00:03	00:30	
Pammer+Kopatchinskaja 2004	00:22	00:05	00:28		Pammer+Kopatchinskaja 2004	00:05	00:06	00:04	00:03	00:03	00:01	00:01	00:01	00:02	00:28	
Arnold+Pogossian 2004	00:19	00:07	00:25		Arnold+Pogossian 2004	00:03	00:05	00:04	00:02	00:04	00:01	00:01	00:01	00:03	00:25	
Banse+Keller 2005	00:24	00:07	00:30		Banse+Keller 2005	00:05	00:06	00:05	00:03	00:05	00:02	00:01	00:01	00:03	00:30	
Melzer+Stark 2012	00:15	00:06	00:21		Melzer+Stark 2012	00:03	00:05	00:03	00:02	00:03	00:01	00:01	00:01	00:02	00:21	
Kammer+Widmann 2017	00:16	00:08	00:23		Kammer+Widmann 2017	00:03	00:04	00:03	00:02	00:04	00:02	00:02	00:01	00:03	00:23	
mean 8	00:19	00:06	00:26		mean 8	00:04	00:06	00:04	00:02	00:04	00:01	00:01	00:01	00:03	00:26	
min 8	00:14	00:05	00:19	KO 1995	min 8	00:02	00:03	00:02	00:01	00:03	00:01	00:01	00:01	00:01	00:19	KO 1995
max 8	00:24	00:08	00:31	CK 1990	max 8	00:06	00:09	00:06	00:03	00:05	00:02	00:02	00:01	00:03	00:31	CK 1990
rel stdv (%) 8 	21,46	12,03	16,99		rel stdv (%) 8	33,23	32,13	28,25	21,53	23,51	10,67	13,62	11,48	25,82	16,99	
perc sec 14	1	2			perc seg 14	1a	1b	1c	1d	1e	2a	2b	2c	2d		
Csengery+Keller 1987	73,09	26,91			Csengery+Keller 1987	16,79	21,98	16,75	8,27	9,30	5,12	5,75	3,21	12,84		
Csengery+Keller 1990	76,80	23,20			Csengery+Keller 1990	18,97	21,98	18,54	8,70	8,62	4,62	4,61	3,24	10,73		
Komsi+Oramo 1994	73,47	26,53			Komsi+Oramo 1994	14,15	17,23	13,13	7,80	21,15	6,30	5,40	6,13	8,71		
Komsi+Oramo 1995	71,09	28,91			Komsi+Oramo 1995	11,79	14,93	12,59	7,74	24,04	9,11	8,29	4,07	7,44		
Whittlesey+Sallaberger 1997	78,84	21,16			Whittlesey+Sallaberger 1997	13,06	30,63	16,27	8,82	10,05	4,49	4,26	2,68	9,73		
Pammer+Kopatchinskaja 2004	80,14	19,86			Pammer+Kopatchinskaja 2004	19,43	23,21	15,50	9,32	12,68	4,54	3,79	3,01	8,52		
Arnold+Pogossian 2004	74,05	25,95			Arnold+Pogossian 2004	12,12	20,98	16,04	8,97	15,93	5,40	5,53	3,53	11,49		
Banse+Keller 2005	77,95	22,05			Banse+Keller 2005	16,19	21,08	15,73	9,13	15,82	5,00	4,54	2,54	9,97		
Arnold+Pogossian 2006	73,06	26,94			Arnold+Pogossian 2006	12,01	20,16	16,52	10,24	14,15	5,47	5,25	3,87	12,35		
Melzer+Stark 2012	72,52	27,48			Melzer+Stark 2012	13,56	23,26	14,94	8,52	12,23	7,05	6,75	4,53	9,15		
Melzer+Stark 2013	71,61	28,39			Melzer+Stark 2013	13,59	26,26	13,85	8,14	9,76	6,51	6,30	4,63	10,95		
Kammer+Widmann 2017	67,41	32,59			Kammer+Widmann 2017	13,55	18,90	11,97	7,89	15,09	6,84	7,14	4,37	14,24		
Melzer+Stark 2017	68,46	31,54			Melzer+Stark 2017	10,29	23,27	16,83	7,73	10,34	6,04	5,60	7,09	12,81		
Melzer+Stark 2019	68,60	31,40			Melzer+Stark 2019	9,89	23,20	15,47	10,71	9,33	6,53	6,20	6,44	12,22		
mean 14	73,36	26,64			mean 14	13,96	21,93	15,30	8,71	13,46	5,93	5,67	4,24	10,80		
score	69,23	30,77			score	17,95	17,95	17,95	10,26	5,13	7,69	7,69	7,69	7,69		
min 14	67,41	19,86			min 14	9,89	14,93	11,97	7,73	8,62	4,49	3,79	2,54	7,44		
max 14	80,14	32,59			max 14	19,43	30,63	18,54	10,71	24,04	9,11	8,29	7,09	14,24		
abs stdv 14	3,93	3,93			abs stdv 14	2,93	3,79	1,83	0,92	4,65	1,26	1,21	1,42	1,97		
perc sec 8	1	2			perc seg 8	1a	1b	1c	1d	1e	2a	2b	2c	2d		
Csengery+Keller 1990	76,80	23,20			Csengery+Keller 1990	18,97	21,98	18,54	8,70	8,62	4,62	4,61	3,24	10,73		
Komsi+Oramo 1995	71,09	28,91			Komsi+Oramo 1995	11,79	14,93	12,59	7,74	24,04	9,11	8,29	4,07	7,44		
Whittlesey+Sallaberger 1997	78,84	21,16			Whittlesey+Sallaberger 1997	13,06	30,63	16,27	8,82	10,05	4,49	4,26	2,68	9,73		
Pammer+Kopatchinskaja 2004	80,14	19,86			Pammer+Kopatchinskaja 2004	19,43	23,21	15,50	9,32	12,68	4,54	3,79	3,01	8,52		
Arnold+Pogossian 2004	74,05	25,95			Arnold+Pogossian 2004	12,12	20,98	16,04	8,97	15,93	5,40	5,53	3,53	11,49		
Banse+Keller 2005	77,95	22,05			Banse+Keller 2005	16,19	21,08	15,73	9,13	15,82	5,00	4,54	2,54	9,97		
Melzer+Stark 2012	72,52	27,48			Melzer+Stark 2012	13,56	23,26	14,94	8,52	12,23	7,05	6,75	4,53	9,15		
Kammer+Widmann 2017	67,41	32,59			Kammer+Widmann 2017	13,55	18,90	11,97	7,89	15,09	6,84	7,14	4,37	14,24		
mean 8	74,85	25,15			mean 8	4,48	5,00	4,12	5,17	5,30	7,66	7,19	1,74	11,91		
score	69,23	30,77			score	17,95	17,95	17,95	10,26	5,13	7,69	7,69	7,69	7,69		
min 8	67,41	19,86			min 8	11,79	14,93	11,97	7,74	8,62	4,49	3,79	2,54	7,44		
max 8	80,14	32,59			max 8	19,43	30,63	18,54	9,32	24,04	9,11	8,29	4,53	14,24		
abs stdv 8 	4,36	4,36			abs stdv 8	3,00	4,45	2,09	0,56	4,75	1,65	1,61	0,76	2,07		
