dur sec 14	1	2	3	total		dur seg 14	1a	1b	2a	2b	2c	3a	3b	total	
Csengery+Keller 1987	00:04	00:06	00:02	00:13		Csengery+Keller 1987	00:03	00:01	00:02	00:01	00:03	00:01	00:01	00:13	
Csengery+Keller 1990	00:04	00:07	00:02	00:13		Csengery+Keller 1990	00:03	00:01	00:02	00:01	00:03	00:00	00:02	00:13	
Komsi+Oramo 1994	00:03	00:06	00:02	00:11		Komsi+Oramo 1994	00:03	00:00	00:03	00:01	00:02	00:01	00:02	00:11	
Komsi+Oramo 1995	00:03	00:06	00:01	00:10		Komsi+Oramo 1995	00:03	00:01	00:02	00:01	00:02	00:00	00:01	00:10	
Whittlesey+Sallaberger 1997	00:05	00:08	00:01	00:15		Whittlesey+Sallaberger 1997	00:04	00:01	00:02	00:02	00:04	00:01	00:01	00:15	
Pammer+Kopatchinskaja 2004	00:05	00:09	00:02	00:17		Pammer+Kopatchinskaja 2004	00:04	00:01	00:04	00:02	00:04	00:01	00:01	00:17	
Arnold+Pogossian 2004	00:05	00:08	00:02	00:15		Arnold+Pogossian 2004	00:04	00:01	00:03	00:01	00:03	00:01	00:01	00:15	
Banse+Keller 2005	00:06	00:07	00:04	00:17		Banse+Keller 2005	00:04	00:02	00:02	00:02	00:03	00:01	00:03	00:17	
Arnold+Pogossian 2006	00:05	00:08	00:02	00:16		Arnold+Pogossian 2006	00:04	00:01	00:03	00:02	00:03	00:01	00:01	00:16	
Melzer+Stark 2012	00:04	00:10	00:02	00:16		Melzer+Stark 2012	00:04	00:01	00:04	00:02	00:04	00:01	00:01	00:16	
Melzer+Stark 2013	00:05	00:09	00:02	00:15		Melzer+Stark 2013	00:04	00:01	00:04	00:01	00:04	00:01	00:01	00:15	
Kammer+Widmann 2017	00:04	00:07	00:01	00:12		Kammer+Widmann 2017	00:03	00:01	00:03	00:01	00:03	00:00	00:01	00:12	
Melzer+Stark 2017	00:05	00:08	00:02	00:14		Melzer+Stark 2017	00:03	00:01	00:03	00:01	00:04	00:01	00:01	00:14	
Melzer+Stark 2019	00:04	00:09	00:02	00:16		Melzer+Stark 2019	00:03	00:01	00:03	00:02	00:04	00:01	00:01	00:16	
mean 14	00:05	00:08	00:02	00:14		mean 14	00:04	00:01	00:03	00:01	00:03	00:01	00:01	00:14	
min 14	00:03	00:06	00:01	00:10	KO 1995	min 14	00:03	00:00	00:02	00:01	00:02	00:00	00:01	00:10	KO 1995
max 14	00:06	00:10	00:04	00:17	PK 2004/BK 2005	max 14	00:04	00:02	00:04	00:02	00:04	00:01	00:03	00:17	PK 2004/BK 2005
rel stdv (%) 14	15,61	16,48	34,38	14,04		rel stdv (%) 14	13,42	39,01	19,66	32,27	16,69	32,24	57,21	14,04	
dur sec 8	1	2	3	total		dur seg 8	1a	1b	2a	2b	2c	3a	3b	total	
Csengery+Keller 1990	00:04	00:07	00:02	00:13		Csengery+Keller 1990	00:03	00:01	00:02	00:01	00:03	00:00	00:02	00:13	
Komsi+Oramo 1995	00:03	00:06	00:01	00:10		Komsi+Oramo 1995	00:03	00:01	00:02	00:01	00:02	00:00	00:01	00:10	
Whittlesey+Sallaberger 1997	00:05	00:08	00:01	00:15		Whittlesey+Sallaberger 1997	00:04	00:01	00:02	00:02	00:04	00:01	00:01	00:15	
Pammer+Kopatchinskaja 2004	00:05	00:09	00:02	00:17		Pammer+Kopatchinskaja 2004	00:04	00:01	00:04	00:02	00:04	00:01	00:01	00:17	
Arnold+Pogossian 2004	00:05	00:08	00:02	00:15		Arnold+Pogossian 2004	00:04	00:01	00:03	00:01	00:03	00:01	00:01	00:15	
Banse+Keller 2005	00:06	00:07	00:04	00:17		Banse+Keller 2005	00:04	00:02	00:02	00:02	00:03	00:01	00:03	00:17	
Melzer+Stark 2012	00:04	00:10	00:02	00:16		Melzer+Stark 2012	00:04	00:01	00:04	00:02	00:04	00:01	00:01	00:16	
Kammer+Widmann 2017	00:04	00:07	00:01	00:12		Kammer+Widmann 2017	00:03	00:01	00:03	00:01	00:03	00:00	00:01	00:12	
