dur sec 14	1	2	3	total		dur seg 14	1a	1b	1c	1d	1e	1f	2a	2b	2c	2d	3a	3b	total	
Csengery+Keller 1987	00:45	00:23	00:07	01:15		Csengery+Keller 1987	00:11	00:11	00:10	00:01	00:05	00:06	00:09	00:04	00:02	00:08	00:04	00:02	01:15	
Csengery+Keller 1990	00:51	00:24	00:06	01:21		Csengery+Keller 1990	00:12	00:11	00:10	00:01	00:07	00:09	00:08	00:04	00:02	00:10	00:04	00:02	01:21	
Komsi+Oramo 1994	00:42	00:32	00:07	01:20		Komsi+Oramo 1994	00:11	00:06	00:13	00:01	00:04	00:06	00:12	00:05	00:03	00:12	00:04	00:03	01:20	
Komsi+Oramo 1995	00:39	00:30	00:07	01:16		Komsi+Oramo 1995	00:08	00:07	00:11	00:01	00:06	00:06	00:11	00:05	00:02	00:13	00:04	00:03	01:16	
Whittlesey+Sallaberger 1997	00:35	00:18	00:06	01:00		Whittlesey+Sallaberger 1997	00:06	00:06	00:09	00:02	00:08	00:04	00:07	00:04	00:02	00:06	00:04	00:02	01:00	
Pammer+Kopatchinskaja 2004	00:49	00:20	00:07	01:15		Pammer+Kopatchinskaja 2004	00:11	00:09	00:10	00:02	00:11	00:06	00:06	00:04	00:02	00:08	00:05	00:02	01:15	
Arnold+Pogossian 2004	00:42	00:28	00:07	01:17		Arnold+Pogossian 2004	00:10	00:08	00:08	00:01	00:08	00:06	00:08	00:05	00:02	00:12	00:05	00:02	01:17	
Banse+Keller 2005	00:38	00:24	00:07	01:09		Banse+Keller 2005	00:09	00:08	00:08	00:01	00:06	00:06	00:08	00:04	00:02	00:09	00:05	00:02	01:09	
Arnold+Pogossian 2006	00:41	00:30	00:07	01:18		Arnold+Pogossian 2006	00:11	00:08	00:10	00:01	00:04	00:06	00:10	00:05	00:03	00:13	00:05	00:02	01:18	
Melzer+Stark 2012	00:34	00:26	00:07	01:07		Melzer+Stark 2012	00:09	00:07	00:10	00:01	00:04	00:02	00:07	00:04	00:02	00:13	00:05	00:03	01:07	
Melzer+Stark 2013	00:37	00:23	00:08	01:08		Melzer+Stark 2013	00:09	00:07	00:09	00:01	00:05	00:05	00:08	00:03	00:02	00:12	00:05	00:03	01:08	
Kammer+Widmann 2017	00:35	00:18	00:06	01:00		Kammer+Widmann 2017	00:07	00:06	00:08	00:02	00:09	00:04	00:06	00:04	00:01	00:07	00:04	00:02	01:00	
Melzer+Stark 2017	00:37	00:25	00:07	01:09		Melzer+Stark 2017	00:10	00:06	00:10	00:01	00:05	00:04	00:07	00:04	00:02	00:12	00:05	00:03	01:09	
Melzer+Stark 2019	00:39	00:28	00:08	01:15		Melzer+Stark 2019	00:11	00:06	00:10	00:01	00:06	00:05	00:07	00:03	00:02	00:15	00:05	00:03	01:15	
mean 14	00:40	00:25	00:07	01:12		mean 14	00:10	00:08	00:10	00:01	00:06	00:06	00:08	00:04	00:02	00:11	00:05	00:03	01:12	
min 14	00:34	00:18	00:06	01:00	WS 1997	min 14	00:06	00:06	00:08	00:01	00:04	00:02	00:06	00:03	00:01	00:06	00:04	00:02	01:00	WS 1997
max 14	00:51	00:32	00:08	01:21	CK 1990	max 14	00:12	00:11	00:13	00:02	00:11	00:09	00:12	00:05	00:03	00:15	00:05	00:03	01:21	CK 1990
rel stdv (%) 14	12,60	17,52	7,62	9,52		rel stdv (%) 14	16,34	23,58	14,47	25,93	29,94	28,21	20,74	16,36	24,82	24,58	6,75	15,49	9,52	
dur sec 8	1	2	3	total		dur seg 8	1a	1b	1c	1d	1e	1f	2a	2b	2c	2d	3a	3b	total	
Csengery+Keller 1990	00:51	00:24	00:06	01:21		Csengery+Keller 1990	00:12	00:11	00:10	00:01	00:07	00:09	00:08	00:04	00:02	00:10	00:04	00:02	01:21	
Komsi+Oramo 1995	00:39	00:30	00:07	01:16		Komsi+Oramo 1995	00:08	00:07	00:11	00:01	00:06	00:06	00:11	00:05	00:02	00:13	00:04	00:03	01:16	
Whittlesey+Sallaberger 1997	00:35	00:18	00:06	01:00		Whittlesey+Sallaberger 1997	00:06	00:06	00:09	00:02	00:08	00:04	00:07	00:04	00:02	00:06	00:04	00:02	01:00	
Pammer+Kopatchinskaja 2004	00:49	00:20	00:07	01:15		Pammer+Kopatchinskaja 2004	00:11	00:09	00:10	00:02	00:11	00:06	00:06	00:04	00:02	00:08	00:05	00:02	01:15	
Arnold+Pogossian 2004	00:42	00:28	00:07	01:17		Arnold+Pogossian 2004	00:10	00:08	00:08	00:01	00:08	00:06	00:08	00:05	00:02	00:12	00:05	00:02	01:17	
Banse+Keller 2005	00:38	00:24	00:07	01:09		Banse+Keller 2005	00:09	00:08	00:08	00:01	00:06	00:06	00:08	00:04	00:02	00:09	00:05	00:02	01:09	
Melzer+Stark 2012	00:34	00:26	00:07	01:07		Melzer+Stark 2012	00:09	00:07	00:10	00:01	00:04	00:02	00:07	00:04	00:02	00:13	00:05	00:03	01:07	
Kammer+Widmann 2017	00:35	00:18	00:06	01:00		Kammer+Widmann 2017	00:07	00:06	00:08	00:02	00:09	00:04	00:06	00:04	00:01	00:07	00:04	00:02	01:00	
mean 8	00:40	00:24	00:07	01:11		mean 8	00:09	00:08	00:09	00:01	00:07	00:05	00:08	00:04	00:02	00:10	00:04	00:02	01:11	
min 8	00:34	00:18	00:06	01:00	WS 1997	min 8	00:06	00:06	00:08	00:01	00:04	00:02	00:06	00:04	00:01	00:06	00:04	00:02	01:00	WS 1997
max 8	00:51	00:30	00:07	01:21	CK 1990	max 8	00:12	00:11	00:11	00:02	00:11	00:09	00:11	00:05	00:02	00:13	00:05	00:03	01:21	CK 1990
rel stdv (%) 8 	15,77	19,22	6,48	11,29		rel stdv (%) 8	19,39	22,67	13,19	26,81	26,41	37,38	20,33	12,06	15,94	26,86	7,16	15,71	11,29	
perc sec 14	1	2	3			perc seg 14	1a	1b	1c	1d	1e	1f	2a	2b	2c	2d	3a	3b		
Csengery+Keller 1987	59,98	30,76	9,26			Csengery+Keller 1987	14,44	14,66	13,67	1,85	7,23	8,14	12,06	5,75	2,24	10,70	6,00	3,26		
Csengery+Keller 1990	62,58	29,45	7,97			Csengery+Keller 1990	14,53	13,85	12,82	1,56	8,59	11,23	10,08	5,30	2,29	11,77	5,38	2,59		
Komsi+Oramo 1994	51,99	39,50	8,51			Komsi+Oramo 1994	13,58	7,44	16,18	1,78	5,32	7,69	14,51	5,81	3,99	15,18	5,13	3,38		
Komsi+Oramo 1995	50,70	39,61	9,68			Komsi+Oramo 1995	10,61	8,75	13,88	1,27	8,36	7,85	13,98	6,50	2,52	16,61	5,39	4,29		
Whittlesey+Sallaberger 1997	58,91	30,62	10,47			Whittlesey+Sallaberger 1997	10,83	10,44	14,27	2,94	13,14	7,30	11,08	6,10	2,67	10,76	6,87	3,60		
Pammer+Kopatchinskaja 2004	64,56	26,09	9,34			Pammer+Kopatchinskaja 2004	14,15	11,91	13,16	2,58	14,72	8,03	8,04	5,07	2,27	10,71	6,28	3,07		
Arnold+Pogossian 2004	54,49	36,39	9,12			Arnold+Pogossian 2004	12,95	11,05	10,57	1,79	10,91	7,22	10,98	6,30	2,90	16,22	6,11	3,00		
Banse+Keller 2005	55,48	34,48	10,05			Banse+Keller 2005	12,57	11,75	10,95	2,11	9,04	9,05	11,62	5,95	3,22	13,68	6,79	3,26		
Arnold+Pogossian 2006	52,25	38,74	9,01			Arnold+Pogossian 2006	14,57	9,75	12,63	1,53	5,68	8,08	12,62	6,48	3,35	16,29	5,98	3,03		
Melzer+Stark 2012	49,85	39,07	11,08			Melzer+Stark 2012	13,40	10,37	14,42	1,58	6,61	3,46	10,97	5,58	2,79	19,73	7,10	3,98		
Melzer+Stark 2013	54,14	34,37	11,49			Melzer+Stark 2013	13,24	11,03	12,93	1,69	7,60	7,64	11,13	3,89	2,33	17,02	7,17	4,32		
Kammer+Widmann 2017	58,96	30,31	10,73			Kammer+Widmann 2017	12,28	9,70	13,13	3,42	14,29	6,12	9,79	6,41	2,28	11,83	6,75	3,98		
Melzer+Stark 2017	53,06	36,06	10,88			Melzer+Stark 2017	14,60	8,75	14,25	1,42	7,52	6,52	10,23	5,36	2,78	17,69	6,79	4,09		
Melzer+Stark 2019	52,33	36,77	10,90			Melzer+Stark 2019	13,97	7,80	13,41	1,29	8,59	7,26	9,93	4,61	2,10	20,13	6,43	4,47		
mean 14	55,66	34,45	9,89			mean 14	13,27	10,52	13,31	1,92	9,11	7,54	11,22	5,65	2,70	14,88	6,30	3,59		
score	57,55	29,72	12,74			score	10,85	12,74	9,91	1,89	15,57	6,60	9,91	6,60	1,42	11,79	9,91	2,83		
min 14	49,85	26,09	7,97			min 14	10,61	7,44	10,57	1,27	5,32	3,46	8,04	3,89	2,10	10,70	5,13	2,59		
max 14	64,56	39,61	11,49			max 14	14,60	14,66	16,18	3,42	14,72	11,23	14,51	6,50	3,99	20,13	7,17	4,47		
abs stdv 14	4,58	4,33	1,06			abs stdv 14	1,31	2,09	1,41	0,64	3,03	1,68	1,70	0,76	0,53	3,31	0,66	0,59		
perc sec 8	1	2	3			perc seg 8	1a	1b	1c	1d	1e	1f	2a	2b	2c	2d	3a	3b		
Csengery+Keller 1990	62,58	29,45	7,97			Csengery+Keller 1990	14,53	13,85	12,82	1,56	8,59	11,23	10,08	5,30	2,29	11,77	5,38	2,59		
Komsi+Oramo 1995	50,70	39,61	9,68			Komsi+Oramo 1995	10,61	8,75	13,88	1,27	8,36	7,85	13,98	6,50	2,52	16,61	5,39	4,29		
Whittlesey+Sallaberger 1997	58,91	30,62	10,47			Whittlesey+Sallaberger 1997	10,83	10,44	14,27	2,94	13,14	7,30	11,08	6,10	2,67	10,76	6,87	3,60		
