dur sec 14	1	2	total		dur seg 14	1a	1b	1c	1d	2a	2b	2c	total	
Csengery+Keller 1987	00:13	00:10	00:22		Csengery+Keller 1987	00:03	00:05	00:01	00:04	00:04	00:04	00:02	00:22	
Csengery+Keller 1990	00:13	00:09	00:21		Csengery+Keller 1990	00:03	00:04	00:01	00:04	00:03	00:03	00:02	00:21	
Komsi+Oramo 1994	00:11	00:15	00:27		Komsi+Oramo 1994	00:02	00:04	00:02	00:03	00:06	00:05	00:05	00:27	
Komsi+Oramo 1995	00:10	00:11	00:21		Komsi+Oramo 1995	00:02	00:04	00:01	00:03	00:04	00:04	00:04	00:21	
Whittlesey+Sallaberger 1997	00:12	00:10	00:22		Whittlesey+Sallaberger 1997	00:04	00:04	00:01	00:04	00:04	00:04	00:02	00:22	
Pammer+Kopatchinskaja 2004	00:14	00:12	00:27		Pammer+Kopatchinskaja 2004	00:03	00:05	00:02	00:05	00:05	00:05	00:02	00:27	
Arnold+Pogossian 2004	00:12	00:14	00:27		Arnold+Pogossian 2004	00:03	00:04	00:02	00:03	00:05	00:06	00:03	00:27	
Banse+Keller 2005	00:12	00:10	00:22		Banse+Keller 2005	00:04	00:04	00:01	00:03	00:04	00:04	00:02	00:22	
Arnold+Pogossian 2006	00:13	00:12	00:25		Arnold+Pogossian 2006	00:03	00:04	00:02	00:04	00:05	00:05	00:02	00:25	
Melzer+Stark 2012	00:10	00:10	00:21		Melzer+Stark 2012	00:03	00:03	00:02	00:03	00:04	00:04	00:02	00:21	
Melzer+Stark 2013	00:10	00:11	00:21		Melzer+Stark 2013	00:03	00:03	00:01	00:03	00:04	00:04	00:03	00:21	
Kammer+Widmann 2017	00:12	00:11	00:24		Kammer+Widmann 2017	00:04	00:03	00:02	00:04	00:04	00:05	00:03	00:24	
Melzer+Stark 2017	00:12	00:10	00:22		Melzer+Stark 2017	00:03	00:03	00:02	00:04	00:04	00:04	00:02	00:22	
Melzer+Stark 2019	00:12	00:10	00:22		Melzer+Stark 2019	00:03	00:03	00:02	00:04	00:04	00:04	00:02	00:22	
mean 14	00:12	00:11	00:23		mean 14	00:03	00:04	00:02	00:04	00:04	00:04	00:03	00:23	
