dur sec 14	1	2	3	total		dur seg 14	1a	1b	1c	2a	2b	2c	2d	3a	3b	3c	total	
Csengery+Keller 1987	00:22	00:27	00:20	01:09		Csengery+Keller 1987	00:04	00:06	00:12	00:03	00:06	00:08	00:10	00:05	00:04	00:11	01:09	
Csengery+Keller 1990	00:19	00:22	00:19	00:59		Csengery+Keller 1990	00:03	00:05	00:12	00:03	00:05	00:08	00:07	00:06	00:03	00:09	00:59	
Komsi+Oramo 1994	00:14	00:16	00:18	00:47		Komsi+Oramo 1994	00:02	00:05	00:06	00:04	00:05	00:03	00:03	00:04	00:03	00:11	00:47	
Komsi+Oramo 1995	00:14	00:12	00:14	00:40		Komsi+Oramo 1995	00:02	00:06	00:06	00:02	00:03	00:03	00:03	00:03	00:03	00:07	00:40	
Whittlesey+Sallaberger 1997	00:19	00:20	00:14	00:53		Whittlesey+Sallaberger 1997	00:04	00:04	00:11	00:04	00:04	00:05	00:07	00:06	00:03	00:05	00:53	
Pammer+Kopatchinskaja 2004	00:19	00:19	00:20	00:58		Pammer+Kopatchinskaja 2004	00:03	00:06	00:09	00:03	00:05	00:06	00:05	00:05	00:04	00:11	00:58	
Arnold+Pogossian 2004	00:22	00:25	00:22	01:09		Arnold+Pogossian 2004	00:04	00:05	00:13	00:04	00:06	00:08	00:08	00:06	00:05	00:11	01:09	
Banse+Keller 2005	00:22	00:27	00:23	01:13		Banse+Keller 2005	00:04	00:06	00:11	00:04	00:07	00:08	00:08	00:08	00:05	00:10	01:13	
Arnold+Pogossian 2006	00:23	00:25	00:19	01:07		Arnold+Pogossian 2006	00:04	00:06	00:13	00:04	00:06	00:08	00:07	00:06	00:04	00:09	01:07	
Melzer+Stark 2012	00:16	00:16	00:13	00:45		Melzer+Stark 2012	00:02	00:04	00:10	00:04	00:04	00:05	00:03	00:04	00:03	00:06	00:45	
Melzer+Stark 2013	00:16	00:16	00:16	00:48		Melzer+Stark 2013	00:02	00:04	00:09	00:02	00:06	00:06	00:03	00:04	00:04	00:08	00:48	
Kammer+Widmann 2017	00:19	00:18	00:16	00:53		Kammer+Widmann 2017	00:02	00:05	00:12	00:03	00:05	00:06	00:04	00:03	00:03	00:10	00:53	
Melzer+Stark 2017	00:18	00:22	00:20	00:59		Melzer+Stark 2017	00:03	00:04	00:10	00:04	00:07	00:06	00:04	00:04	00:05	00:11	00:59	
Melzer+Stark 2019	00:18	00:21	00:20	00:58		Melzer+Stark 2019	00:03	00:04	00:10	00:03	00:07	00:07	00:04	00:04	00:04	00:11	00:58	
mean 14	00:19	00:20	00:18	00:57		mean 14	00:03	00:05	00:10	00:03	00:05	00:06	00:05	00:05	00:04	00:09	00:57	
min 14	00:14	00:12	00:13	00:40	KO 1995	min 14	00:02	00:04	00:06	00:02	00:03	00:03	00:03	00:03	00:03	00:05	00:40	KO 1995
max 14	00:23	00:27	00:23	01:13	BK 2005	max 14	00:04	00:06	00:13	00:04	00:07	00:08	00:10	00:08	00:05	00:11	01:13	BK 2005
rel stdv (%) 14	15,87	22,45	16,87	17,31		rel stdv (%) 14	24,17	17,16	20,12	22,81	22,46	24,21	40,77	27,57	21,81	22,57	17,31	
dur sec 8	1	2	3	total		dur seg 8	1a	1b	1c	2a	2b	2c	2d	3a	3b	3c	total	
Csengery+Keller 1990	00:19	00:22	00:19	00:59		Csengery+Keller 1990	00:03	00:05	00:12	00:03	00:05	00:08	00:07	00:06	00:03	00:09	00:59	
Komsi+Oramo 1995	00:14	00:12	00:14	00:40		Komsi+Oramo 1995	00:02	00:06	00:06	00:02	00:03	00:03	00:03	00:03	00:03	00:07	00:40	
Whittlesey+Sallaberger 1997	00:19	00:20	00:14	00:53		Whittlesey+Sallaberger 1997	00:04	00:04	00:11	00:04	00:04	00:05	00:07	00:06	00:03	00:05	00:53	
Pammer+Kopatchinskaja 2004	00:19	00:19	00:20	00:58		Pammer+Kopatchinskaja 2004	00:03	00:06	00:09	00:03	00:05	00:06	00:05	00:05	00:04	00:11	00:58	
Arnold+Pogossian 2004	00:22	00:25	00:22	01:09		Arnold+Pogossian 2004	00:04	00:05	00:13	00:04	00:06	00:08	00:08	00:06	00:05	00:11	01:09	
Banse+Keller 2005	00:22	00:27	00:23	01:13		Banse+Keller 2005	00:04	00:06	00:11	00:04	00:07	00:08	00:08	00:08	00:05	00:10	01:13	
Melzer+Stark 2012	00:16	00:16	00:13	00:45		Melzer+Stark 2012	00:02	00:04	00:10	00:04	00:04	00:05	00:03	00:04	00:03	00:06	00:45	
Kammer+Widmann 2017	00:19	00:18	00:16	00:53		Kammer+Widmann 2017	00:02	00:05	00:12	00:03	00:05	00:06	00:04	00:03	00:03	00:10	00:53	
mean 8	00:19	00:20	00:18	00:56		mean 8	00:03	00:05	00:11	00:03	00:05	00:06	00:06	00:05	00:04	00:09	00:56	
min 8	00:14	00:12	00:13	00:40	KO 1995	min 8	00:02	00:04	00:06	00:02	00:03	00:03	00:03	00:03	00:03	00:05	00:40	KO 1995
max 8	00:22	00:27	00:23	01:13	BK 2005	max 8	00:04	00:06	00:13	00:04	00:07	00:08	00:08	00:08	00:05	00:11	01:13	BK 2005
rel stdv (%) 8 	14,42	24,01	22,11	19,47		rel stdv (%) 8	28,66	17,65	19,49	21,23	25,27	24,38	35,32	32,62	25,04	27,76	19,47	
perc sec 14	1	2	3			perc seg 14	1a	1b	1c	2a	2b	2c	2d	3a	3b	3c		
score	39,47	34,21	26,32															
Csengery+Keller 1987	32,03	39,48	28,49			Csengery+Keller 1987	5,17	9,00	17,86	4,99	8,96	11,66	13,87	7,88	5,27	15,34		
Csengery+Keller 1990	31,87	36,92	31,21			Csengery+Keller 1990	4,23	7,62	20,02	4,52	8,30	12,77	11,32	10,07	5,19	15,94		
Komsi+Oramo 1994	29,73	33,01	37,26			Komsi+Oramo 1994	5,23	10,81	13,69	8,20	10,12	7,38	7,30	7,63	5,84	23,79		
Komsi+Oramo 1995	34,41	30,78	34,81			Komsi+Oramo 1995	4,76	13,69	15,96	5,32	8,57	8,64	8,26	8,53	8,35	17,93		
Whittlesey+Sallaberger 1997	35,76	37,55	26,69			Whittlesey+Sallaberger 1997	7,25	7,23	21,29	7,46	7,57	10,08	12,43	12,00	5,91	8,78		
Pammer+Kopatchinskaja 2004	32,71	33,37	33,93			Pammer+Kopatchinskaja 2004	5,56	11,01	16,14	5,31	9,13	9,90	9,03	8,30	6,63	18,99		
Arnold+Pogossian 2004	32,01	36,42	31,58			Arnold+Pogossian 2004	5,21	7,95	18,85	5,17	8,13	11,54	11,57	8,84	7,23	15,50		
Banse+Keller 2005	29,94	37,81	32,25			Banse+Keller 2005	5,49	8,66	15,79	5,89	10,19	10,66	11,07	10,94	7,37	13,95		
