dur sec 14	1	2	3	total		dur seg 14	1a	1b	1c	1d	2a	2b	2c	2d	3	total	
Csengery+Keller 1987	00:33	00:33	00:05	01:11		Csengery+Keller 1987	00:06	00:05	00:13	00:09	00:05	00:06	00:14	00:08	00:05	01:11	
Csengery+Keller 1990	00:29	00:30	00:05	01:04		Csengery+Keller 1990	00:06	00:04	00:11	00:08	00:05	00:05	00:13	00:08	00:05	01:04	
Komsi+Oramo 1994	00:21	00:21	00:04	00:47		Komsi+Oramo 1994	00:05	00:04	00:06	00:06	00:03	00:03	00:09	00:06	00:04	00:47	
Komsi+Oramo 1995	00:20	00:19	00:05	00:44		Komsi+Oramo 1995	00:04	00:03	00:06	00:06	00:03	00:03	00:08	00:05	00:05	00:44	
Whittlesey+Sallaberger 1997	00:23	00:25	00:04	00:51		Whittlesey+Sallaberger 1997	00:05	00:04	00:08	00:05	00:03	00:05	00:11	00:06	00:04	00:51	
Pammer+Kopatchinskaja 2004	00:21	00:19	00:07	00:46		Pammer+Kopatchinskaja 2004	00:06	00:03	00:06	00:05	00:02	00:04	00:08	00:05	00:07	00:46	
Arnold+Pogossian 2004	00:28	00:30	00:07	01:04		Arnold+Pogossian 2004	00:06	00:05	00:10	00:07	00:04	00:05	00:12	00:09	00:07	01:04	
Banse+Keller 2005	00:32	00:33	00:06	01:11		Banse+Keller 2005	00:07	00:05	00:12	00:08	00:04	00:06	00:14	00:08	00:06	01:11	
Arnold+Pogossian 2006	00:26	00:30	00:07	01:03		Arnold+Pogossian 2006	00:06	00:05	00:09	00:07	00:04	00:05	00:13	00:08	00:07	01:03	
Melzer+Stark 2012	00:30	00:25	00:06	01:02		Melzer+Stark 2012	00:07	00:06	00:10	00:08	00:03	00:05	00:09	00:08	00:06	01:02	
Melzer+Stark 2013	00:35	00:26	00:07	01:08		Melzer+Stark 2013	00:08	00:07	00:12	00:08	00:03	00:05	00:11	00:08	00:07	01:08	
Kammer+Widmann 2017	00:29	00:24	00:04	00:57		Kammer+Widmann 2017	00:06	00:05	00:11	00:07	00:03	00:04	00:09	00:07	00:04	00:57	
Melzer+Stark 2017	00:33	00:28	00:05	01:06		Melzer+Stark 2017	00:08	00:06	00:11	00:08	00:03	00:05	00:11	00:09	00:05	01:06	
Melzer+Stark 2019	00:33	00:31	00:05	01:09		Melzer+Stark 2019	00:07	00:07	00:11	00:09	00:03	00:06	00:12	00:10	00:05	01:09	
mean 14	00:28	00:27	00:06	01:00		mean 14	00:06	00:05	00:10	00:07	00:04	00:05	00:11	00:07	00:06	01:00	
min 14	00:20	00:19	00:04	00:44	KO 95	min 14	00:04	00:03	00:06	00:05	00:02	00:03	00:08	00:05	00:04	00:44	KO 95
max 14	00:35	00:33	00:07	01:11	BK 2005	max 14	00:08	00:07	00:13	00:09	00:05	00:06	00:14	00:10	00:07	01:11	BK 2005
rel stdv (%) 14	18,01	18,41	19,40	16,04		rel stdv (%) 14	17,37	24,25	22,07	16,45	22,26	22,85	19,09	21,90	19,40	16,04	
dur sec 8	1	2	3	total		dur seg 8	1a	1b	1c	1d	2a	2b	2c	2d	3	total	
Csengery+Keller 1990	00:29	00:30	00:05	01:04		Csengery+Keller 1990	00:06	00:04	00:11	00:08	00:05	00:05	00:13	00:08	00:05	01:04	
Komsi+Oramo 1995	00:20	00:19	00:05	00:44		Komsi+Oramo 1995	00:04	00:03	00:06	00:06	00:03	00:03	00:08	00:05	00:05	00:44	
Whittlesey+Sallaberger 1997	00:23	00:25	00:04	00:51		Whittlesey+Sallaberger 1997	00:05	00:04	00:08	00:05	00:03	00:05	00:11	00:06	00:04	00:51	
Pammer+Kopatchinskaja 2004	00:21	00:19	00:07	00:46		Pammer+Kopatchinskaja 2004	00:06	00:03	00:06	00:05	00:02	00:04	00:08	00:05	00:07	00:46	
Arnold+Pogossian 2004	00:28	00:30	00:07	01:04		Arnold+Pogossian 2004	00:06	00:05	00:10	00:07	00:04	00:05	00:12	00:09	00:07	01:04	
Banse+Keller 2005	00:32	00:33	00:06	01:11		Banse+Keller 2005	00:07	00:05	00:12	00:08	00:04	00:06	00:14	00:08	00:06	01:11	
Melzer+Stark 2012	00:30	00:25	00:06	01:02		Melzer+Stark 2012	00:07	00:06	00:10	00:08	00:03	00:05	00:09	00:08	00:06	01:02	
Kammer+Widmann 2017	00:29	00:24	00:04	00:57		Kammer+Widmann 2017	00:06	00:05	00:11	00:07	00:03	00:04	00:09	00:07	00:04	00:57	
mean 8	00:27	00:25	00:06	00:57		mean 8	00:06	00:04	00:09	00:07	00:04	00:04	00:11	00:07	00:06	00:57	
min 8	00:20	00:19	00:04	00:44	KO 95	min 8	00:04	00:03	00:06	00:05	00:02	00:03	00:08	00:05	00:04	00:44	KO 95
max 8	00:32	00:33	00:07	01:11	BK 2005	max 8	00:07	00:06	00:12	00:08	00:05	00:06	00:14	00:09	00:07	01:11	BK 2005
rel stdv (%) 8 	17,46	20,69	21,50	16,98		rel stdv (%) 8	15,54	22,44	22,35	16,90	25,29	21,98	21,57	23,32	21,50	16,98	
perc sec 14	1	2	3			perc seg 14	1a	1b	1c	1d	2a	2b	2c	2d	3		
score	46,55	46,55	6,90														
Csengery+Keller 1987	45,79	46,50	7,71			Csengery+Keller 1987	8,75	6,38	18,39	12,28	6,40	8,59	20,31	11,20	7,71		
Csengery+Keller 1990	45,08	47,12	7,80			Csengery+Keller 1990	9,79	6,02	17,27	12,00	8,01	7,45	19,61	12,06	7,80		
Komsi+Oramo 1994	46,00	44,67	9,33			Komsi+Oramo 1994	11,33	8,41	13,94	12,32	7,40	5,67	19,49	12,11	9,33		
Komsi+Oramo 1995	45,53	42,65	11,82			Komsi+Oramo 1995	9,96	7,55	14,81	13,20	7,71	6,19	17,45	11,30	11,82		
Whittlesey+Sallaberger 1997	44,24	48,40	7,36			Whittlesey+Sallaberger 1997	9,23	7,75	16,49	10,77	6,35	9,01	22,14	10,89	7,36		
Pammer+Kopatchinskaja 2004	45,87	40,04	14,09			Pammer+Kopatchinskaja 2004	13,73	6,76	13,62	11,75	4,52	7,60	17,87	10,05	14,09		
Arnold+Pogossian 2004	43,23	45,87	10,90			Arnold+Pogossian 2004	9,22	7,76	15,16	11,08	6,17	7,45	18,95	13,30	10,90		
Banse+Keller 2005	45,20	46,06	8,74			Banse+Keller 2005	9,52	7,57	16,50	11,61	6,08	8,38	19,86	11,73	8,74		
Arnold+Pogossian 2006	41,37	47,34	11,29			Arnold+Pogossian 2006	8,81	7,49	14,39	10,67	6,32	8,19	20,00	12,83	11,29		
Melzer+Stark 2012	48,85	40,76	10,39			Melzer+Stark 2012	10,87	8,88	16,13	12,97	5,10	7,51	15,32	12,83	10,39		
Melzer+Stark 2013	51,41	38,85	9,74			Melzer+Stark 2013	12,28	10,06	17,00	12,07	3,88	6,89	15,58	12,50	9,74		
Kammer+Widmann 2017	51,22	41,41	7,37			Kammer+Widmann 2017	9,80	9,51	19,22	12,70	5,89	7,55	16,44	11,53	7,37		
Melzer+Stark 2017	49,38	42,57	8,04			Melzer+Stark 2017	11,45	9,70	16,20	12,03	4,66	6,88	17,04	14,00	8,04		
Melzer+Stark 2019	48,12	44,61	7,27			Melzer+Stark 2019	10,08	9,42	16,30	12,32	4,78	7,97	17,90	13,95	7,27		
mean 14	46,52	44,06	9,42			mean 14	10,35	8,09	16,10	11,98	5,95	7,52	18,43	12,16	9,42		
min 14	41,37	38,85	7,27			min 14	8,75	6,02	13,62	10,67	3,88	5,67	15,32	10,05	7,27		
max 14	51,41	48,40	14,09			max 14	13,73	10,06	19,22	13,20	8,01	9,01	22,14	14,00	14,09		
abs stdv 14	2,92	3,02	2,06			abs stdv 14	1,43	1,27	1,61	0,76	1,24	0,91	1,96	1,15	2,06		
perc sec 8	1	2	3			perc seg 8	1a	1b	1c	1d	2a	2b	2c	2d	3		
score	46,55	46,55	6,90														
Csengery+Keller 1990	45,08	47,12	7,80			Csengery+Keller 1990	9,79	6,02	17,27	12,00	8,01	7,45	19,61	12,06	7,80		
Komsi+Oramo 1995	45,53	42,65	11,82			Komsi+Oramo 1995	9,96	7,55	14,81	13,20	7,71	6,19	17,45	11,30	11,82		
Whittlesey+Sallaberger 1997	44,24	48,40	7,36			Whittlesey+Sallaberger 1997	9,23	7,75	16,49	10,77	6,35	9,01	22,14	10,89	7,36		
Pammer+Kopatchinskaja 2004	45,87	40,04	14,09			Pammer+Kopatchinskaja 2004	13,73	6,76	13,62	11,75	4,52	7,60	17,87	10,05	14,09		
Arnold+Pogossian 2004	43,23	45,87	10,90			Arnold+Pogossian 2004	9,22	7,76	15,16	11,08	6,17	7,45	18,95	13,30	10,90		
