dur sec 14	1	2	3	4	5	6	total		dur seg 14	1	2a	2b	3a	3b	4	5	6	total	
Csengery+Keller 1987	00:43	02:56	01:02	01:32	00:28	01:06	07:46		Csengery+Keller 1987	00:43	02:02	00:55	00:36	00:26	01:32	00:28	01:06	07:46	
Csengery+Keller 1990	00:39	02:37	00:53	01:12	00:36	01:03	07:01		Csengery+Keller 1990	00:39	01:47	00:50	00:29	00:24	01:12	00:36	01:03	07:01	
Komsi+Oramo 1994	00:25	01:42	00:37	00:50	00:25	00:40	04:39		Komsi+Oramo 1994	00:25	01:00	00:42	00:19	00:18	00:50	00:25	00:40	04:39	
Komsi+Oramo 1995	00:28	01:52	00:42	01:03	00:28	00:54	05:28		Komsi+Oramo 1995	00:28	01:15	00:37	00:22	00:21	01:03	00:28	00:54	05:28	
Whittlesey+Sallaberger 1997	00:33	01:34	00:39	00:53	00:24	00:54	04:57		Whittlesey+Sallaberger 1997	00:33	01:09	00:26	00:21	00:18	00:53	00:24	00:54	04:57	
Pammer+Kopatchinskaja 2004	00:30	01:58	00:45	00:58	00:22	00:43	05:17		Pammer+Kopatchinskaja 2004	00:30	01:22	00:36	00:26	00:19	00:58	00:22	00:43	05:17	
Arnold+Pogossian 2004	00:36	02:44	00:53	01:21	00:30	01:03	07:08		Arnold+Pogossian 2004	00:36	01:50	00:54	00:32	00:21	01:21	00:30	01:03	07:08	
Banse+Keller 2005	00:37	02:54	00:57	01:17	00:22	01:10	07:17		Banse+Keller 2005	00:37	01:56	00:58	00:34	00:23	01:17	00:22	01:10	07:17	
Arnold+Pogossian 2006	00:35	02:35	00:52	01:18	00:29	01:01	06:50		Arnold+Pogossian 2006	00:35	01:51	00:44	00:33	00:19	01:18	00:29	01:01	06:50	
Melzer+Stark 2012	00:44	02:43	00:56	01:21	00:26	01:10	07:20		Melzer+Stark 2012	00:44	01:51	00:52	00:31	00:26	01:21	00:26	01:10	07:20	
Melzer+Stark 2013	00:39	02:36	00:54	01:17	00:22	01:09	06:57		Melzer+Stark 2013	00:39	01:44	00:52	00:31	00:23	01:17	00:22	01:09	06:57	
Kammer+Widmann 2017	00:26	01:58	00:38	00:58	00:20	00:53	05:12		Kammer+Widmann 2017	00:26	01:20	00:38	00:24	00:14	00:58	00:20	00:53	05:12	
Melzer+Stark 2017	00:42	02:40	00:55	01:17	00:24	01:12	07:11		Melzer+Stark 2017	00:42	01:55	00:45	00:31	00:24	01:17	00:24	01:12	07:11	
Melzer+Stark 2019	00:43	02:41	00:57	01:23	00:20	01:17	07:22		Melzer+Stark 2019	00:43	01:49	00:52	00:31	00:26	01:23	00:20	01:17	07:22	
mean 14	00:36	02:24	00:50	01:12	00:25	01:01	06:27		mean 14	00:36	01:38	00:46	00:29	00:22	01:12	00:25	01:01	06:27	
min 14	00:25	01:34	00:37	00:50	00:20	00:40	04:39	KO 1994	min 14	00:25	01:00	00:26	00:19	00:14	00:50	00:20	00:40	04:39	KO 1994
max 14	00:44	02:56	01:02	01:32	00:36	01:17	07:46	CS 1987	max 14	00:44	02:02	00:58	00:36	00:26	01:32	00:36	01:17	07:46	CS 1987
rel stdv (%) 14	18,09	19,61	16,30	17,83	17,59	18,00	16,73		rel stdv (%) 14	18,09	20,69	20,07	18,04	17,11	17,83	17,59	18,00	16,73	
dur sec 8	1	2	3	4	5	6	total		dur seg 8	1	2a	2b	3a	3b	4	5	6	total	
Csengery+Keller 1990	00:39	02:37	00:53	01:12	00:36	01:03	07:01		Csengery+Keller 1990	00:39	01:47	00:50	00:29	00:24	01:12	00:36	01:03	07:01	
Komsi+Oramo 1995	00:28	01:52	00:42	01:03	00:28	00:54	05:28		Komsi+Oramo 1995	00:28	01:15	00:37	00:22	00:21	01:03	00:28	00:54	05:28	
Whittlesey+Sallaberger 1997	00:33	01:34	00:39	00:53	00:24	00:54	04:57		Whittlesey+Sallaberger 1997	00:33	01:09	00:26	00:21	00:18	00:53	00:24	00:54	04:57	
Pammer+Kopatchinskaja 2004	00:30	01:58	00:45	00:58	00:22	00:43	05:17		Pammer+Kopatchinskaja 2004	00:30	01:22	00:36	00:26	00:19	00:58	00:22	00:43	05:17	
Arnold+Pogossian 2004	00:36	02:44	00:53	01:21	00:30	01:03	07:08		Arnold+Pogossian 2004	00:36	01:50	00:54	00:32	00:21	01:21	00:30	01:03	07:08	
Banse+Keller 2005	00:37	02:54	00:57	01:17	00:22	01:10	07:17		Banse+Keller 2005	00:37	01:56	00:58	00:34	00:23	01:17	00:22	01:10	07:17	
Melzer+Stark 2012	00:44	02:43	00:56	01:21	00:26	01:10	07:20		Melzer+Stark 2012	00:44	01:51	00:52	00:31	00:26	01:21	00:26	01:10	07:20	
Kammer+Widmann 2017	00:26	01:58	00:38	00:58	00:20	00:53	05:12		Kammer+Widmann 2017	00:26	01:20	00:38	00:24	00:14	00:58	00:20	00:53	05:12	
mean 8	00:34	02:18	00:48	01:08	00:26	00:59	06:12		mean 8	00:34	01:34	00:44	00:27	00:21	01:08	00:26	00:59	06:12	
min 8	00:26	01:34	00:38	00:53	00:20	00:43	04:57	WS 1997	min 8	00:26	01:09	00:26	00:21	00:14	00:53	00:20	00:43	04:57	WS 1997
max 8	00:44	02:54	00:57	01:21	00:36	01:10	07:20	MS 2012	max 8	00:44	01:56	00:58	00:34	00:26	01:21	00:36	01:10	07:20	MS 2012
rel stdv (%) 8 	17,77	21,87	16,29	16,68	20,16	16,02	17,17		rel stdv (%) 8	17,77	20,27	25,70	17,62	18,06	16,68	20,16	16,02	17,17	
perc sec 14	1	2	3	4	5	6			perc seg 14	1	2a	2b	3a	3b	4	5	6		
score	10,36	35,06	13,55	17,53	7,17	16,33													
Csengery+Keller 1987	9,14	37,85	13,26	19,77	5,91	14,07			Csengery+Keller 1987	9,14	26,11	11,74	7,68	5,58	19,77	5,91	14,07		
Csengery+Keller 1990	9,33	37,35	12,65	17,13	8,52	15,04			Csengery+Keller 1990	9,33	25,45	11,90	7,00	5,65	17,13	8,52	15,04		
Komsi+Oramo 1994	9,07	36,43	13,33	18,12	8,80	14,26			Komsi+Oramo 1994	9,07	21,39	15,04	6,93	6,40	18,12	8,80	14,26		
Komsi+Oramo 1995	8,63	34,23	12,93	19,21	8,62	16,38			Komsi+Oramo 1995	8,63	22,96	11,27	6,65	6,29	19,21	8,62	16,38		
Whittlesey+Sallaberger 1997	10,96	31,75	13,19	17,76	8,18	18,17			Whittlesey+Sallaberger 1997	10,96	23,16	8,60	7,19	6,00	17,76	8,18	18,17		
Pammer+Kopatchinskaja 2004	9,58	37,24	14,12	18,43	7,07	13,57			Pammer+Kopatchinskaja 2004	9,58	25,92	11,32	8,08	6,04	18,43	7,07	13,57		
Arnold+Pogossian 2004	8,47	38,39	12,38	19,05	6,94	14,77			Arnold+Pogossian 2004	8,47	25,81	12,58	7,48	4,90	19,05	6,94	14,77		
Banse+Keller 2005	8,56	39,74	13,05	17,67	4,95	16,02			Banse+Keller 2005	8,56	26,44	13,30	7,77	5,28	17,67	4,95	16,02		
Arnold+Pogossian 2006	8,44	37,74	12,65	19,11	7,16	14,90			Arnold+Pogossian 2006	8,44	27,10	10,63	7,94	4,71	19,11	7,16	14,90		
Melzer+Stark 2012	10,01	37,11	12,79	18,30	5,97	15,81			Melzer+Stark 2012	10,01	25,28	11,83	6,99	5,81	18,30	5,97	15,81		
Melzer+Stark 2013	9,45	37,47	12,91	18,55	5,18	16,44			Melzer+Stark 2013	9,45	25,00	12,47	7,32	5,59	18,55	5,18	16,44		
Kammer+Widmann 2017	8,30	37,89	12,12	18,52	6,26	16,93			Kammer+Widmann 2017	8,30	25,61	12,27	7,68	4,43	18,52	6,26	16,93		
Melzer+Stark 2017	9,82	37,12	12,84	17,95	5,46	16,81			Melzer+Stark 2017	9,82	26,76	10,36	7,17	5,66	17,95	5,46	16,81		
Melzer+Stark 2019	9,77	36,42	13,01	18,82	4,63	17,35			Melzer+Stark 2019	9,77	24,73	11,69	7,04	5,98	18,82	4,63	17,35		
mean 14	9,25	36,91	12,94	18,46	6,69	15,75			mean 14	9,25	25,12	11,79	7,35	5,59	18,46	6,69	15,75		
min 14	8,30	31,75	12,12	17,13	4,63	13,57			min 14	8,30	21,39	8,60	6,65	4,43	17,13	4,63	13,57		
max 14	10,96	39,74	14,12	19,77	8,80	18,17			max 14	10,96	27,10	15,04	8,08	6,40	19,77	8,80	18,17		
abs stdv 14	0,75	1,92	0,47	0,70	1,43	1,35			abs stdv 14	0,75	1,60	1,48	0,43	0,58	0,70	1,43	1,35		
perc sec 8	1	2	3	4	5	6			perc seg 8	1	2a	2b	3a	3b	4	5	6		
score	10,36	35,06	13,55	17,53	7,17	16,33													
Csengery+Keller 1990	9,33	37,35	12,65	17,13	8,52	15,04			Csengery+Keller 1990	9,33	25,45	11,90	7,00	5,65	17,13	8,52	15,04		
Komsi+Oramo 1995	8,63	34,23	12,93	19,21	8,62	16,38			Komsi+Oramo 1995	8,63	22,96	11,27	6,65	6,29	19,21	8,62	16,38		
Whittlesey+Sallaberger 1997	10,96	31,75	13,19	17,76	8,18	18,17			Whittlesey+Sallaberger 1997	10,96	23,16	8,60	7,19	6,00	17,76	8,18	18,17		
Pammer+Kopatchinskaja 2004	9,58	37,24	14,12	18,43	7,07	13,57			Pammer+Kopatchinskaja 2004	9,58	25,92	11,32	8,08	6,04	18,43	7,07	13,57		
Arnold+Pogossian 2004	8,47	38,39	12,38	19,05	6,94	14,77			Arnold+Pogossian 2004	8,47	25,81	12,58	7,48	4,90	19,05	6,94	14,77		
Banse+Keller 2005	8,56	39,74	13,05	17,67	4,95	16,02			Banse+Keller 2005	8,56	26,44	13,30	7,77	5,28	17,67	4,95	16,02		
Melzer+Stark 2012	10,01	37,11	12,79	18,30	5,97	15,81			Melzer+Stark 2012	10,01	25,28	11,83	6,99	5,81	18,30	5,97	15,81		
Kammer+Widmann 2017	8,30	37,89	12,12	18,52	6,26	16,93			Kammer+Widmann 2017	8,30	25,61	12,27	7,68	4,43	18,52	6,26	16,93		
mean 8	9,23	36,71	12,90	18,26	7,06	15,84			mean 8	9,23	25,08	11,63	7,35	5,55	18,26	7,06	15,84		
min 8	8,30	31,75	12,12	17,13	4,95	13,57			min 8	8,30	22,96	8,60	6,65	4,43	17,13	4,95	13,57		
max 8	10,96	39,74	14,12	19,21	8,62	18,17			max 8	10,96	26,44	13,30	8,08	6,29	19,21	8,62	18,17		
abs stdv 8 	0,92	2,53	0,60	0,71	1,32	1,41			abs stdv 8	0,92	1,29	1,40	0,48	0,63	0,71	1,32	1,41		
