dur sec 14	1	2	3	4	5	6	7	8	9	total		dur seg 14	1a	1b	2a	2b	2c	3a	3b	4a	4b	5a	5b	6	7a	7b	8a	8b	8c	9a	9b	9c	9d	total	
Csengery+Keller 1987	00:23	00:27	00:17	00:14	00:13	00:08	00:17	00:36	00:53	03:30		Csengery+Keller 1987	00:03	00:20	00:01	00:19	00:06	00:08	00:09	00:09	00:05	00:05	00:08	00:08	00:10	00:07	00:17	00:08	00:11	00:09	00:15	00:08	00:21	03:30	
Csengery+Keller 1990	00:24	00:27	00:18	00:14	00:13	00:08	00:17	00:35	00:55	03:30		Csengery+Keller 1990	00:03	00:21	00:01	00:20	00:06	00:08	00:09	00:09	00:05	00:05	00:08	00:08	00:11	00:06	00:17	00:08	00:10	00:08	00:16	00:08	00:23	03:30	
Komsi+Oramo 1994	00:40	00:23	00:23	00:20	00:17	00:10	00:17	00:33	00:52	03:56		Komsi+Oramo 1994	00:04	00:36	00:02	00:14	00:07	00:11	00:12	00:13	00:08	00:06	00:11	00:10	00:11	00:05	00:17	00:07	00:09	00:07	00:13	00:08	00:24	03:56	
Komsi+Oramo 1995	00:39	00:23	00:25	00:21	00:19	00:11	00:16	00:37	00:54	04:04		Komsi+Oramo 1995	00:04	00:35	00:01	00:16	00:07	00:12	00:12	00:13	00:08	00:07	00:12	00:11	00:11	00:05	00:19	00:08	00:11	00:07	00:16	00:08	00:23	04:04	
Whittlesey+Sallaberger 1997	00:33	00:27	00:22	00:18	00:15	00:09	00:17	00:42	00:49	03:51		Whittlesey+Sallaberger 1997	00:05	00:28	00:01	00:18	00:08	00:11	00:11	00:11	00:07	00:06	00:09	00:09	00:10	00:07	00:22	00:10	00:09	00:08	00:17	00:06	00:18	03:51	
Pammer+Kopatchinskaja 2004	00:24	00:30	00:18	00:17	00:17	00:08	00:15	00:40	00:52	03:41		Pammer+Kopatchinskaja 2004	00:03	00:21	00:01	00:22	00:07	00:09	00:09	00:11	00:05	00:07	00:10	00:08	00:09	00:06	00:19	00:09	00:13	00:09	00:16	00:07	00:19	03:41	
Arnold+Pogossian 2004	00:28	00:30	00:19	00:17	00:16	00:09	00:18	00:48	01:05	04:10		Arnold+Pogossian 2004	00:04	00:24	00:02	00:21	00:08	00:09	00:10	00:11	00:06	00:06	00:10	00:09	00:13	00:06	00:20	00:13	00:14	00:09	00:18	00:09	00:29	04:10	
Banse+Keller 2005	00:26	00:26	00:18	00:14	00:13	00:08	00:19	00:41	01:00	03:46		Banse+Keller 2005	00:03	00:23	00:01	00:19	00:06	00:09	00:09	00:09	00:05	00:05	00:08	00:08	00:12	00:07	00:20	00:09	00:12	00:10	00:15	00:09	00:26	03:46	
Arnold+Pogossian 2006	00:25	00:30	00:18	00:15	00:15	00:08	00:20	00:47	01:07	04:06		Arnold+Pogossian 2006	00:01	00:23	00:02	00:21	00:08	00:08	00:09	00:10	00:05	00:06	00:09	00:08	00:14	00:06	00:20	00:13	00:14	00:08	00:19	00:09	00:31	04:06	
Melzer+Stark 2012	00:34	00:27	00:17	00:17	00:14	00:08	00:18	00:44	00:56	03:54		Melzer+Stark 2012	00:04	00:30	00:01	00:19	00:06	00:09	00:09	00:10	00:06	00:05	00:09	00:08	00:12	00:06	00:19	00:11	00:15	00:11	00:17	00:06	00:21	03:54	
Melzer+Stark 2013	00:31	00:27	00:16	00:14	00:14	00:08	00:20	00:42	00:54	03:46		Melzer+Stark 2013	00:03	00:28	00:01	00:18	00:07	00:08	00:08	00:09	00:05	00:05	00:09	00:08	00:14	00:06	00:18	00:10	00:14	00:11	00:15	00:07	00:21	03:46	
Kammer+Widmann 2017	00:23	00:28	00:19	00:14	00:17	00:08	00:15	00:44	00:48	03:36		Kammer+Widmann 2017	00:02	00:21	00:02	00:19	00:08	00:10	00:10	00:09	00:05	00:07	00:10	00:08	00:10	00:04	00:19	00:10	00:15	00:08	00:14	00:07	00:18	03:36	
Melzer+Stark 2017	00:33	00:25	00:15	00:15	00:13	00:08	00:18	00:44	00:54	03:45		Melzer+Stark 2017	00:03	00:30	00:01	00:17	00:07	00:08	00:08	00:09	00:05	00:05	00:08	00:08	00:13	00:05	00:19	00:11	00:14	00:11	00:15	00:07	00:22	03:45	
Melzer+Stark 2019	00:31	00:27	00:17	00:15	00:14	00:08	00:16	00:45	00:54	03:47		Melzer+Stark 2019	00:03	00:28	00:02	00:18	00:07	00:08	00:09	00:10	00:05	00:06	00:08	00:08	00:11	00:05	00:19	00:11	00:14	00:11	00:14	00:07	00:23	03:47	
mean 14	00:30	00:27	00:19	00:16	00:15	00:09	00:17	00:41	00:55	03:49		mean 14	00:03	00:26	00:01	00:19	00:07	00:09	00:10	00:10	00:06	00:06	00:09	00:09	00:11	00:06	00:19	00:10	00:12	00:09	00:16	00:07	00:23	03:49	
min 14	00:23	00:23	00:15	00:14	00:13	00:08	00:15	00:33	00:48	03:30	CK 1987/CK 1990	min 14	00:01	00:20	00:01	00:14	00:06	00:08	00:08	00:09	00:05	00:05	00:08	00:08	00:09	00:04	00:17	00:07	00:09	00:07	00:13	00:06	00:18	03:30	CK 1987/CK 1990
