dur sec 14	1	2	3	4	5	total		dur seg 14	1a	1b	1c	1d	1e	2a	2b	2c	2d	3a	3b	3c	3d	4a	4b	5a	5b	5c	total	
Csengery+Keller 1987	00:22	00:14	00:10	00:10	00:03	00:58		Csengery+Keller 1987	00:03	00:03	00:09	00:04	00:04	00:01	00:02	00:04	00:07	00:03	00:03	00:02	00:02	00:07	00:02	00:01	00:01	00:01	00:58	
Csengery+Keller 1990	00:21	00:15	00:09	00:08	00:03	00:55		Csengery+Keller 1990	00:03	00:02	00:09	00:04	00:03	00:01	00:02	00:03	00:09	00:03	00:03	00:03	00:01	00:07	00:01	00:01	00:01	00:01	00:55	
Komsi+Oramo 1994	00:15	00:19	00:11	00:09	00:03	00:57		Komsi+Oramo 1994	00:01	00:02	00:05	00:02	00:04	00:01	00:02	00:03	00:14	00:03	00:03	00:02	00:03	00:08	00:01	00:01	00:02	00:01	00:57	
Komsi+Oramo 1995	00:19	00:21	00:10	00:08	00:03	01:01		Komsi+Oramo 1995	00:02	00:02	00:08	00:03	00:04	00:01	00:02	00:03	00:15	00:03	00:03	00:03	00:02	00:07	00:01	00:00	00:01	00:01	01:01	
Whittlesey+Sallaberger 1997	00:24	00:19	00:13	00:09	00:02	01:08		Whittlesey+Sallaberger 1997	00:02	00:03	00:10	00:05	00:03	00:03	00:02	00:05	00:10	00:03	00:05	00:03	00:02	00:07	00:02	00:01	00:01	00:01	01:08	
Pammer+Kopatchinskaja 2004	00:15	00:18	00:07	00:06	00:03	00:48		Pammer+Kopatchinskaja 2004	00:02	00:02	00:07	00:03	00:02	00:01	00:02	00:03	00:11	00:02	00:03	00:02	00:01	00:05	00:01	00:00	00:01	00:01	00:48	
Arnold+Pogossian 2004	00:21	00:18	00:12	00:12	00:03	01:06		Arnold+Pogossian 2004	00:02	00:03	00:08	00:04	00:04	00:01	00:02	00:04	00:12	00:03	00:05	00:02	00:02	00:08	00:04	00:01	00:01	00:01	01:06	
Banse+Keller 2005	00:19	00:14	00:10	00:08	00:03	00:55		Banse+Keller 2005	00:02	00:02	00:07	00:04	00:04	00:01	00:02	00:03	00:09	00:02	00:03	00:03	00:03	00:07	00:02	00:01	00:01	00:01	00:55	
Arnold+Pogossian 2006	00:18	00:20	00:13	00:11	00:02	01:04		Arnold+Pogossian 2006	00:01	00:03	00:07	00:03	00:03	00:01	00:02	00:03	00:14	00:03	00:05	00:02	00:02	00:08	00:04	00:01	00:01	00:01	01:04	
Melzer+Stark 2012	00:21	00:22	00:08	00:06	00:03	01:01		Melzer+Stark 2012	00:03	00:03	00:08	00:04	00:03	00:01	00:02	00:04	00:15	00:02	00:03	00:02	00:01	00:06	00:00	00:01	00:01	00:01	01:01	
Melzer+Stark 2013	00:20	00:22	00:08	00:06	00:02	00:57		Melzer+Stark 2013	00:03	00:02	00:08	00:04	00:03	00:01	00:02	00:04	00:15	00:02	00:03	00:02	00:01	00:05	00:01	00:01	00:01	00:01	00:57	
Kammer+Widmann 2017	00:20	00:13	00:09	00:05	00:02	00:49		Kammer+Widmann 2017	00:02	00:04	00:09	00:03	00:03	00:01	00:01	00:03	00:08	00:02	00:03	00:03	00:01	00:04	00:01	00:01	00:01	00:01	00:49	
Melzer+Stark 2017	00:20	00:21	00:08	00:07	00:01	00:58		Melzer+Stark 2017	00:02	00:03	00:08	00:04	00:04	00:01	00:02	00:04	00:14	00:02	00:03	00:02	00:01	00:06	00:01	00:01			00:58	
Melzer+Stark 2019	00:20	00:22	00:08	00:05	00:02	00:57		Melzer+Stark 2019	00:02	00:03	00:08	00:05	00:03	00:01	00:03	00:03	00:16	00:02	00:03	00:02	00:01	00:05	00:00	00:01	00:00	00:01	00:57	
mean 14	00:20	00:19	00:10	00:08	00:02	00:58		mean 14	00:02	00:03	00:08	00:04	00:03	00:01	00:02	00:03	00:12	00:03	00:03	00:02	00:02	00:06	00:01	00:01	00:01	00:01	00:58	
min 14	00:15	00:13	00:07	00:05	00:01	00:48	PK 2004	min 14	00:01	00:02	00:05	00:02	00:02	00:01	00:01	00:03	00:07	00:02	00:03	00:02	00:01	00:04	00:00	00:00	00:00	00:01	00:48	PK 2004
max 14	00:24	00:22	00:13	00:12	00:03	01:08	WS 1997	max 14	00:03	00:04	00:10	00:05	00:04	00:03	00:03	00:05	00:16	00:03	00:05	00:03	00:03	00:08	00:04	00:01	00:02	00:01	01:08	WS 1997
rel stdv 14 (%)	12,29	17,59	19,29	28,00	26,48	9,63		rel stdv (%) 14	23,70	15,46	14,01	22,52	21,40	42,73	18,98	17,47	25,42	18,27	25,00	15,90	45,19	18,66	82,20	22,49	31,32	31,75	9,63	
dur sec 8	1	2	3	4	5	total		dur seg 8	1a	1b	1c	1d	1e	2a	2b	2c	2d	3a	3b	3c	3d	4a	4b	5a	5b	5c	total	
Csengery+Keller 1990	00:21	00:15	00:09	00:08	00:03	00:55		Csengery+Keller 1990	00:03	00:02	00:09	00:04	00:03	00:01	00:02	00:03	00:09	00:03	00:03	00:03	00:01	00:07	00:01	00:01	00:01	00:01	00:55	
Komsi+Oramo 1995	00:19	00:21	00:10	00:08	00:03	01:01		Komsi+Oramo 1995	00:02	00:02	00:08	00:03	00:04	00:01	00:02	00:03	00:15	00:03	00:03	00:03	00:02	00:07	00:01	00:00	00:01	00:01	01:01	
Whittlesey+Sallaberger 1997	00:24	00:19	00:13	00:09	00:02	01:08		Whittlesey+Sallaberger 1997	00:02	00:03	00:10	00:05	00:03	00:03	00:02	00:05	00:10	00:03	00:05	00:03	00:02	00:07	00:02	00:01	00:01	00:01	01:08	
Pammer+Kopatchinskaja 2004	00:15	00:18	00:07	00:06	00:03	00:48		Pammer+Kopatchinskaja 2004	00:02	00:02	00:07	00:03	00:02	00:01	00:02	00:03	00:11	00:02	00:03	00:02	00:01	00:05	00:01	00:00	00:01	00:01	00:48	
Arnold+Pogossian 2004	00:21	00:18	00:12	00:12	00:03	01:06		Arnold+Pogossian 2004	00:02	00:03	00:08	00:04	00:04	00:01	00:02	00:04	00:12	00:03	00:05	00:02	00:02	00:08	00:04	00:01	00:01	00:01	01:06	
Banse+Keller 2005	00:19	00:14	00:10	00:08	00:03	00:55		Banse+Keller 2005	00:02	00:02	00:07	00:04	00:04	00:01	00:02	00:03	00:09	00:02	00:03	00:03	00:03	00:07	00:02	00:01	00:01	00:01	00:55	
Melzer+Stark 2012	00:21	00:22	00:08	00:06	00:03	01:01		Melzer+Stark 2012	00:03	00:03	00:08	00:04	00:03	00:01	00:02	00:04	00:15	00:02	00:03	00:02	00:01	00:06	00:00	00:01	00:01	00:01	01:01	
Kammer+Widmann 2017	00:20	00:13	00:09	00:05	00:02	00:49		Kammer+Widmann 2017	00:02	00:04	00:09	00:03	00:03	00:01	00:01	00:03	00:08	00:02	00:03	00:03	00:01	00:04	00:01	00:01	00:01	00:01	00:49	
mean 8	00:20	00:18	00:10	00:08	00:03	00:58		mean 8	00:02	00:03	00:08	00:04	00:03	00:01	00:02	00:04	00:11	00:03	00:04	00:02	00:01	00:06	00:01	00:01	00:01	00:01	00:58	
min 8	00:15	00:13	00:07	00:05	00:02	00:48	PK 2004	min 8	00:02	00:02	00:07	00:03	00:02	00:01	00:01	00:03	00:08	00:02	00:03	00:02	00:01	00:04	00:00	00:00	00:01	00:01	00:48	PK 2004
max 8	00:24	00:22	00:13	00:12	00:03	01:08	WS 1997	max 8	00:03	00:04	00:10	00:05	00:04	00:03	00:02	00:05	00:15	00:03	00:05	00:03	00:03	00:08	00:04	00:01	00:01	00:01	01:08	WS 1997
rel stdv 8 (%)	12,90	18,62	20,34	27,33	13,00	12,59		rel stdv (%) 8	21,62	18,91	12,60	23,79	26,24	46,82	18,59	17,73	26,95	17,96	25,66	18,11	46,71	17,99	87,15	26,55	21,00	28,93	12,59	
perc sec 14	1	2	3	4	5			perc seg 14	1a	1b	1c	1d	1e	2a	2b	2c	2d	3a	3b	3c	3d	4a	4b	5a	5b	5c		
Csengery+Keller 1987	37,84	24,05	16,80	16,75	4,55			Csengery+Keller 1987	4,58	5,02	15,74	6,22	6,28	1,37	3,44	6,29	12,96	4,85	5,47	3,52	2,97	12,48	4,27	1,05	2,15	1,35		
Csengery+Keller 1990	37,03	27,25	16,82	13,93	4,97			Csengery+Keller 1990	4,75	4,48	15,90	6,99	4,91	2,20	3,40	6,05	15,60	5,09	5,71	4,55	1,47	12,61	1,32	0,94	2,06	1,96		
Komsi+Oramo 1994	26,61	33,44	18,98	16,09	4,88			Komsi+Oramo 1994	2,62	3,90	9,55	3,78	6,76	1,74	2,85	4,47	24,38	5,35	4,50	4,36	4,77	13,84	2,25	1,13	2,63	1,12		
Komsi+Oramo 1995	30,41	35,02	17,11	13,16	4,30			Komsi+Oramo 1995	2,91	4,08	12,32	4,76	6,35	1,57	2,96	5,43	25,06	4,97	5,44	4,10	2,60	11,35	1,82	0,66	1,70	1,93		
Whittlesey+Sallaberger 1997	35,05	28,60	19,41	13,32	3,63			Whittlesey+Sallaberger 1997	3,52	4,59	14,23	7,65	5,06	3,87	3,47	7,08	14,18	4,76	7,10	4,54	3,01	11,02	2,30	1,10	1,60	0,93		
Pammer+Kopatchinskaja 2004	30,98	36,43	14,62	12,59	5,38			Pammer+Kopatchinskaja 2004	3,48	4,69	13,91	5,36	3,54	1,97	4,27	6,65	23,54	3,93	6,11	3,25	1,32	10,78	1,81	0,90	2,96	1,53		
