dur sec 14	1	2	3	4	5	total	
Csengery+Keller 1987	00:07	00:08	00:09	00:05	00:04	00:34	
Csengery+Keller 1990	00:06	00:08	00:08	00:05	00:05	00:33	
Komsi+Oramo 1994	00:07	00:08	00:08	00:07	00:05	00:35	
Komsi+Oramo 1995	00:07	00:09	00:08	00:08	00:06	00:37	
Whittlesey+Sallaberger 1997	00:08	00:09	00:09	00:06	00:05	00:39	
Pammer+Kopatchinskaja 2004	00:06	00:09	00:07	00:06	00:05	00:33	
Arnold+Pogossian 2004	00:07	00:10	00:08	00:06	00:05	00:36	
Banse+Keller 2005	00:08	00:10	00:09	00:07	00:07	00:40	
Arnold+Pogossian 2006	00:07	00:10	00:08	00:06	00:06	00:37	
Melzer+Stark 2012	00:08	00:11	00:10	00:06	00:04	00:39	
Melzer+Stark 2013	00:08	00:10	00:09	00:07	00:04	00:38	
Kammer+Widmann 2017	00:07	00:09	00:08	00:06	00:05	00:35	
Melzer+Stark 2017	00:09	00:09	00:09	00:05	00:04	00:36	
Melzer+Stark 2019	00:07	00:09	00:09	00:05	00:03	00:34	
mean 14	00:07	00:09	00:09	00:06	00:05	00:36	
min 14	00:06	00:08	00:07	00:05	00:03	00:33	CK 1990
max 14	00:09	00:11	00:10	00:08	00:07	00:40	BK 2005
rel stdv 14 (%)	9,23	8,03	9,03	11,98	17,28	6,29	
dur sec 8	1	2	3	4	5	total	
Csengery+Keller 1990	00:06	00:08	00:08	00:05	00:05	00:33	
Komsi+Oramo 1995	00:07	00:09	00:08	00:08	00:06	00:37	
Whittlesey+Sallaberger 1997	00:08	00:09	00:09	00:06	00:05	00:39	
Pammer+Kopatchinskaja 2004	00:06	00:09	00:07	00:06	00:05	00:33	
Arnold+Pogossian 2004	00:07	00:10	00:08	00:06	00:05	00:36	
Banse+Keller 2005	00:08	00:10	00:09	00:07	00:07	00:40	
Melzer+Stark 2012	00:08	00:11	00:10	00:06	00:04	00:39	
Kammer+Widmann 2017	00:07	00:09	00:08	00:06	00:05	00:35	
mean 8	00:07	00:09	00:09	00:06	00:05	00:36	
min 8	00:06	00:08	00:07	00:05	00:04	00:33	CK 1990
max 8	00:08	00:11	00:10	00:08	00:07	00:40	BK 2005
rel stdv 8 (%)	9,45	8,52	10,72	11,31	15,33	7,31	
perc sec 14	1	2	3	4	5		
Csengery+Keller 1987	19,7	24,6	26,7	16,2	12,8		
Csengery+Keller 1990	19,5	25,2	25,1	15,9	14,2		
Komsi+Oramo 1994	20,4	23,8	21,8	18,6	15,3		
Komsi+Oramo 1995	17,9	23,8	21,8	20,9	15,6		
Whittlesey+Sallaberger 1997	20,5	24,4	24,4	16,5	14,1		
Pammer+Kopatchinskaja 2004	18,9	25,9	21,7	18,6	14,8		
Arnold+Pogossian 2004	20,2	26,3	23,0	16,4	14,1		
Banse+Keller 2005	19,4	24,0	23,1	16,4	17,0		
Arnold+Pogossian 2006	19,7	26,4	21,8	17,1	15,0		
Melzer+Stark 2012	20,4	27,5	25,9	15,4	10,7		
Melzer+Stark 2013	21,1	26,8	22,8	18,2	11,1		
Kammer+Widmann 2017	20,9	24,8	23,4	16,8	14,0		
Melzer+Stark 2017	23,5	25,9	25,7	13,7	11,3		
Melzer+Stark 2019	21,1	27,7	25,3	15,6	10,3		
mean 14	20,24	25,50	23,75	16,89	13,62		
min 14	17,94	23,78	21,67	13,68	10,33		
max 14	23,48	27,71	26,71	20,86	17,05		
abs stdv 14	1,28	1,33	1,74	1,75	2,05		
perc sec 8	1	2	3	4	5		
Csengery+Keller 1990	19,5	25,2	25,1	15,9	14,2		
Komsi+Oramo 1995	17,9	23,8	21,8	20,9	15,6		
Whittlesey+Sallaberger 1997	20,5	24,4	24,4	16,5	14,1		
Pammer+Kopatchinskaja 2004	18,9	25,9	21,7	18,6	14,8		
Arnold+Pogossian 2004	20,2	26,3	23,0	16,4	14,1		
Banse+Keller 2005	19,4	24,0	23,1	16,4	17,0		
Melzer+Stark 2012	20,4	27,5	25,9	15,4	10,7		
Kammer+Widmann 2017	20,9	24,8	23,4	16,8	14,0		
mean 8	19,73	25,23	23,56	17,13	14,34		
min 8	17,94	23,78	21,67	15,45	10,74		
max 8	20,90	27,52	25,87	20,86	17,05		
abs stdv 8	0,98	1,27	1,49	1,77	1,79		
