dur sec 14	1	2	3	4	5	total		dur seg 14	1a	1b	1c	2a	2b	3a	3b	4a	4b	4c	4d	5	total	
Csengery+Keller 1987	00:16	00:12	00:07	00:14	00:03	00:52		Csengery+Keller 1987	00:07	00:03	00:06	00:08	00:04	00:03	00:03	00:04	00:02	00:06	00:03	00:03	00:52	
Csengery+Keller 1990	00:13	00:10	00:06	00:11	00:03	00:44		Csengery+Keller 1990	00:06	00:03	00:05	00:07	00:04	00:03	00:03	00:03	00:02	00:05	00:02	00:03	00:44	
Komsi+Oramo 1994	00:16	00:13	00:09	00:16	00:03	00:57		Komsi+Oramo 1994	00:08	00:03	00:05	00:08	00:05	00:04	00:05	00:05	00:02	00:06	00:03	00:03	00:57	
Komsi+Oramo 1995	00:18	00:15	00:08	00:15	00:03	01:01		Komsi+Oramo 1995	00:09	00:04	00:06	00:08	00:07	00:03	00:05	00:04	00:03	00:06	00:02	00:03	01:01	
Whittlesey+Sallaberger 1997	00:15	00:13	00:07	00:15	00:02	00:52		Whittlesey+Sallaberger 1997	00:07	00:03	00:05	00:07	00:06	00:04	00:03	00:04	00:02	00:06	00:02	00:02	00:52	
Pammer+Kopatchinskaja 2004	00:16	00:12	00:07	00:15	00:03	00:53		Pammer+Kopatchinskaja 2004	00:07	00:03	00:06	00:07	00:05	00:03	00:03	00:03	00:03	00:07	00:02	00:03	00:53	
Arnold+Pogossian 2004	00:14	00:13	00:07	00:15	00:03	00:51		Arnold+Pogossian 2004	00:06	00:03	00:05	00:07	00:06	00:03	00:04	00:03	00:02	00:06	00:03	00:03	00:51	
Banse+Keller 2005	00:16	00:13	00:07	00:15	00:05	00:56		Banse+Keller 2005	00:07	00:03	00:06	00:08	00:05	00:04	00:03	00:03	00:03	00:07	00:02	00:05	00:56	
Arnold+Pogossian 2006	00:13	00:13	00:08	00:16	00:02	00:51		Arnold+Pogossian 2006	00:06	00:02	00:05	00:08	00:05	00:04	00:04	00:04	00:02	00:08	00:03	00:02	00:51	
Melzer+Stark 2012	00:24	00:17	00:09	00:20	00:06	01:17		Melzer+Stark 2012	00:11	00:04	00:09	00:10	00:07	00:04	00:05	00:05	00:04	00:09	00:02	00:06	01:17	
Melzer+Stark 2013	00:26	00:15	00:09	00:19	00:04	01:15		Melzer+Stark 2013	00:13	00:04	00:09	00:09	00:06	00:04	00:05	00:05	00:04	00:09	00:02	00:04	01:15	
Kammer+Widmann 2017	00:22	00:18	00:10	00:16	00:03	01:09		Kammer+Widmann 2017	00:10	00:05	00:07	00:12	00:06	00:05	00:04	00:05	00:03	00:07	00:02	00:03	01:09	
Melzer+Stark 2017	00:23	00:15	00:09	00:17	00:03	01:07		Melzer+Stark 2017	00:10	00:04	00:09	00:09	00:06	00:04	00:05	00:05	00:03	00:08	00:02	00:03	01:07	
Melzer+Stark 2019	00:22	00:14	00:09	00:20	00:06	01:10		Melzer+Stark 2019	00:10	00:05	00:08	00:08	00:06	00:04	00:05	00:06	00:03	00:08	00:03	00:06	01:10	
mean 14	00:18	00:14	00:08	00:16	00:03	01:00		mean 14	00:08	00:04	00:06	00:08	00:06	00:04	00:04	00:04	00:03	00:07	00:02	00:03	01:00	
min 14	00:13	00:10	00:06	00:11	00:02	00:44	CK 1990	min 14	00:06	00:02	00:05	00:07	00:04	00:03	00:03	00:03	00:02	00:05	00:02	00:02	00:44	CK 1990
max 14	00:26	00:18	00:10	00:20	00:06	01:17	MS 2012	max 14	00:13	00:05	00:09	00:12	00:07	00:05	00:05	00:06	00:04	00:09	00:03	00:06	01:17	MS 2012
rel stdv 14 (%)	24,55	14,96	15,15	15,09	34,02	17,10		rel stdv (%) 14	26,02	23,91	25,27	16,91	17,58	17,05	19,59	23,06	24,92	15,87	20,81	34,02	17,10	
dur sec 8	1	2	3	4	5	total		dur seg 8	1a	1b	1c	2a	2b	3a	3b	4a	4b	4c	4d	5	total	
Csengery+Keller 1990	00:13	00:10	00:06	00:11	00:03	00:44		Csengery+Keller 1990	00:06	00:03	00:05	00:07	00:04	00:03	00:03	00:03	00:02	00:05	00:02	00:03	00:44	
Komsi+Oramo 1995	00:18	00:15	00:08	00:15	00:03	01:01		Komsi+Oramo 1995	00:09	00:04	00:06	00:08	00:07	00:03	00:05	00:04	00:03	00:06	00:02	00:03	01:01	
Whittlesey+Sallaberger 1997	00:15	00:13	00:07	00:15	00:02	00:52		Whittlesey+Sallaberger 1997	00:07	00:03	00:05	00:07	00:06	00:04	00:03	00:04	00:02	00:06	00:02	00:02	00:52	
Pammer+Kopatchinskaja 2004	00:16	00:12	00:07	00:15	00:03	00:53		Pammer+Kopatchinskaja 2004	00:07	00:03	00:06	00:07	00:05	00:03	00:03	00:03	00:03	00:07	00:02	00:03	00:53	
Arnold+Pogossian 2004	00:14	00:13	00:07	00:15	00:03	00:51		Arnold+Pogossian 2004	00:06	00:03	00:05	00:07	00:06	00:03	00:04	00:03	00:02	00:06	00:03	00:03	00:51	
Banse+Keller 2005	00:16	00:13	00:07	00:15	00:05	00:56		Banse+Keller 2005	00:07	00:03	00:06	00:08	00:05	00:04	00:03	00:03	00:03	00:07	00:02	00:05	00:56	
Melzer+Stark 2012	00:24	00:17	00:09	00:20	00:06	01:17		Melzer+Stark 2012	00:11	00:04	00:09	00:10	00:07	00:04	00:05	00:05	00:04	00:09	00:02	00:06	01:17	
Kammer+Widmann 2017	00:22	00:18	00:10	00:16	00:03	01:09		Kammer+Widmann 2017	00:10	00:05	00:07	00:12	00:06	00:05	00:04	00:05	00:03	00:07	00:02	00:03	01:09	
mean 8	00:17	00:14	00:08	00:15	00:04	00:58		mean 8	00:08	00:03	00:06	00:08	00:06	00:04	00:04	00:04	00:03	00:07	00:02	00:04	00:58	
min 8	00:13	00:10	00:06	00:11	00:02	00:44	CK 1990	min 8	00:06	00:03	00:05	00:07	00:04	00:03	00:03	00:03	00:02	00:05	00:02	00:02	00:44	CK 1990
max 8	00:24	00:18	00:10	00:20	00:06	01:17	MS 2012	max 8	00:11	00:05	00:09	00:12	00:07	00:05	00:05	00:05	00:04	00:09	00:03	00:06	01:17	MS 2012
rel stdv 8 (%)	23,07	18,07	17,15	16,00	33,19	18,35		rel stdv (%) 8	24,84	22,02	22,80	21,65	19,61	21,96	21,30	23,52	25,24	16,51	19,16	33,19	18,35	
perc sec 14	1	2	3	4	5			perc seg 14	1a	1b	1c	2a	2b	3a	3b	4a	4b	4c	4d	5		
Csengery+Keller 1987	31,24	22,27	13,07	27,84	5,57			Csengery+Keller 1987	13,53	6,49	11,22	14,62	7,66	6,42	6,66	7,35	3,68	11,93	4,88	5,57		
Csengery+Keller 1990	29,55	23,60	14,65	25,60	6,59			Csengery+Keller 1990	12,85	5,89	10,81	15,02	8,59	7,28	7,37	6,11	3,72	12,16	3,61	6,59		
Komsi+Oramo 1994	27,91	23,14	15,30	28,80	4,84			Komsi+Oramo 1994	14,21	5,16	8,54	13,59	9,55	6,73	8,57	8,64	4,31	10,62	5,23	4,84		
Komsi+Oramo 1995	30,38	25,58	13,82	24,85	5,36			Komsi+Oramo 1995	14,30	5,91	10,17	13,68	11,90	5,69	8,13	5,92	5,17	9,81	3,94	5,36		
Whittlesey+Sallaberger 1997	28,46	25,34	13,17	28,69	4,35			Whittlesey+Sallaberger 1997	13,37	5,63	9,46	13,90	11,43	7,71	5,46	7,35	4,72	12,40	4,22	4,35		
Pammer+Kopatchinskaja 2004	30,52	23,02	12,47	28,99	5,00			Pammer+Kopatchinskaja 2004	12,73	6,51	11,27	13,81	9,21	6,02	6,45	6,52	4,74	13,06	4,67	5,00		
Arnold+Pogossian 2004	26,80	25,33	12,83	28,56	6,48			Arnold+Pogossian 2004	12,47	5,04	9,29	14,44	10,89	5,42	7,41	6,51	3,88	12,43	5,73	6,48		
Banse+Keller 2005	29,45	23,05	13,36	25,98	8,16			Banse+Keller 2005	12,93	5,99	10,53	14,34	8,71	7,16	6,20	5,17	4,51	12,46	3,84	8,16		
Arnold+Pogossian 2006	24,71	24,87	15,71	30,59	4,13			Arnold+Pogossian 2006	10,85	4,12	9,74	14,99	9,88	7,80	7,90	7,00	3,61	14,66	5,31	4,13		
Melzer+Stark 2012	31,78	22,03	12,33	26,20	7,67			Melzer+Stark 2012	14,54	5,78	11,46	13,22	8,80	5,56	6,77	6,95	4,91	11,91	2,43	7,67		
Melzer+Stark 2013	35,00	20,66	12,49	26,02	5,83			Melzer+Stark 2013	16,89	5,97	12,14	12,10	8,56	5,75	6,74	6,49	4,92	11,91	2,70	5,83		
Kammer+Widmann 2017	31,74	25,82	13,97	23,65	4,82			Kammer+Widmann 2017	14,88	6,61	10,25	17,39	8,43	7,85	6,12	6,62	4,05	10,21	2,77	4,82		
Melzer+Stark 2017	34,02	22,26	13,86	25,82	4,05			Melzer+Stark 2017	14,31	6,63	13,08	13,16	9,10	6,43	7,43	6,93	4,48	11,86	2,56	4,05		
Melzer+Stark 2019	31,68	19,50	12,67	28,18	7,98			Melzer+Stark 2019	13,99	6,48	11,21	11,11	8,39	5,42	7,25	8,38	4,20	11,20	4,40	7,98		
mean 14	30,23	23,32	13,55	27,13	5,77			mean 14	13,70	5,87	10,65	13,95	9,37	6,52	7,03	6,85	4,35	11,90	4,02	5,77		
min 14	24,71	19,50	12,33	23,65	4,05			min 14	10,85	4,12	8,54	11,11	7,66	5,42	5,46	5,17	3,61	9,81	2,43	4,05		
max 14	35,00	25,82	15,71	30,59	8,16			max 14	16,89	6,63	13,08	17,39	11,90	7,85	8,57	8,64	5,17	14,66	5,73	8,16		
abs stdv 14	2,73	1,92	1,06	1,94	1,40			abs stdv 14	1,40	0,71	1,20	1,46	1,25	0,91	0,85	0,91	0,51	1,22	1,10	1,40		
