dur sec 14	1	2	3	4	5	6	total		dur seg 14	1	2a	2b	2c	3	4a	4b	4c	5a	5b	5c	6	total	
Csengery+Keller 1987	00:19	00:13	00:13	00:26	00:18	00:15	01:43		Csengery+Keller 1987	00:19	00:03	00:03	00:08	00:13	00:02	00:11	00:13	00:08	00:04	00:05	00:15	01:43	
Csengery+Keller 1990	00:21	00:13	00:15	00:25	00:18	00:16	01:48		Csengery+Keller 1990	00:21	00:03	00:03	00:08	00:15	00:02	00:11	00:12	00:07	00:04	00:06	00:16	01:48	
Komsi+Oramo 1994	00:23	00:10	00:09	00:21	00:16	00:11	01:30		Komsi+Oramo 1994	00:23	00:02	00:02	00:06	00:09	00:03	00:08	00:11	00:07	00:04	00:05	00:11	01:30	
Komsi+Oramo 1995	00:22	00:10	00:11	00:20	00:17	00:10	01:31		Komsi+Oramo 1995	00:22	00:02	00:02	00:06	00:11	00:02	00:07	00:11	00:09	00:04	00:05	00:10	01:31	
Whittlesey+Sallaberger 1997	00:27	00:15	00:15	00:26	00:21	00:17	02:02		Whittlesey+Sallaberger 1997	00:27	00:03	00:03	00:09	00:15	00:03	00:10	00:13	00:10	00:05	00:06	00:17	02:02	
Pammer+Kopatchinskaja 2004	00:27	00:14	00:11	00:25	00:19	00:17	01:53		Pammer+Kopatchinskaja 2004	00:27	00:03	00:03	00:08	00:11	00:03	00:12	00:10	00:09	00:04	00:06	00:17	01:53	
Arnold+Pogossian 2004	00:25	00:12	00:15	00:27	00:19	00:15	01:53		Arnold+Pogossian 2004	00:25	00:03	00:02	00:07	00:15	00:03	00:10	00:13	00:09	00:05	00:05	00:15	01:53	
Banse+Keller 2005	00:25	00:15	00:14	00:30	00:22	00:17	02:03		Banse+Keller 2005	00:25	00:03	00:03	00:09	00:14	00:03	00:14	00:13	00:09	00:06	00:08	00:17	02:03	
Arnold+Pogossian 2006	00:23	00:13	00:13	00:25	00:19	00:15	01:48		Arnold+Pogossian 2006	00:23	00:03	00:03	00:07	00:13	00:03	00:09	00:13	00:10	00:05	00:05	00:15	01:48	
Melzer+Stark 2012	00:21	00:14	00:12	00:38	00:25	00:20	02:10		Melzer+Stark 2012	00:21	00:03	00:03	00:08	00:12	00:03	00:17	00:18	00:12	00:07	00:07	00:20	02:10	
Melzer+Stark 2013	00:21	00:15	00:11	00:41	00:28	00:21	02:17		Melzer+Stark 2013	00:21	00:03	00:03	00:09	00:11	00:04	00:17	00:20	00:13	00:07	00:08	00:21	02:17	
Kammer+Widmann 2017	00:24	00:13	00:12	00:21	00:16	00:11	01:37		Kammer+Widmann 2017	00:24	00:03	00:02	00:07	00:12	00:02	00:10	00:09	00:08	00:04	00:05	00:11	01:37	
Melzer+Stark 2017	00:22	00:15	00:11	00:43	00:26	00:20	02:17		Melzer+Stark 2017	00:22	00:03	00:03	00:09	00:11	00:04	00:18	00:21	00:12	00:07	00:07	00:20	02:17	
Melzer+Stark 2019	00:20	00:14	00:11	00:40	00:26	00:19	02:10		Melzer+Stark 2019	00:20	00:03	00:03	00:08	00:11	00:03	00:17	00:20	00:12	00:07	00:08	00:19	02:10	
mean 14	00:23	00:13	00:12	00:29	00:21	00:16	01:54		mean 14	00:23	00:03	00:03	00:08	00:12	00:03	00:12	00:14	00:10	00:05	00:06	00:16	01:54	
min 14	00:19	00:10	00:09	00:20	00:16	00:10	01:30	KO 1994	min 14	00:19	00:02	00:02	00:06	00:09	00:02	00:07	00:09	00:07	00:04	00:05	00:10	01:30	KO 1994
max 14	00:27	00:15	00:15	00:43	00:28	00:21	02:17	MS 2013	max 14	00:27	00:03	00:03	00:09	00:15	00:04	00:18	00:21	00:13	00:07	00:08	00:21	02:17	MS 2013
rel stdv 14 (%)	11,07	12,82	15,29	27,02	19,72	21,26	13,97		rel stdv (%) 14	11,07	13,76	12,04	13,53	15,29	21,63	29,30	28,87	19,91	23,11	19,98	21,26	13,97	
dur sec 8	1	2	3	4	5	6	total		dur seg 8	1	2a	2b	2c	3	4a	4b	4c	5a	5b	5c	6	total	
Csengery+Keller 1990	00:21	00:13	00:15	00:25	00:18	00:16	01:48		Csengery+Keller 1990	00:21	00:03	00:03	00:08	00:15	00:02	00:11	00:12	00:07	00:04	00:06	00:16	01:48	
