dur sec 14	1	2	3	4	5	total		dur seg 14	1	2a	2b	3a	3b	4	5	total	
Csengery+Keller 1987	00:23	00:53	00:52	00:32	00:10	02:50		Csengery+Keller 1987	00:23	00:28	00:25	00:28	00:24	00:32	00:10	02:50	
Csengery+Keller 1990	00:20	00:48	00:49	00:31	00:11	02:38		Csengery+Keller 1990	00:20	00:25	00:23	00:27	00:22	00:31	00:11	02:38	
Komsi+Oramo 1994	00:21	00:47	00:48	00:29	00:10	02:35		Komsi+Oramo 1994	00:21	00:23	00:24	00:25	00:23	00:29	00:10	02:35	
Komsi+Oramo 1995	00:27	00:53	00:51	00:34	00:11	02:56		Komsi+Oramo 1995	00:27	00:27	00:26	00:28	00:23	00:34	00:11	02:56	
Whittlesey+Sallaberger 1997	00:24	00:43	00:43	00:28	00:09	02:27		Whittlesey+Sallaberger 1997	00:24	00:22	00:21	00:25	00:18	00:28	00:09	02:27	
Pammer+Kopatchinskaja 2004	00:20	00:47	00:44	00:32	00:08	02:30		Pammer+Kopatchinskaja 2004	00:20	00:26	00:21	00:24	00:20	00:32	00:08	02:30	
Arnold+Pogossian 2004	00:21	00:43	00:43	00:30	00:10	02:26		Arnold+Pogossian 2004	00:21	00:22	00:21	00:23	00:19	00:30	00:10	02:26	
Banse+Keller 2005	00:23	00:52	00:45	00:29	00:10	02:38		Banse+Keller 2005	00:23	00:26	00:26	00:25	00:20	00:29	00:10	02:38	
Arnold+Pogossian 2006	00:19	00:44	00:41	00:32	00:09	02:25		Arnold+Pogossian 2006	00:19	00:22	00:22	00:23	00:18	00:32	00:09	02:25	
Melzer+Stark 2012	00:21	00:53	00:51	00:29	00:10	02:44		Melzer+Stark 2012	00:21	00:27	00:27	00:27	00:23	00:29	00:10	02:44	
Melzer+Stark 2013	00:23	00:56	00:50	00:29	00:10	02:49		Melzer+Stark 2013	00:23	00:29	00:27	00:26	00:24	00:29	00:10	02:49	
Kammer+Widmann 2017	00:22	00:44	00:32	00:28	00:06	02:12		Kammer+Widmann 2017	00:22	00:24	00:20	00:18	00:14	00:28	00:06	02:12	
Melzer+Stark 2017	00:18	00:45	00:51	00:30	00:09	02:33		Melzer+Stark 2017	00:18	00:16	00:28	00:29	00:21	00:30	00:09	02:33	
Melzer+Stark 2019	00:29	01:04	00:52	00:39	00:10	03:14		Melzer+Stark 2019	00:29	00:32	00:32	00:29	00:24	00:39	00:10	03:14	
mean 14	00:22	00:49	00:46	00:31	00:09	02:38		mean 14	00:22	00:25	00:24	00:26	00:21	00:31	00:09	02:38	
min 14	00:18	00:43	00:32	00:28	00:06	02:12	KW 2017	min 14	00:18	00:16	00:20	00:18	00:14	00:28	00:06	02:12	KW 2017
max 14	00:29	01:04	00:52	00:39	00:11	03:14	MS 2019	max 14	00:29	00:32	00:32	00:29	00:24	00:39	00:11	03:14	MS 2019
rel stdv 14 (%)	13,24	12,17	12,15	9,74	13,27	9,79		rel stdv (%) 14	13,24	15,08	13,85	11,49	13,96	9,74	13,27	9,79	
dur sec 8	1	2	3	4	5	total		dur seg 8	1	2a	2b	3a	3b	4	5	total	
Csengery+Keller 1990	00:20	00:48	00:49	00:31	00:11	02:38		Csengery+Keller 1990	00:20	00:25	00:23	00:27	00:22	00:31	00:11	02:38	
Komsi+Oramo 1995	00:27	00:53	00:51	00:34	00:11	02:56		Komsi+Oramo 1995	00:27	00:27	00:26	00:28	00:23	00:34	00:11	02:56	
Whittlesey+Sallaberger 1997	00:24	00:43	00:43	00:28	00:09	02:27		Whittlesey+Sallaberger 1997	00:24	00:22	00:21	00:25	00:18	00:28	00:09	02:27	
Pammer+Kopatchinskaja 2004	00:20	00:47	00:44	00:32	00:08	02:30		Pammer+Kopatchinskaja 2004	00:20	00:26	00:21	00:24	00:20	00:32	00:08	02:30	
Arnold+Pogossian 2004	00:21	00:43	00:43	00:30	00:10	02:26		Arnold+Pogossian 2004	00:21	00:22	00:21	00:23	00:19	00:30	00:10	02:26	
Banse+Keller 2005	00:23	00:52	00:45	00:29	00:10	02:38		Banse+Keller 2005	00:23	00:26	00:26	00:25	00:20	00:29	00:10	02:38	
Melzer+Stark 2012	00:21	00:53	00:51	00:29	00:10	02:44		Melzer+Stark 2012	00:21	00:27	00:27	00:27	00:23	00:29	00:10	02:44	
Kammer+Widmann 2017	00:22	00:44	00:32	00:28	00:06	02:12		Kammer+Widmann 2017	00:22	00:24	00:20	00:18	00:14	00:28	00:06	02:12	
mean 8	00:22	00:48	00:45	00:30	00:09	02:34		mean 8	00:22	00:25	00:23	00:25	00:20	00:30	00:09	02:34	
min 8	00:20	00:43	00:32	00:28	00:06	02:12	KW 2017	min 8	00:20	00:22	00:20	00:18	00:14	00:28	00:06	02:12	KW 2017
max 8	00:27	00:53	00:51	00:34	00:11	02:56	KO 1995	max 8	00:27	00:27	00:27	00:28	00:23	00:34	00:11	02:56	KO 1995
rel stdv 8 (%)	11,23	9,31	13,70	6,93	16,78	8,61		rel stdv (%) 8	11,23	7,93	12,10	12,66	15,30	6,93	16,78	8,61	
perc sec 14	1	2	3	4	5			perc seg 14	1	2a	2b	3a	3b	4	5		
Csengery+Keller 1987	13,33	31,33	30,55	19,05	5,74			Csengery+Keller 1987	13,33	16,39	14,94	16,48	14,07	19,05	5,74		
Csengery+Keller 1990	12,42	30,46	30,88	19,56	6,67			Csengery+Keller 1990	12,42	15,76	14,70	17,22	13,66	19,56	6,67		
Komsi+Oramo 1994	13,78	30,35	30,68	18,83	6,37			Komsi+Oramo 1994	13,78	14,81	15,53	15,93	14,76	18,83	6,37		
Komsi+Oramo 1995	15,41	30,32	28,80	19,32	6,15			Komsi+Oramo 1995	15,41	15,28	15,04	15,82	12,98	19,32	6,15		
Whittlesey+Sallaberger 1997	16,22	29,11	29,38	19,35	5,93			Whittlesey+Sallaberger 1997	16,22	14,77	14,34	16,82	12,56	19,35	5,93		
Pammer+Kopatchinskaja 2004	13,26	31,26	29,32	20,97	5,19			Pammer+Kopatchinskaja 2004	13,26	17,16	14,10	15,95	13,37	20,97	5,19		
Arnold+Pogossian 2004	14,05	29,70	29,13	20,49	6,62			Arnold+Pogossian 2004	14,05	15,35	14,35	15,89	13,24	20,49	6,62		
Banse+Keller 2005	14,46	32,83	28,48	18,14	6,10			Banse+Keller 2005	14,46	16,66	16,17	15,70	12,78	18,14	6,10		
Arnold+Pogossian 2006	13,12	30,36	28,41	22,14	5,97			Arnold+Pogossian 2006	13,12	15,32	15,04	16,03	12,38	22,14	5,97		
