dur sec 14	1	2	3	4	5	total		dur seg 14	1	2a	2b	2c	2d	3	4a	4b	4c	4d	5a	5b	5c	5d	5e	total	
Csengery+Keller 1987	00:20	00:19	00:07	00:13	00:19	01:17		Csengery+Keller 1987	00:20	00:03	00:04	00:04	00:08	00:07	00:02	00:04	00:02	00:06	00:05	00:05	00:06	00:02	00:01	01:17	
Csengery+Keller 1990	00:23	00:21	00:08	00:15	00:21	01:28		Csengery+Keller 1990	00:23	00:04	00:04	00:05	00:08	00:08	00:02	00:05	00:02	00:05	00:06	00:05	00:07	00:01	00:02	01:28	
Komsi+Oramo 1994	00:24	00:19	00:11	00:19	00:25	01:37		Komsi+Oramo 1994	00:24	00:03	00:03	00:05	00:08	00:11	00:03	00:06	00:03	00:07	00:07	00:06	00:08	00:02	00:02	01:37	
Komsi+Oramo 1995	00:22	00:18	00:09	00:16	00:22	01:27		Komsi+Oramo 1995	00:22	00:03	00:03	00:04	00:07	00:09	00:03	00:05	00:03	00:06	00:06	00:05	00:07	00:02	00:02	01:27	
Whittlesey+Sallaberger 1997	00:27	00:19	00:08	00:15	00:22	01:33		Whittlesey+Sallaberger 1997	00:27	00:03	00:04	00:05	00:07	00:08	00:02	00:05	00:02	00:06	00:06	00:05	00:07	00:02	00:02	01:33	
Pammer+Kopatchinskaja 2004	00:25	00:17	00:09	00:15	00:21	01:26		Pammer+Kopatchinskaja 2004	00:25	00:03	00:03	00:04	00:07	00:09	00:03	00:05	00:02	00:05	00:06	00:05	00:06	00:02	00:02	01:26	
Arnold+Pogossian 2004	00:25	00:19	00:08	00:14	00:19	01:24		Arnold+Pogossian 2004	00:25	00:03	00:03	00:04	00:08	00:08	00:02	00:05	00:02	00:05	00:06	00:05	00:06	00:02	00:01	01:24	
Banse+Keller 2005	00:23	00:19	00:10	00:17	00:23	01:32		Banse+Keller 2005	00:23	00:03	00:04	00:04	00:08	00:10	00:03	00:05	00:02	00:06	00:07	00:05	00:07	00:02	00:02	01:32	
Arnold+Pogossian 2006	00:24	00:18	00:08	00:13	00:19	01:22		Arnold+Pogossian 2006	00:24	00:03	00:03	00:04	00:08	00:08	00:02	00:04	00:02	00:05	00:05	00:04	00:06	00:01	00:02	01:22	
Melzer+Stark 2012	00:25	00:19	00:10	00:18	00:23	01:36		Melzer+Stark 2012	00:25	00:04	00:03	00:05	00:07	00:10	00:03	00:06	00:03	00:07	00:07	00:06	00:07	00:01	00:02	01:36	
Melzer+Stark 2013	00:25	00:19	00:10	00:19	00:22	01:35		Melzer+Stark 2013	00:25	00:04	00:03	00:05	00:07	00:10	00:03	00:06	00:03	00:07	00:07	00:06	00:07	00:01	00:02	01:35	
Kammer+Widmann 2017	00:19	00:16	00:08	00:15	00:20	01:18		Kammer+Widmann 2017	00:19	00:03	00:03	00:04	00:06	00:08	00:02	00:05	00:02	00:05	00:05	00:05	00:06	00:02	00:02	01:18	
Melzer+Stark 2017	00:25	00:18	00:10	00:18	00:20	01:30		Melzer+Stark 2017	00:25	00:03	00:03	00:04	00:07	00:10	00:03	00:06	00:02	00:07	00:06	00:05	00:06	00:00	00:02	01:30	
Melzer+Stark 2019	00:24	00:18	00:10	00:19	00:22	01:34		Melzer+Stark 2019	00:24	00:04	00:03	00:05	00:07	00:10	00:03	00:06	00:03	00:07	00:07	00:06	00:06	00:01	00:02	01:34	
mean 14	00:24	00:19	00:09	00:16	00:21	01:29		mean 14	00:24	00:03	00:03	00:05	00:07	00:09	00:03	00:05	00:02	00:06	00:06	00:05	00:07	00:01	00:02	01:29	
min 14	00:19	00:16	00:07	00:13	00:19	01:17	CK 1987	min 14	00:19	00:03	00:03	00:04	00:06	00:07	00:02	00:04	00:02	00:05	00:05	00:04	00:06	00:00	00:01	01:17	CK 1987
max 14	00:27	00:21	00:11	00:19	00:25	01:37	KO 1994	max 14	00:27	00:04	00:04	00:05	00:08	00:11	00:03	00:06	00:03	00:07	00:07	00:06	00:08	00:02	00:02	01:37	KO 1994
rel stdv 14 (%)	9,33	5,84	13,06	12,92	9,08	7,28		rel stdv (%) 14	9,33	5,28	12,38	6,87	8,55	13,06	15,88	13,41	12,94	12,80	13,28	9,55	9,73	40,89	14,76	7,28	
dur sec 8	1	2	3	4	5	total		dur seg 8	1	2a	2b	2c	2d	3	4a	4b	4c	4d	5a	5b	5c	5d	5e	total	
Csengery+Keller 1990	00:23	00:21	00:08	00:15	00:21	01:28		Csengery+Keller 1990	00:23	00:04	00:04	00:05	00:08	00:08	00:02	00:05	00:02	00:05	00:06	00:05	00:07	00:01	00:02	01:28	
Komsi+Oramo 1995	00:22	00:18	00:09	00:16	00:22	01:27		Komsi+Oramo 1995	00:22	00:03	00:03	00:04	00:07	00:09	00:03	00:05	00:03	00:06	00:06	00:05	00:07	00:02	00:02	01:27	
Whittlesey+Sallaberger 1997	00:27	00:19	00:08	00:15	00:22	01:33		Whittlesey+Sallaberger 1997	00:27	00:03	00:04	00:05	00:07	00:08	00:02	00:05	00:02	00:06	00:06	00:05	00:07	00:02	00:02	01:33	
Pammer+Kopatchinskaja 2004	00:25	00:17	00:09	00:15	00:21	01:26		Pammer+Kopatchinskaja 2004	00:25	00:03	00:03	00:04	00:07	00:09	00:03	00:05	00:02	00:05	00:06	00:05	00:06	00:02	00:02	01:26	
Arnold+Pogossian 2004	00:25	00:19	00:08	00:14	00:19	01:24		Arnold+Pogossian 2004	00:25	00:03	00:03	00:04	00:08	00:08	00:02	00:05	00:02	00:05	00:06	00:05	00:06	00:02	00:01	01:24	
Banse+Keller 2005	00:23	00:19	00:10	00:17	00:23	01:32		Banse+Keller 2005	00:23	00:03	00:04	00:04	00:08	00:10	00:03	00:05	00:02	00:06	00:07	00:05	00:07	00:02	00:02	01:32	
Melzer+Stark 2012	00:25	00:19	00:10	00:18	00:23	01:36		Melzer+Stark 2012	00:25	00:04	00:03	00:05	00:07	00:10	00:03	00:06	00:03	00:07	00:07	00:06	00:07	00:01	00:02	01:36	
Kammer+Widmann 2017	00:19	00:16	00:08	00:15	00:20	01:18		Kammer+Widmann 2017	00:19	00:03	00:03	00:04	00:06	00:08	00:02	00:05	00:02	00:05	00:05	00:05	00:06	00:02	00:02	01:18	
mean 8	00:24	00:19	00:09	00:16	00:21	01:28		mean 8	00:24	00:03	00:03	00:05	00:07	00:09	00:03	00:05	00:02	00:06	00:06	00:05	00:07	00:02	00:02	01:28	
min 8	00:19	00:16	00:08	00:14	00:19	01:18	KW 2017	min 8	00:19	00:03	00:03	00:04	00:06	00:08	00:02	00:05	00:02	00:05	00:05	00:05	00:06	00:01	00:01	01:18	KW 2017
max 8	00:27	00:21	00:10	00:18	00:23	01:36	MS 2012	max 8	00:27	00:04	00:04	00:05	00:08	00:10	00:03	00:06	00:03	00:07	00:07	00:06	00:07	00:02	00:02	01:36	MS 2012
rel stdv 8 (%)	10,64	7,66	9,67	9,33	6,73	6,34		rel stdv (%) 8	10,64	6,31	14,47	7,50	10,91	9,67	9,69	9,41	11,49	9,83	11,47	8,78	8,03	37,21	12,07	6,34	
perc sec 14	1	2	3	4	5			perc seg 14	1	2a	2b	2c	2d	3	4a	4b	4c	4d	5a	5b	5c	5d	5e		
Csengery+Keller 1987	25,47	24,46	8,67	17,37	24,03			Csengery+Keller 1987	25,47	4,43	4,59	5,70	9,75	8,67	2,53	5,34	2,27	7,22	6,90	6,07	7,20	2,26	1,60		
Csengery+Keller 1990	25,84	23,70	9,35	16,72	24,39			Csengery+Keller 1990	25,84	4,17	4,89	5,55	9,09	9,35	2,72	5,49	2,30	6,22	7,38	6,20	7,68	1,05	2,08		
Komsi+Oramo 1994	24,72	19,20	11,11	19,11	25,85			Komsi+Oramo 1994	24,72	3,48	2,97	4,67	8,07	11,11	3,07	6,44	2,71	6,90	7,51	6,11	7,88	2,23	2,13		
Komsi+Oramo 1995	25,49	20,50	10,71	18,58	24,73			Komsi+Oramo 1995	25,49	3,60	3,55	4,89	8,46	10,71	3,02	5,96	3,02	6,58	7,03	5,69	7,68	1,88	2,45		
Whittlesey+Sallaberger 1997	29,28	21,03	8,93	16,47	24,29			Whittlesey+Sallaberger 1997	29,28	3,74	4,35	5,05	7,89	8,93	2,58	5,11	2,37	6,41	6,72	5,74	7,55	2,20	2,08		
Pammer+Kopatchinskaja 2004	28,65	19,92	9,94	17,02	24,48			Pammer+Kopatchinskaja 2004	28,65	3,88	3,55	4,86	7,63	9,94	2,91	5,40	2,35	6,36	6,85	5,82	7,32	2,09	2,39		
Arnold+Pogossian 2004	29,21	22,42	9,22	16,80	22,34			Arnold+Pogossian 2004	29,21	3,71	3,91	5,03	9,77	9,22	2,62	5,45	2,39	6,35	6,74	5,35	6,78	1,78	1,69		
Banse+Keller 2005	25,27	21,01	10,85	17,99	24,88			Banse+Keller 2005	25,27	3,73	3,85	4,65	8,77	10,85	3,00	5,86	2,37	6,75	7,26	5,91	7,96	1,84	1,90		
Arnold+Pogossian 2006	28,84	22,23	9,74	16,47	22,72			Arnold+Pogossian 2006	28,84	3,91	3,81	5,01	9,50	9,74	2,57	5,35	2,38	6,17	6,36	5,34	7,05	1,29	2,68		
Melzer+Stark 2012	26,18	20,26	10,42	19,24	23,89			Melzer+Stark 2012	26,18	3,86	3,57	5,30	7,53	10,42	3,06	6,16	2,67	7,35	7,77	5,96	7,47	0,52	2,17		
Melzer+Stark 2013	26,08	19,99	10,73	19,65	23,54			Melzer+Stark 2013	26,08	3,73	3,49	5,23	7,55	10,73	3,17	6,25	2,64	7,59	7,78	5,82	6,83	1,26	1,85		
Kammer+Widmann 2017	23,80	21,06	10,83	18,58	25,73			Kammer+Widmann 2017	23,80	4,29	3,63	5,60	7,55	10,83	3,00	5,98	2,59	7,01	6,50	5,76	8,12	2,88	2,47		
Melzer+Stark 2017	27,35	19,85	10,93	20,11	21,76			Melzer+Stark 2017	27,35	3,71	3,44	4,95	7,75	10,93	3,40	6,25	2,50	7,95	6,79	5,62	6,69	0,55	2,11		
Melzer+Stark 2019	25,69	19,74	10,60	20,24	23,73			Melzer+Stark 2019	25,69	3,81	3,40	5,03	7,50	10,60	3,58	6,45	2,68	7,52	7,86	5,89	6,69	0,96	2,33		
mean 14	26,56	21,10	10,15	18,17	24,03			mean 14	26,56	3,86	3,79	5,11	8,34	10,15	2,94	5,82	2,52	6,88	7,10	5,81	7,35	1,63	2,14		
min 14	23,80	19,20	8,67	16,47	21,76			min 14	23,80	3,48	2,97	4,65	7,50	8,67	2,53	5,11	2,27	6,17	6,36	5,34	6,69	0,52	1,60		
max 14	29,28	24,46	11,11	20,24	25,85			max 14	29,28	4,43	4,89	5,70	9,77	11,11	3,58	6,45	3,02	7,95	7,86	6,20	8,12	2,88	2,68		
abs stdv 14	1,78	1,56	0,82	1,37	1,17			abs stdv 14	1,78	0,27	0,51	0,33	0,87	0,82	0,32	0,45	0,21	0,57	0,49	0,25	0,49	0,70	0,31		
perc sec 8	1	2	3	4	5			perc seg 8	1	2a	2b	2c	2d	3	4a	4b	4c	4d	5a	5b	5c	5d	5e		
Csengery+Keller 1990	25,84	23,70	9,35	16,72	24,39			Csengery+Keller 1990	25,84	4,17	4,89	5,55	9,09	9,35	2,72	5,49	2,30	6,22	7,38	6,20	7,68	1,05	2,08		
Komsi+Oramo 1995	25,49	20,50	10,71	18,58	24,73			Komsi+Oramo 1995	25,49	3,60	3,55	4,89	8,46	10,71	3,02	5,96	3,02	6,58	7,03	5,69	7,68	1,88	2,45		
Whittlesey+Sallaberger 1997	29,28	21,03	8,93	16,47	24,29			Whittlesey+Sallaberger 1997	29,28	3,74	4,35	5,05	7,89	8,93	2,58	5,11	2,37	6,41	6,72	5,74	7,55	2,20	2,08		
