dur sec 14	1	2	3	4	5	6	7	8	9	total		dur seg 14	1	2	3a	3b	3c	4a	4b	4c	4d	5	6a	6b	6c	6d	7a	7b	7c	8a	8b	8c	8d	9a	9b	total	
Csengery+Keller 1987	00:16	00:03	00:53	00:34	00:02	01:11	00:19	01:55	00:37	05:50		Csengery+Keller 1987	00:16	00:03	00:11	00:23	00:20	00:06	00:06	00:09	00:13	00:02	00:17	00:22	00:26	00:06	00:08	00:07	00:04	00:43	00:25	00:31	00:15	00:19	00:19	05:50	
Csengery+Keller 1990	00:18	00:03	00:56	00:33	00:01	01:20	00:20	02:07	00:39	06:17		Csengery+Keller 1990	00:18	00:03	00:12	00:28	00:16	00:05	00:05	00:09	00:14	00:01	00:17	00:26	00:29	00:08	00:09	00:07	00:04	00:44	00:29	00:39	00:15	00:21	00:19	06:17	
Komsi+Oramo 1994	00:23	00:04	01:01	00:40	00:04	01:07	00:21	01:42	00:39	06:02		Komsi+Oramo 1994	00:23	00:04	00:15	00:25	00:22	00:09	00:05	00:10	00:16	00:04	00:17	00:17	00:23	00:10	00:10	00:06	00:06	00:34	00:16	00:28	00:24	00:14	00:25	06:02	
Komsi+Oramo 1995	00:31	00:04	01:12	00:38	00:02	01:22	00:23	01:47	00:49	06:47		Komsi+Oramo 1995	00:31	00:04	00:17	00:33	00:22	00:08	00:06	00:09	00:15	00:02	00:20	00:25	00:26	00:11	00:09	00:06	00:08	00:35	00:22	00:28	00:22	00:14	00:35	06:47	
Whittlesey+Sallaberger 1997	00:22	00:02	00:58	00:42	00:07	01:11	00:24	02:16	00:40	06:42		Whittlesey+Sallaberger 1997	00:22	00:02	00:10	00:26	00:21	00:08	00:07	00:10	00:17	00:07	00:17	00:18	00:28	00:07	00:10	00:08	00:06	00:44	00:30	00:52	00:10	00:16	00:24	06:42	
Pammer+Kopatchinskaja 2004	00:22	00:04	00:53	00:33	00:03	01:11	00:19	01:53	00:44	06:01		Pammer+Kopatchinskaja 2004	00:22	00:04	00:14	00:23	00:16	00:06	00:06	00:10	00:12	00:03	00:17	00:22	00:28	00:05	00:07	00:07	00:05	00:36	00:22	00:30	00:25	00:17	00:27	06:01	
Arnold+Pogossian 2004	00:23	00:03	01:06	00:40	00:02	01:34	00:27	02:06	00:48	07:10		Arnold+Pogossian 2004	00:23	00:03	00:13	00:33	00:20	00:07	00:06	00:10	00:17	00:02	00:23	00:23	00:39	00:09	00:10	00:11	00:06	00:42	00:27	00:38	00:18	00:18	00:31	07:10	
Banse+Keller 2005	00:20	00:02	00:55	00:34	00:05	01:23	00:21	01:52	00:35	06:06		Banse+Keller 2005	00:20	00:02	00:12	00:24	00:18	00:05	00:05	00:09	00:15	00:05	00:21	00:26	00:27	00:09	00:08	00:08	00:05	00:36	00:24	00:32	00:19	00:14	00:21	06:06	
Arnold+Pogossian 2006	00:25	00:04	01:07	00:39	00:03	01:38	00:26	02:06	00:52	07:20		Arnold+Pogossian 2006	00:25	00:04	00:12	00:33	00:22	00:06	00:06	00:10	00:17	00:03	00:26	00:22	00:42	00:09	00:09	00:11	00:05	00:40	00:30	00:38	00:18	00:20	00:32	07:20	
Melzer+Stark 2012	00:23	00:02	00:58	00:39	00:05	01:21	00:19	01:42	00:43	06:10		Melzer+Stark 2012	00:23	00:02	00:12	00:28	00:17	00:07	00:07	00:09	00:16	00:05	00:19	00:21	00:31	00:09	00:07	00:07	00:05	00:35	00:22	00:32	00:13	00:18	00:25	06:10	
Melzer+Stark 2013	00:23	00:02	01:00	00:39	00:03	01:20	00:22	01:40	00:42	06:11		Melzer+Stark 2013	00:23	00:02	00:12	00:30	00:18	00:06	00:06	00:11	00:16	00:03	00:20	00:22	00:30	00:09	00:08	00:09	00:05	00:34	00:21	00:30	00:14	00:16	00:26	06:11	
Kammer+Widmann 2017	00:18	00:03	00:53	00:31	00:03	01:01	00:19	01:50	00:24	05:22		Kammer+Widmann 2017	00:18	00:03	00:12	00:23	00:18	00:04	00:04	00:09	00:14	00:03	00:17	00:14	00:23	00:07	00:08	00:07	00:04	00:35	00:26	00:33	00:16	00:08	00:16	05:22	
Melzer+Stark 2017	00:22	00:02	00:58	00:37	00:05	01:22	00:21	01:38	00:46	06:11		Melzer+Stark 2017	00:22	00:02	00:10	00:27	00:20	00:07	00:06	00:09	00:14	00:05	00:22	00:24	00:28	00:08	00:07	00:08	00:06	00:34	00:21	00:30	00:13	00:18	00:28	06:11	
Melzer+Stark 2019	00:23	00:02	01:00	00:39	00:03	01:27	00:21	01:51	00:41	06:28		Melzer+Stark 2019	00:23	00:02	00:11	00:29	00:20	00:06	00:07	00:11	00:16	00:03	00:22	00:24	00:32	00:09	00:07	00:07	00:06	00:39	00:24	00:32	00:16	00:13	00:28	06:28	
mean 14	00:22	00:03	00:59	00:37	00:03	01:19	00:21	01:53	00:41	06:20		mean 14	00:22	00:03	00:13	00:28	00:19	00:06	00:06	00:10	00:15	00:03	00:20	00:22	00:29	00:08	00:08	00:08	00:05	00:38	00:24	00:34	00:17	00:16	00:25	06:20	
min 14	00:16	00:02	00:53	00:31	00:01	01:01	00:19	01:38	00:24	05:22	KW 2017	min 14	00:16	00:02	00:10	00:23	00:16	00:04	00:04	00:09	00:12	00:01	00:17	00:14	00:23	00:05	00:07	00:06	00:04	00:34	00:16	00:28	00:10	00:08	00:16	05:22	KW 2017
max 14	00:31	00:04	01:12	00:42	00:07	01:38	00:27	02:16	00:52	07:20	AP 2006	max 14	00:31	00:04	00:17	00:33	00:22	00:09	00:07	00:11	00:17	00:07	00:26	00:26	00:42	00:11	00:10	00:11	00:08	00:44	00:30	00:52	00:25	00:21	00:35	07:20	AP 2006
rel stdv 14 (%)	16,14	26,09	9,74	8,94	47,87	12,97	12,39	10,25	16,45	8,27		rel stdv (%) 14	16,14	26,09	15,47	13,73	10,78	19,13	15,19	7,53	10,19	47,87	15,02	15,32	18,08	20,72	14,46	21,58	19,33	10,70	15,82	18,78	25,18	19,92	21,29	8,27	
dur sec 8	1	2	3	4	5	6	7	8	9	total		dur seg 8	1	2	3a	3b	3c	4a	4b	4c	4d	5	6a	6b	6c	6d	7a	7b	7c	8a	8b	8c	8d	9a	9b	total	
Csengery+Keller 1990	00:18	00:03	00:56	00:33	00:01	01:20	00:20	02:07	00:39	06:17		Csengery+Keller 1990	00:18	00:03	00:12	00:28	00:16	00:05	00:05	00:09	00:14	00:01	00:17	00:26	00:29	00:08	00:09	00:07	00:04	00:44	00:29	00:39	00:15	00:21	00:19	06:17	
Komsi+Oramo 1995	00:31	00:04	01:12	00:38	00:02	01:22	00:23	01:47	00:49	06:47		Komsi+Oramo 1995	00:31	00:04	00:17	00:33	00:22	00:08	00:06	00:09	00:15	00:02	00:20	00:25	00:26	00:11	00:09	00:06	00:08	00:35	00:22	00:28	00:22	00:14	00:35	06:47	
Whittlesey+Sallaberger 1997	00:22	00:02	00:58	00:42	00:07	01:11	00:24	02:16	00:40	06:42		Whittlesey+Sallaberger 1997	00:22	00:02	00:10	00:26	00:21	00:08	00:07	00:10	00:17	00:07	00:17	00:18	00:28	00:07	00:10	00:08	00:06	00:44	00:30	00:52	00:10	00:16	00:24	06:42	
Pammer+Kopatchinskaja 2004	00:22	00:04	00:53	00:33	00:03	01:11	00:19	01:53	00:44	06:01		Pammer+Kopatchinskaja 2004	00:22	00:04	00:14	00:23	00:16	00:06	00:06	00:10	00:12	00:03	00:17	00:22	00:28	00:05	00:07	00:07	00:05	00:36	00:22	00:30	00:25	00:17	00:27	06:01	
Arnold+Pogossian 2004	00:23	00:03	01:06	00:40	00:02	01:34	00:27	02:06	00:48	07:10		Arnold+Pogossian 2004	00:23	00:03	00:13	00:33	00:20	00:07	00:06	00:10	00:17	00:02	00:23	00:23	00:39	00:09	00:10	00:11	00:06	00:42	00:27	00:38	00:18	00:18	00:31	07:10	
Banse+Keller 2005	00:20	00:02	00:55	00:34	00:05	01:23	00:21	01:52	00:35	06:06		Banse+Keller 2005	00:20	00:02	00:12	00:24	00:18	00:05	00:05	00:09	00:15	00:05	00:21	00:26	00:27	00:09	00:08	00:08	00:05	00:36	00:24	00:32	00:19	00:14	00:21	06:06	
Melzer+Stark 2012	00:23	00:02	00:58	00:39	00:05	01:21	00:19	01:42	00:43	06:10		Melzer+Stark 2012	00:23	00:02	00:12	00:28	00:17	00:07	00:07	00:09	00:16	00:05	00:19	00:21	00:31	00:09	00:07	00:07	00:05	00:35	00:22	00:32	00:13	00:18	00:25	06:10	
Kammer+Widmann 2017	00:18	00:03	00:53	00:31	00:03	01:01	00:19	01:50	00:24	05:22		Kammer+Widmann 2017	00:18	00:03	00:12	00:23	00:18	00:04	00:04	00:09	00:14	00:03	00:17	00:14	00:23	00:07	00:08	00:07	00:04	00:35	00:26	00:33	00:16	00:08	00:16	05:22	
mean 8	00:22	00:03	00:59	00:36	00:03	01:18	00:21	01:57	00:40	06:19		mean 8	00:22	00:03	00:13	00:27	00:18	00:06	00:06	00:09	00:15	00:03	00:19	00:22	00:29	00:08	00:09	00:08	00:05	00:38	00:25	00:36	00:17	00:16	00:25	06:19	
min 8	00:18	00:02	00:53	00:31	00:01	01:01	00:19	01:42	00:24	05:22	KW 2017	min 8	00:18	00:02	00:10	00:23	00:16	00:04	00:04	00:09	00:12	00:01	00:17	00:14	00:23	00:05	00:07	00:06	00:04	00:35	00:22	00:28	00:10	00:08	00:16	05:22	KW 2017
